1337225966,column,column,column,column,2055021,Посуда >> Для сервировки,vittora,_vittora_v165sgr___square_165_,column,78,1,httpscomfyuasalatnikvittorav165sgrzolotajavetkasquare165mmhtml,column,05112025_2003,column,__42,Фастів,0
1337226023,6711257,LUMINARC,Салатник LUMINARC PAMPILLE WHITE13 см (Q4659),58,2035588,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Піала Luminarc Pampille White 13 см (Q4659),,169,1,https://comfy.ua/piala-luminarc-pampille-white-13-sm-q4659.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1337226024,6711251,LUMINARC,Салатник Luminarc Pampille Granit 13 см (Q4647),58,2035587,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Піала Luminarc Pampille Granit 13 см (Q4647),,58,1,https://comfy.ua/piala-luminarc-pampille-granit-13-sm-q4647.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1337293170,,,,,.2056029,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for OnePlus Nord CE 5G Black (ARM59809),,119,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-oneplus-nord-ce-5g-black-arm59809.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1337775255,,,,,2047826,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Chicco",chicco,Малий потік соска дитяча силіконова Chicco Physio 0м+ 2 шт. (20311.00),,369,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-chicco-physio-0m-2-sht-20311-00.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1337781441,,,,,2047842,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Piatnik,piatnik,Настільна гра (12+) Piatnik Activity Казино (PT-717727),,1049,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-piatnik-activity-kazino-pt-717727.html,,06.11.2025 1:06,,"вул. Соборна, 42",Фастів,0
1337781476,6809189,AENO,Отпариватель AENO GS2,1899,2056719,Техника для дома >> Мелкая техника >> Утюги >> Утюги AENO,aeno,Вертикальний відпарювач ручний AENO GS2 (AGS0002),,1899,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-aeno-gs2-ags0002.html,2259,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1337781501,,,,,2047841,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Piatnik,piatnik,Настільна гра (8 +) Piatnik Activity Руки пов'язані (PT-717604),,709,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-piatnik-activity-ruki-svjazany-pt-717604.html,,06.11.2025 1:06,,"вул. Соборна, 42",Фастів,0
1337781543,,,,,2047849,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Piatnik,piatnik,Настільна гра (8 +) Piatnik Activity Дорожня версія (PT-776809),,359,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-piatnik-activity-dorozhnaja-versija-pt-776809.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1337787085,6746598,GORENJE,Варочная поверхность GORENJE GT 641 KB (BL025),11499,2053079,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GT 641 KB,,11499,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gt-641-kb.html,11999,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1337787091,6809188,AENO,Отпариватель AENO GS3,2199,2056720,Техника для дома >> Мелкая техника >> Утюги >> Утюги AENO,aeno,Вертикальний відпарювач ручний AENO GS3 (AGS0003),,2199,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-aeno-gs3-ags0003.html,3459,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1337800545,,,,,2035565,Посуда >> Нарезка и измельчение,tavialo,Терка Tavialo 2 в 1 (193200002),,135,1,https://comfy.ua/terka-tavialo-2-v-1-193200002.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1337800547,,,,,2035566,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tavialo",tavialo,Овочерізка Tavialo Pro Glass 16 в 1 (193100008),,1416,1,https://comfy.ua/ovoscherezka-tavialo-pro-glass-16-v-1-193100008.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1337800580,6796623,BERGNER,Разделочная доска BERGNER Natural life (BG-4920),489,1954957,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Bergner,bergner,Обробна дошка Bergner 30x22x1.5 см (BG-4920),,899,1,https://comfy.ua/razdelochnaja-doska-bergner-30x22x1-5-sm-bg-4920.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1337831674,,,,,1975912,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",assmann,Кабель HDMI Assmann HDMI to DVI 18+1pin M 2.0 m (AK-330300-020-S),,299,1,https://comfy.ua/kabel-hdmi-assmann-hdmi-to-dvi-18-1pin-m-2-0-m-ak-330300-020-s.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1337831676,,,,,1998538,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Кабель живлення Merlion C13 1.8m, 0.75 mm corner 90 (PC-186A CEE7/7-C13-CCA18)",,99,1,https://comfy.ua/kabel-pitanija-merlion-c13-1-8m-0-75-mm-corner-90-pc-186a-cee7-7-c13-cca18.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1337843750,,,,,2045962,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ritar,"""Сумка для ноутбуку Ritar 15.6"""" A27 Dark-Blue (YT-A27-DBe15.6"""")""",,295,1,https://comfy.ua/sumka-dlja-noutbuka-ritar-15-6-a27-dark-blue-yt-a27-dbe15-6.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1337888159,6663808,TEFAL,Утюг TEFAL FV2867E0,1899,2037226,Техника для дома >> Мелкая техника >> Утюги >> Утюги Tefal,tefal,Праска Tefal FV2867E0,,1899,1,https://comfy.ua/utjug-tefal-fv2867e0.html,2199,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1338036112,,,,,.1936923,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i5-12400F (BX8071512400F),,5649,1,https://comfy.ua/processor-intel-core-i5-12400f-bx8071512400f.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1338105793,,,,,2059315,Техника для дома >> Климатическая техника,vestfrost,Вентилятор підлоговий Vestfrost VFT104W,,3777,1,https://comfy.ua/ventiljator-napol-nyj-vestfrost-vft104w.html,4222,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1338105794,,,,,2059314,Техника для дома >> Климатическая техника,vestfrost,Вентилятор підлоговий Vestfrost VFT104DB,,3999,1,https://comfy.ua/ventiljator-napol-nyj-vestfrost-vft104db.html,4444,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1338116049,,,,,2053057,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,"Картридж для струменевих принтерів/БФП PowerPlant HP Colour LaserJet CP1025, Canon 129 CE310A (PP-CE310A)",,399,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-hp-colour-laserjet-cp1025-canon-129-ce310a-pp-ce310a.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1338117258,,,,,2053062,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для струменевих принтерів/БФП PowerPlant HP LaserJet Pro M102A CF217X (PP-CF217X),,379,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-hp-laserjet-pro-m102a-cf217x-pp-cf217x.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1338117336,,,,,.2053065,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для струменевих принтерів/БФП PowerPlant Samsung ML-1660 (MLT-D1042S),,649,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-samsung-ml-1660-mlt-d1042s.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1338117337,,,,,2053060,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры PowerPlant",powerplant,"Картридж для струменевих принтерів/БФП PowerPlant HP LJ Pro 200, Canon i-Sensys MF8230 YL (CF212A (PP-CF212AYL)",,599,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-hp-lj-pro-200-canon-i-sensys-mf8230-yl-cf212a-pp-cf212ayl.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1338117338,,,,,.2053064,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant Samsung ML-1640 (MLT-D108S),,799,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-samsung-ml-1640-mlt-d108s.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1338117694,,,,,2053061,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры PowerPlant",powerplant,"Картридж для струменевих принтерів/БФП PowerPlant HP LJ Pro 200, Canon i-Sensys MF8230 MG CF213A (PP-CF213AMG)",,599,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-hp-lj-pro-200-canon-i-sensys-mf8230-mg-cf213a-pp-cf213amg.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1338117695,,,,,2053059,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры PowerPlant",powerplant,"Картридж для струменевих принтерів/БФП PowerPlant HP LJ Pro 200, Canon i-Sensys MF8230 CY CF211A (PP-CF211ACY)",,799,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-powerplant-hp-lj-pro-200-canon-i-sensys-mf8230-cy-cf211a-pp-cf211acy.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1338138598,,,,,.2044884,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba R8N89A,,59265,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-r8n89a.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1338138599,,,,,.2044883,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba R8N87A,,100125,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-r8n87a.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1338614853,,,,,1861017,"Аудио, фото и видео >> Наушники",epos,Амбушюр для навушників Epos ADAPT 100 II,,299,1,https://comfy.ua/ambushjur-dlja-naushnikov-epos-adapt-100-ii.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1338614998,,,,,.1861016,"Аудио, фото и видео >> Наушники",sennheiser,Амбушюр для навушників Sennheiser HZP 27,,349,1,https://comfy.ua/ambushjur-dlja-naushnikov-sennheiser-hzp-27.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1338702831,6729763,VENTOLUX,Духовой шкаф VENTOLUX LAS VEGAS 6 TC (IVORY),10629,1806434,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux LAS VEGAS 6 TC (IVORY),,10629,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-las-vegas-6-tc-ivory.html,11879,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1338898720,6799323,KARCHER,Пылесос KARCHER WD 6 P S V-30/6/22 (1.628-360.0),10999,1969468,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Karcher,karcher,Пилосос для сухого прибирання з мішком Karcher WD 6 P S V-30/6/22/T (WD 6 Premium),,10999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-karcher-wd-6-p-s-v-30-6-22-t-wd-6-premium.html,11899,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1339288682,,,,,2056022,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Hoffson,hoffson,Телевізор Hoffson A24HD500T2S,,5399,1,https://comfy.ua/televizor-hoffson-a24hd500t2s.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1339315758,6806965,PHILIPS,Утюг с парогенератором PHILIPS PSG6066/20,11699,2066632,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска з парогенератором Philips PSG6066/20,,11699,1,https://comfy.ua/utjug-s-parogeneratorom-philips-psg6066-20.html,14999,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1339809283,6840896,MIDEA,Бойлер MIDEA PRIME Wi-Fi D50-20ED6 (D),14249,2066627,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D50-20ED6(D),,13999,1,https://comfy.ua/vodonagrevatel-midea-d50-20ed6-d.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1342913205,,,,,2072133,Техника для дома >> Крупная техника,vestfrost,Пральна машина Vestfrost MWM105T1AMY,,9222,1,https://comfy.ua/stiral-naja-mashina-vestfrost-mwm105t1amy.html,13999,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1343172515,7006036,TESY,Бойлер TESY Anticalc REV 100 GCR 1004424D B14 TBRC (304854),9759,2072165,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCV 1004424D B14 TBR,,11039,1,https://comfy.ua/vodonagrevatel-tesy-gcv-1004424d-b14-tbr.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1343634994,,,,,1871627,Детские товары >> Игрушки,jazwares,Колекційна фігурка Jazwares Fortnite Deluxe Feature Vehicle RC Mudflap (FNT0733),,1998,1,https://comfy.ua/kollekcionnaja-figurka-jazwares-fortnite-deluxe-feature-vehicle-rc-mudflap-fnt0733.html,3599,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
1348972527,6809198,AENO,Сменная насадка AENO для SM2 (ASMFM2),159,2070311,Техника для дома >> Аксессуары к мелкой технике >> Насадки для пароочистителей >> Насадки для пароочистителей AENO,aeno,Насадка для пароочисника AENO для SM2 (ASMFM2),,199,1,https://comfy.ua/nasadka-dlja-paroochistitelja-aeno-dlja-sm2-asmfm2.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1348972528,6809199,AENO,Сменная накладка AENO SM1 (ASMCM1),259,2070308,Техника для дома >> Аксессуары к мелкой технике >> Насадки для пароочистителей >> Насадки для пароочистителей AENO,aeno,Насадка для пароочисника AENO для SM1 (ASMCM1),,259,1,https://comfy.ua/nasadka-dlja-paroochistitelja-aeno-dlja-sm1-asmcm1.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1348972529,6809200,AENO,Сменная накладка AENO FM1 (ASMFM1),259,2070310,Техника для дома >> Аксессуары к мелкой технике >> Насадки для пароочистителей >> Насадки для пароочистителей AENO,aeno,Насадка для пароочисника AENO для SM1 (ASMFM1),,259,1,https://comfy.ua/nasadka-dlja-paroochistitelja-aeno-dlja-sm1-asmfm1.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1348973033,,,,,2312466,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS4 Call of Duty: Modern Warfare 2 [Blu-Ray диск],,2999,1,https://comfy.ua/igrovoj-disk-ps4-playstation-call-of-duty-modern-warfare-2-blu-ray-disk.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1348973034,,,,,2312467,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS5 Call of Duty: Modern Warfare 2 [Blu-Ray диск],,999,1,https://comfy.ua/igrovoj-disk-ps5-playstation-call-of-duty-modern-warfare-2-blu-ray-disk.html,2999,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1348973044,,,,,.1997532,Техника для дома >> Швейное оборудование,bernina,Швейно-вишивальна машина Bernina b70 Deco,,66989,1,https://comfy.ua/overlok-bernina-bernette-b70-deco.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1348973149,,,,,2066640,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Philips,philips,Машинка для стрижки волосся Philips HC5610/15,,1999,1,https://comfy.ua/mashinka-dlja-strizhki-volos-philips-hc5610-15.html,2399,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,2
