1042221821,column,column,column,column,1872126,Детские товары >> Игрушки,spidey,__spidey_little_plush_miles_morales___snf0004,column,579,1,httpscomfyuacatalogproductviewid3118073,column,06112025_104,column,__42,Фастів,0
1042937350,6742390,PEPPER,Сотейник с крышкой PEPPER Black Ice 28 см Black (PR-6004),1790,1855490,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Pepper,pepper,"Каструля Pepper Black Ice Greblon C2 4,2л. 28x8,5 см (PR-6004)",,2573,1,https://comfy.ua/kastrjulja-pepper-black-ice-greblon-c2-4-2l-28x8-5-sm-pr-6004.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1043165865,,,,,1806429,Техника для кухни >> Крупная техника,ventolux,Витяжка вбудована Ventolux PUNTO 52 WG (1000) TRC MM,,12049,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-punto-52-wg-1000-trc-mm.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1043317523,6710674,MITSUBISHI ELECTRIC,Кондиционер MITSUBISHI ELECTRIC MSZ-HR35VF,56839,1872390,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Electric MSZ-HR35VF\MUZ-HR35VF,,56839,1,https://comfy.ua/kondicioner-split-mitsubishi-msz-hr35vf-muz-hr35vf.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1043331820,,,,,1866987,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Tenda",tenda,Коммутатор локальної мережі (Switch) Tenda TEG1105PD,,999,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tenda-teg1105pd.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1043345970,,,,,.1869748,Инструменты и автотовары >> Расходные материалы,haisser,Полотно Haisser S 644 D н-р 2 шт. (HS118023),,99,1,https://comfy.ua/polotno-haisser-s-644-d-n-r-2-sht-hs118023.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1043345971,,,,,.1869749,Инструменты и автотовары >> Расходные материалы,haisser,Полотно Haisser S 1111 K н-р 2 шт. (HS118025),,145,1,https://comfy.ua/polotno-haisser-s-1111-k-n-r-2-sht-hs118025.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1043345972,,,,,.1869750,Инструменты и автотовары >> Расходные материалы,haisser,Полотно Haisser S 1542 K н-р 2 шт. (HS118026),,209,1,https://comfy.ua/polotno-haisser-s-1542-k-n-r-2-sht-hs118026.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1043363964,,,,,1869646,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Rotex,rotex,Кавоварка ріжкова Rotex RCM650-S Good Espresso,,2999,1,https://comfy.ua/kofevarka-rozhkovaja-rotex-rcm650-s-good-espresso.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1043387474,6692621,XGIMI,Проектор XGIMI Horizon (XK03K),47999,1858553,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы XGiMi,xgimi,Проектор XGiMi Horizon FullHD HDR 3 (XK03K),,47999,1,https://comfy.ua/proektor-xgimi-horizon-fullhd-hdr-3-xk03k.html,61999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1043434741,,,,,1866218,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,Чохол для прасувальної дошки Eurogold DC34F3M Rafio Green-32 Бавовна 110х30 см,,299,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-eurogold-dc34f3m-rafio-green-32-hlopok-110h30-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
