1648695847,column,column,column,column,2781869,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_xiaomi_mi_11i_arm59492,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforxiaomimi11iarm59492html,column,05112025_2031,column,__42,Фастів,0
1648854288,,,,,.2811641,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xtrike-me,Килимок для миші ігровий XTRIKE ME MP-005,,99,1,https://comfy.ua/kovrik-dlja-myshi-xtrike-me-mp-005.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1648854401,,,,,2779145,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов ACCLAB,acclab,"Мережевий зарядний пристрій ACCLAB AL-TC220 1xUSB, 1xType-C White (1283126556494)",,399,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-acclab-al-tc220-1xusb-1xtype-c-white-1283126556494.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1648857014,,,,,2765787,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры HyperX",hyperx,Веб-камера для комп'ютера HyperX Vision S (75X30AA),,11999,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-hyperx-vision-s-75x30aa.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1648857538,6951150,AIWA,Телевизор AIWA 65AN7003UHD,25499,2817362,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Aiwa,aiwa,Телевізор Aiwa 65AN7003UHD,,25499,1,https://comfy.ua/televizor-aiwa-65an7003uhd.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1648857921,,,,,2766135,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Чехлы для планшетов >> Чехлы для планшетов Samsung",samsung,Чохол для планшету Samsung Book Cover Tab A9 White (EF-BX110TWEGWW),,619,1,https://comfy.ua/chehol-dlja-plansheta-samsung-book-cover-tab-a9-white-ef-bx110twegww.html,1249,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1648857922,,,,,2766134,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Чехлы для планшетов >> Чехлы для планшетов Samsung",samsung,Чохол для планшету Samsung Book Cover Tab A9 Black (EF-BX110TBEGWW),,619,1,https://comfy.ua/chehol-dlja-plansheta-samsung-book-cover-tab-a9-black-ef-bx110tbegww.html,1249,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1648857924,,,,,2766131,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Чехлы для планшетов >> Чехлы для планшетов Samsung",samsung,Чохол для планшету Samsung Book Cover Tab A9+ Blue (EF-BX210TLEGWW),,899,1,https://comfy.ua/chehol-dlja-plansheta-samsung-book-cover-tab-a9-blue-ef-bx210tlegww.html,1799,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1648857925,,,,,2766130,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Чехлы для планшетов >> Чехлы для планшетов Samsung",samsung,Чохол для планшету Samsung Book Cover Tab A9+ Black (EF-BX210TBEGWW),,899,1,https://comfy.ua/chehol-dlja-plansheta-samsung-book-cover-tab-a9-black-ef-bx210tbegww.html,1799,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,1
1648859075,,,,,2817125,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели XO,xo,Автотримач XO C82 Flat Magnetic Black (XO-C82BK),,119,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xo-c82-flat-magnetic-black-xo-c82bk.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1648876853,,,,,.2717917,Посуда >> Для сервировки,viva,Набір салатників Viva Bamboo 2х250 мл (S/3),,239,1,https://comfy.ua/nabor-salatnikov-viva-bamboo-2h250-ml-s-3.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
