1664063044,column,column,column,column,2724465,Посуда >> Для сервировки,luminarc,__luminarc_brush_mania_terracotta_20__v5420,column,100,1,httpscomfyuatarelkasupovajaluminarcbrushmaniaterracotta20smv5420html,column,05112025_1931,column,__42,Фастів,0
1664182238,6978975,ROTEX,Пылесос ROTEX RVB18-E EcoBlue,1699,2920114,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Rotex,rotex,Пилосос для сухого прибирання з мішком Rotex RVB18-E EcoBlue,,1699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-rotex-rvb18-e-ecoblue.html,2399,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1664183010,6949989,MASTERPRO,Форма для запекания MASTERPRO Foodies cook & share (BGMP-10203),379,2799481,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Masterpro,masterpro,"Форма для приготування Masterpro Foodies cook & share 16х9,8 см (BGMP-10203)",,379,1,https://comfy.ua/forma-dlja-prigotovlenija-masterpro-foodies-cook-share-16h9-8-sm-bgmp-10203.html,759,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1664192954,6970745,HANSA,Стиральная машина HANSA WHN610D1W,9999,2880217,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Hansa,hansa,Пральна машина Hansa WHN610D1W,,9999,1,https://comfy.ua/stiral-naja-mashina-hansa-whn610d1w.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1664192966,,,,,2880218,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Hansa,hansa,Пральна машина Hansa WHN712D1W,,12599,1,https://comfy.ua/stiral-naja-mashina-hansa-whn712d1w.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1664193678,6975546,PRIME TECHNICS,Стиральная машина PRIME TECHNICS PWF 81489 SID,21299,2916490,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Prime Technics,prime-technics,Пральна машина Prime Technics PWF 81489 SID,,21299,1,https://comfy.ua/stiral-naja-mashina-prime-technics-pwf-81489-sid.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1664193680,6975547,PRIME TECHNICS,Стиральная машина PRIME TECHNICS PWF 91479 SID,18939,2916489,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Prime Technics,prime-technics,Пральна машина Prime Technics PWF 91479 SID,,22299,1,https://comfy.ua/stiral-naja-mashina-prime-technics-pwf-91479-sid.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1664223434,6980283,KYVOL,Робот-пылесос KYVOL Cybovac D2 Black,4199,2921651,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Kyvol,kyvol,Робот-пилосос Kyvol Cybovac D2 Black,,3779,1,https://comfy.ua/robot-pylesos-kyvol-cybovac-d2-black.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1664226702,,,,,.2847456,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Black (BLOCK_FMMU3),,1899,1,https://comfy.ua/korpus-qube-black-block-fmmu3.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1664226716,,,,,.1985601,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,Корпус Cougar Archon 2 Mesh RGB Black без БЖ,,2499,1,https://comfy.ua/korpus-cougar-archon-2-mesh-rgb-black-bez-bzh.html,2899,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1664228079,6979051,ARDESTO,Утюг ARDESTO TI-S1200 White-Red,599,2919242,Техника для дома >> Мелкая техника,ardesto,Праска дорожня Ardesto TI-S1200,,599,1,https://comfy.ua/utjug-dorozhnyj-ardesto-ti-s1200.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1664228623,,,,,2777452,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода для млинців Brizoll O2215-P Optima 220 х 15 мм,,413,1,https://comfy.ua/skovoroda-dlja-blinov-brizoll-o2215-p-optima-220-h-15-mm.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1664228931,7056821,BRIZOLL,Сотейник с крышкой BRIZOLL Monolith 24 см Black (M2460P-6),588,2777443,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll M2460P-6 24 см,,588,1,https://comfy.ua/skovoroda-universal-naja-brizoll-m2460p-6-24-sm.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
