913096146,6883960,KELA,Фруктовница KELA Marlo 22.5 x 11 см (12510),21321,1812771,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Kela,kela,Ємність для фруктів Kela Marlo 22.5x11 см (12510),,969,1,https://comfy.ua/emkost-dlja-fruktov-kela-marlo-22-5x11-sm-12510.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
913097049,,,,,.1800357,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH1х25 мм 10 шт. (2712718),,135,1,https://comfy.ua/nabor-bit-dlja-otvertki-haisser-ph1h25-mm-10-sht-2712718.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
913100325,,,,,1805582,Посуда >> Для сервировки,berghoff,Набір столових приборів Berghoff 1272605 Essence 72 пр.,,10399,1,https://comfy.ua/nabor-stolovyh-priborov-berghoff-1272605-essence-72-pr.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
913126207,,,,,1815755,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-237A Black,,11799,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-237a-black.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
913126208,,,,,1815756,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-237A Gray,,11799,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-237a-gray.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
913132607,,,,,1796885,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла Barsky",barsky,Крісло офісне Barsky Eco (G-3),,14989,1,https://comfy.ua/kreslo-ofisnoe-barsky-eco-g-3.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
913276248,6711177,KELA,Нож-меццалуна KELA Ganda 13.5x4x11 см (10866),559,1815915,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Kela,kela,Ніж для зелені Kela Ganda 13.5x4x11см (10866),,559,1,https://comfy.ua/nozh-dlja-zeleni-kela-ganda-13-5x4x11sm-10866.html,859,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
913277355,,,,,.1812050,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Military for Xiaomi Redmi Note 10 Pro Black (706063),,275,1,https://comfy.ua/chehol-dlja-smartfona-becover-military-for-xiaomi-redmi-note-10-pro-black-706063.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
913968927,6711116,KELA,Лопатка Kela Rondo с прорезями 33.5 см (19003),749,1813811,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Лопатка кухонна Kela Rondo 33.5 см (19003),,749,1,https://comfy.ua/lopatka-kuhonnaja-kela-rondo-33-5-sm-19003.html,829,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
914000845,,,,,.1810255,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",real-el,Хаб USB REAL-EL HQ-154 Black (EL123110007),,219,1,https://comfy.ua/hab-usb-real-el-hq-154-black-el123110007.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
