1319097124,column,column,column,column,1980342,Посуда >> Нарезка и измельчение,berghoff,___berghoff_3950021_leo_165_,column,1159,1,httpscomfyuanozhdljazeleniberghoff3950021leo165smhtml,column,05112025_1949,column,__42,Фастів,0
1319267376,6794307,HAIER,Кондиционер HAIER 1U50JECFRA-3/AS50S2SJ1FA-3,63959,2007135,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Haier,haier,Кондиціонер спліт Haier AS50S2SJ1FA-3/1U50JECFRA-3,,63959,1,https://comfy.ua/kondicioner-split-haier-as50s2sj1fa-3-1u50jecfra-3.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1319436797,,,,,.2001822,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,Картридж для лазерних принтерів/БФП Sharp Black 18k (MX23GTBA),,2099,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-sharp-black-18k-mx23gtba.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1319436806,,,,,.2001817,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,Картридж для лазерних принтерів/БФП Sharp 25k (MX312GT),,2899,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-sharp-25k-mx312gt.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1319436819,,,,,.2001821,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,Картридж для лазерних принтерів/БФП Sharp 40k (MX500GT),,3699,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-sharp-40k-mx500gt.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1319465450,7170843,MINOLA,Варочная поверхность MINOLA MIS 3077 KMR,5939,1930723,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Minola,minola,Варильна поверхня електрична Minola MIS 3077 KMR,,6749,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-minola-mi-3077-kmr.html,7499,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1319560333,6786903,MERCUSYS,Wi-Fi роутер MERCUSYS MR30G,899,2017114,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,Маршрутизатор інтернет WiFi5 Mercusys MR30G,,899,1,https://comfy.ua/marshrutizator-internet-wifi5-mercusys-mr30g.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1319560334,6706139,MERCUSYS,Маршрутизатор MERCUSYS MR70X AX1800,1599,2017115,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,Маршрутизатор інтернет WiFi6 Mercusys MR70X,,1599,1,https://comfy.ua/marshrutizator-internet-wifi6-mercusys-mr70x.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1319605365,,,,,2002116,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры OKI",oki,Картридж-тонер OKI Toner-ES5432/5473-Black -7K (46490624),,3299,1,https://comfy.ua/kartridzh-toner-oki-toner-es5432-5473-black-7k-46490624.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1319605391,,,,,.2002836,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",toshiba,Картридж для лазерних принтерів/БФП Toshiba Yellow T-FC30EY 33.6K (6AJ00000207),,7125,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-toshiba-yellow-t-fc30ey-33-6k-6aj00000207.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1319645628,6794287,MEDIA-TECH,Наушники MEDIA-TECH MAGICSOUND DS-2 Black-Red (MT3556R),139,1999751,"Аудио, фото и видео >> Наушники >> Наушники Media-Tech",media-tech,Навушники вкладиші дротові Media-Tech MagicSound DS-2 Black-Red (MT3556R),,139,1,https://comfy.ua/naushniki-vkladyshi-provodnye-media-tech-magicsound-ds-2-black-red-mt3556r.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1319976366,,,,,2000430,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Кабель Merlion  VGA-VGA, 1.5м, Black (YT-VGA(M)/(M)3+2-1.5m/05441)",,99,1,https://comfy.ua/kabel-merlion-vga-vga-1-5m-black-yt-vga-m-m-3-2-1-5m-05441.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1320188757,,,,,1971590,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ritar,Кабель HDMI Ritar PL-HD94 HDMI-HDMI 0.8 m Black (YT-HDMI(M)/(M)V1.4-0.8m/19916),,99,1,https://comfy.ua/kabel-hdmi-ritar-pl-hd94-hdmi-hdmi-0-8-m-black-yt-hdmi-m-m-v1-4-0-8m-19916.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1320189140,,,,,1971593,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ritar,Кабель HDMI Ritar PL-HD94 HDMI-HDMI 2.0 m Black (YT-HDMI(M)/(M)V1.4-2.0m/20378),,99,1,https://comfy.ua/kabel-hdmi-ritar-pl-hd94-hdmi-hdmi-2-0-m-black-yt-hdmi-m-m-v1-4-2-0m-20378.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1320716167,6785453,DRAZICE,Бойлер DRAZICE TO 5.1 IN,9259,1901900,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Drazice,drazice,Водонагрівач Drazice TO 5.1 IN,,9259,1,https://comfy.ua/vodonagrevatel-drazice-to-5-1-in.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1320716184,,,,,2010227,"Аудио, фото и видео >> Наушники",skydolphin,Навушники вкладиші дротові SkyDolphin SR03 Gray (HF-000458),,125,1,https://comfy.ua/naushniki-vkladyshi-provodnye-skydolphin-sr03-gray-hf-000458.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1320716186,6787950,DEFENDER,Гарнитура DEFENDER FreeMotion B525 Bluetooth White/Pink (63528),625,1999965,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Навушники повнорозмірні бездротові Defender FreeMotion B525 Bluetooth White-Pink (63528),,625,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-defender-freemotion-b525-bluetooth-white-pink-63528.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1320716236,6747381,MIDEA,Холодильник MIDEA MDRT294FGF28W,9999,1924557,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Midea,midea,Холодильник Midea MDRT294FGF28W,,9999,1,https://comfy.ua/holodil-nik-midea-mdrt294fgf28w.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1320731292,6938262,DARIO,Плитка DARIO DHP121В,849,.1887786,Техника для кухни >> Крупная техника,dario,Плита електрична настільна Dario DHP121В,,849,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-dario-dhp121v.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1320731439,6809788,BORGIO,Вытяжка BORGIO BBI (TR) 5840 black glass MU 850,4519,1882860,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Borgio,borgio,Витяжка вбудована Borgio BBI (TR) 5840 Black Glass MU 850,,4569,1,https://comfy.ua/vytjazhka-vstraivaemaja-borgio-bbi-tr-5840-black-glass-mu-850.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1320732539,,,,,1658073,Телевизоры и мультимедиа >> Аксессуары для ТВ,unibracket,Кріплення для телевізора UniBracket BZ 11-22,,429,1,https://comfy.ua/kreplenie-dlja-televizora-unibracket-bz-11-22.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1320913662,7098049,JEDEL,Клавиатура JEDEL K52 Black,208,2020233,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Jedel",jedel,Клавіатура дротова Jedel K52/01923 Black,,229,1,https://comfy.ua/klaviatura-provodnaja-jedel-k52-01923-black.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1320913663,7098048,JEDEL,Клавиатура JEDEL K518 (ZDL-K518),246,2020236,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Jedel",jedel,Клавіатура дротова Jedel K518/19265 Black,,245,1,https://comfy.ua/klaviatura-provodnaja-jedel-k518-19265-black.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1320913666,,,,,2020235,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",jedel,Клавіатура дротова Jedel K503/05351 Black,,479,1,https://comfy.ua/klaviatura-provodnaja-jedel-k503-05351-black.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1321114937,6688818,ROWENTA,Триммер ROWENTA MULTISTYLE TN8961F4,1299,2018816,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Rowenta,rowenta,Тример універсальний Rowenta TN8961F4,,1299,1,https://comfy.ua/trimmer-universal-nyj-rowenta-tn8961f4.html,2199,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1321640677,,,,,1101263,"Аудио, фото и видео >> Наушники",easy-touch,Навушники вкладиші дротові Easy Touch ET-9200 SILVER,,145,1,https://comfy.ua/naushniki-nakladnye-provodnye-easy-touch-et-9200-silver.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1321863119,6792789,VIMAR,Электропечь VIMAR VEO-6821 B,6775,1888774,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Vimar,vimar,Піч електрична Vimar VEO-6821 B,,6775,1,https://comfy.ua/pech-jelektricheskaja-vimar-veo-6821-b.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1322005104,,,,,2020289,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC20 PD+QC3.0 (2USB, 3A) White (MZP-000121)",,349,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc20-pd-qc3-0-2usb-3a-white-mzp-000121.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1322005698,6796614,BERGNER,Набор кухонных аксессуаров BERGNER BG-3181 4 пр,476,1958696,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bergner,bergner,Кухарський набір приладів Bergner 4 пр. (BG-3181),,476,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-bergner-4-pr-bg-3181.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1322191031,6796607,SAN IGNACIO,Кастрюля San Ignacio Vita 2 л (SG-8115),1235,1978599,Посуда >> Для приготовления,san-ignacio,Каструля San Ignacio 2 л (SG-8115),,1235,1,https://comfy.ua/kastrjulja-san-ignacio-2-l-sg-8115.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1322191062,6796608,SAN IGNACIO,Кастрюля San Ignacio Vita 4 л (SG-8116),1709,1978600,Посуда >> Для приготовления,san-ignacio,Каструля San Ignacio 4 л (SG-8116),,1713,1,https://comfy.ua/kastrjulja-san-ignacio-4-l-sg-8116.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1322224053,,,,,.2022939,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,Батарея мобільна Sandberg 24000mAh Black (PB930197),,4699,1,https://comfy.ua/batareja-mobil-naja-sandberg-24000mah-black-pb930197.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1322235248,,,,,2022851,"Аудио, фото и видео >> Аксессуары для фото, видео",raver-by-emos,Батарейка тип AA RAVER by EMOS B7921 Ultra Alkaline (AA) LR06 блістер 4шт.,,175,1,https://comfy.ua/batarejka-tip-aa-emos-raver-aa-lr06-bl-4-sht-b7921.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1322243727,6796624,BERGNER,Разделочная доска BERGNER BG-4941-MM,483,1954958,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Bergner,bergner,Обробна дошка Bergner 35x25x3 см (BG-4941-MM),,1269,1,https://comfy.ua/razdelochnaja-doska-bergner-35x25x3-sm-bg-4941-mm.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1322683600,6740923,RINGEL,Кастрюля RINGEL Hanover 1.8 л (RG-2005/1-16),890,2022941,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Hanover 16 см 1.8 л (RG-2005/1-16),,890,1,https://comfy.ua/kastrjulja-ringel-hanover-16-sm-1-8-l-rg-2005-1-16.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1322683764,,,,,.2023775,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ubiquiti,Маршрутизатор інтернет LAN Ubiquiti UniFi UDM-PRO,,19609,1,https://comfy.ua/marshrutizator-internet-lan-ubiquiti-unifi-udm-pro.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1322684394,,,,,2023767,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE200,,1099,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re200.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1322684395,6599290,TP-LINK,Wi-Fi повторитель TP-LINK RE205 AC750,1199,2023771,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE205,,1199,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re205.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1322684398,,,,,.2023768,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",d-link,Підсилювач бездротового сигнала D-Link DAP-1325,,909,1,https://comfy.ua/usilitel-besprovodnogo-signala-d-link-dap-1325.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1322684399,6599291,TP-LINK,Wi-Fi повторитель TP-LINK RE450 AC1750,2299,2023772,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE450,,2299,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re450.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1322684400,,,,,2023773,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link TL-WA850RE,,699,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-tl-wa850re.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1322685024,,,,,2022952,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,"Батарея мобільна Sandberg PD 20W 10000 mAh, 2xUSB, Type-C OUT (420-58)",,699,1,https://comfy.ua/batareja-mobil-naja-sandberg-pd-20w-10000-mah-2xusb-type-c-out-420-58.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1322686036,,,,,2001018,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Powerline-адаптер TP-Link TL-PA7017P,,1499,1,https://comfy.ua/powerline-adapter-tp-link-tl-pa7017p.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1322686157,,,,,1002820,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Bosch,bosch,Міксер Bosch MFQ3030,,1249,1,https://comfy.ua/mikser-bosch-mfq3030.html,1959,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1322695952,,,,,.2022344,Посуда >> Для сервировки,luminarc,Салатник Luminarc Lotusia 12 см (Q6573),,70,1,https://comfy.ua/salatnik-luminarc-lotusia-12-sm-q6573.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1322696017,,,,,2022343,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Салатник Luminarc Carine White 12 см (H3672),,99,1,https://comfy.ua/salatnik-luminarc-carine-white-12-sm-h3672.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1322728812,,,,,1760855,Техника для дома >> Крупная техника,leov,Водонагрівач Leov LV Slim 80 l,,6199,1,https://comfy.ua/catalog/product/view/id/3995373,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
