925768356,column,column,column,column,1822931,"Дом, отдых и зоотовары >> Освещение",logan,__logan_delta,column,799,1,httpscomfyuanastolnajalampalogandeltahtml,column,05112025_1957,column,__42,Фастів,0
926280098,6977253,SAECO,Кофемашина SAECO New Royal OTC,32499,1746138,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Saeco,saeco,Кавомашина Saeco NEW ROYAL OTC,,32499,1,https://comfy.ua/kofemashina-saeco-saeco-new-royal-otc.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
926280120,,,,,.1813085,Красота и здоровье >> Уход за телом,oromed,Ваги підлогові Oromed Oro-Scale-Bamboo,,2395,1,https://comfy.ua/vesy-napol-nye-oromed-oro-scale-bamboo.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
926280121,,,,,.1813087,Красота и здоровье >> Уход за телом,oromed,Ваги підлогові Oromed Bluetooth USB White,,2925,1,https://comfy.ua/vesy-napol-nye-oromed-bluetooth-usb-white.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
926280122,,,,,.1813086,Красота и здоровье >> Уход за телом,oromed,Ваги підлогові Oromed Bluetooth USB Black,,2925,1,https://comfy.ua/vesy-napol-nye-oromed-bluetooth-usb-black.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
926280136,,,,,.1822688,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN US154 USB Type-C - USB 3.0 OTG 10 cm Black (30701),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us154-usb-type-c-usb-3-0-otg-10-cm-black-30701.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
926280140,,,,,1822681,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,"Кабель синхронізації даних UGREEN US288 USB-A 2.0 - USB Type-C Aluminium Braid, 1.5 m White (60132)",,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us288-usb-a-2-0-usb-type-c-aluminium-braid-1-5-m-white-60132.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
926289851,6664104,TESY,Бойлер TESY SimpatEco 50 MT (305570),5399,1821507,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy SimpatEco 50 MT,,6000,1,https://comfy.ua/vodonagrevatel-tesy-simpateco-50-mt.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
926289917,,,,,.1820223,Техника для кухни >> Крупная техника,aeg,Духова шафа електрична AEG BPK558370M,,32699,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-aeg-bpk558370m.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
926289963,6715347,BEKO,Варочная поверхность BEKO HII64500UFT,14499,1813523,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня електрична Beko HII64500UFT,,14499,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-beko-hii64500uft.html,16999,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
926293437,6668520,STANLEY,Сверлo по металлу STANLEY Fat Max HSS-CNC (STA51048),65,1818018,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Stanley,stanley,Свердло Stanley STA51048,,73,1,https://comfy.ua/sverlo-stanley-sta51048.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
926293438,,,,,1820170,Инструменты и автотовары >> Расходные материалы,dewalt,Бур DeWALT SDS-Plus 6x100x160 мм,,64,1,https://comfy.ua/bur-dewalt-sds-plus-6x100x160-mm.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
926297959,6717949,BORMIOLI ROCCO,Бокал BORMIOLI ROCCO GRAPHICA GREEN 365 мл (122103MTV121990),229,1816202,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Бокал Bormioli Rocco Graphica Green 365 мл (122103MTV121990),,247,1,https://comfy.ua/bokal-bormioli-rocco-graphica-green-365-ml-122103mtv121990.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
926300581,7060188,SCHOTT ZWIESEL,"Набор стопок SCHOTT ZWIESEL 0,05 л 4 шт. (122418)",1735,1821720,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Schott Zwiesel,schott-zwiesel,Набір стопок Schott Zwiesel 4 шт. 0.05 л 122418,,1988,1,https://comfy.ua/stopka-schott-zwiesel-0-05-l-122418.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
