777085613,column,column,column,column,1685092,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,____powerplant_acer_220v_19v_45w_237a_5521_ac45f5521,column,499,1,httpscomfyuazarjadnoeustrojstvodljanoutbukapowerplantacer220v19v45w237a5521ac45f5521html,column,05112025_2118,column,__42,Фастів,0
777920304,,,,,1725505,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus GK F220 (BL-T6) (DV00DV6294),,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-optimus-gk-f220-bl-t6-dv00dv6294.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777920305,6716901,POWERPLANT,rechar POWERPLANT ASUS Zenfone 3 Deluxe (ZS570KL) (C11P1603) 3380mAh (SM120031),149,1725528,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Zenfone 3 Deluxe (ZS570KL) (C11P1603) (SM120031),,179,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-zenfone-3-deluxe-zs570kl-c11p1603-sm120031.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
777920310,,,,,1725549,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Xiaomi Mi 4S (BM38) (SM220076),,199,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-xiaomi-mi-4s-bm38-sm220076.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
777920327,,,,,1725508,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG G Flex (BL-T11) (DV00DV6298),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-g-flex-bl-t11-dv00dv6298.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
777920460,,,,,1725506,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG G Flex (BL-T8) (DV00DV6296),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-g-flex-bl-t8-dv00dv6296.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777929527,,,,,1725538,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC One Mini 2 (B0P6M100) (SM140091),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-one-mini-2-b0p6m100-sm140091.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
777937792,,,,,1725514,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Z5 (C11P1324) (DV00DV6319),,199,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-z5-c11p1324-dv00dv6319.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777945483,,,,,1725525,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone 6s Plus (616-00045) (SM110070),,799,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-apple-iphone-6s-plus-616-00045-sm110070.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
778401854,,,,,1725513,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Lenovo Vibe Z2 (BL230) (DV00DV6304),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lenovo-vibe-z2-bl230-dv00dv6304.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
778869531,,,,,1736599,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Фермерський ринок (WZ6630),,1989,1,https://comfy.ua/catalog/product/view/id/1886273,,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
