929285472,,,,,.1820805,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Nokia G10/G20 Black (706389),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-nokia-g10-g20-black-706389.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
929286839,6705577,STANLEY,Мультиметр цифровой STANLEY FATMAX (FMHT82565-0),2205,1815451,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Stanley,stanley,Вимірювальний пристрій Stanley FatMax (FMHT82565-0),,2205,1,https://comfy.ua/izmeritel-nyj-pribor-stanley-fatmax-fmht82565-0.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
929286900,,,,,.1822369,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial -12x310 мм (3116219),,155,1,https://comfy.ua/bur-haisser-sds-plus-industrial-12x310-mm-3116219.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
929286902,,,,,.1822368,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial -10x600 мм (3116215),,295,1,https://comfy.ua/bur-haisser-sds-plus-industrial-10x600-mm-3116215.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
929286903,,,,,.1822364,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial -12x600 мм (3116221),,305,1,https://comfy.ua/bur-haisser-sds-plus-industrial-12x600-mm-3116221.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
929286905,,,,,.1822365,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial -16x600 мм (3116228),,489,1,https://comfy.ua/bur-haisser-sds-plus-industrial-16x600-mm-3116228.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
929287575,,,,,1684300,Посуда >> Кухонные аксессуары,wmf,"Цукорниця WMF 636616040 BARISTA 6,6 см",,1399,1,https://comfy.ua/saharnica-wmf-636616040-barista-6-6-sm.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
929287576,,,,,1687694,Посуда >> Для сервировки,wmf,Дозатор для меду/сиропу WMF 636646040 BARISTA 240 мл,,1999,1,https://comfy.ua/dozator-dlja-meda-siropa-wmf-636646040-barista-240-ml.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
929328656,6726047,EINHELL,Секатор аккумуляторный EINHELL GE-LS 18 Li - Solo (3408300),4284,1816095,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Einhell,einhell,Секатор акумуляторний Einhell GE-LS 18 Li-Solo без АКБ та ЗП (3408300),,4285,1,https://comfy.ua/sekator-akkumuljatornyj-einhell-ge-ls-18-li-solo-bez-akb-ta-zp-3408300.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929328680,6660869,KARCHER,Высоторез KARCHER PSW 18-20 Battery (1.444-010.0),6999,1818015,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Karcher,karcher,Висоторіз Karcher PSW 18-20 Battery (1.444-010.0),,6999,1,https://comfy.ua/vysotorez-karcher-psw-18-20-battery-1-444-010-0.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
929331004,,,,,.1816101,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos ADAPT 261,,10499,1,https://comfy.ua/garnitura-besprovodnaja-epos-adapt-261.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
