809911173,column,column,column,column,1770093,________________frosch,frosch,____frosch___750_,column,104,1,httpscomfyuasredstvodljachistkiunitazafroschgelmalina750mlhtml,176,05112025_1912,column,__42,Фастів,0
809924712,6626068,HAISSER,Отвертка HAISSER 49122 S2 PH1x100 мм (94794),82,1775018,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 PH1x100 мм (49122),,115,1,https://comfy.ua/otvertka-haisser-s2-ph1x100-mm-49122.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
809924713,6626070,HAISSER,Отвертка HAISSER 49124 S2 PH2x100 мм (94798),96,1775017,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 PH2x100 мм (49124),,125,1,https://comfy.ua/otvertka-haisser-s2-ph2x100-mm-49124.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
809924714,6626071,HAISSER,Отвертка HAISSER 49125 S2 PH2x150 мм (94800),107,1775016,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 PH2x150 мм (49125),,135,1,https://comfy.ua/otvertka-haisser-s2-ph2x150-mm-49125.html,,05.11.2025 23:08,,"вул. Соборна, 42",Фастів,0
809924715,6662580,СТАЛЬ,Отвертка держатель бит СТАЛЬ 49094 160 мм (102723),54,1774899,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Тримач для біт Сталь 160 мм (49094),,80,1,https://comfy.ua/derzhatel-dlja-bit-stal-160-mm-49094.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
809925079,6662570,СТАЛЬ,Отвертка СТАЛЬ с трещеткой 12 в 1 (49093),215,1774903,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь 12 в 1 (49093),,215,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-12-v-1-49093.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
809925080,,,,,1776066,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,"Набір викруток Сталь 6 шт. (SL5x75, SL6x100, SL8x150mm, PH1x75, PH2x100, PH3x150mm) (49096)",,385,1,https://comfy.ua/nabor-otvertok-stal-6-sht-sl5x75-sl6x100-sl8x150mm-ph1x75-ph2x100-ph3x150mm-49096.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
809925081,,,,,1774902,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка зі змінними бітами Сталь 26 в 1 (49095),,375,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-26-v-1-49095.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
809925082,6662569,СТАЛЬ,Отвертка СТАЛЬ ударно-поворотная 8 в 1 (49090),341,1774900,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка зі змінними бітами Сталь 8 в 1 (49090),,465,1,https://comfy.ua/otvertka-so-smennymi-bitami-stal-8-v-1-49090.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
809925788,6573212,EINHELL,Шуруповерт EINHELL X-Change TE-CD 18/40 Li-Solo (4513925),1992,1774403,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Дриль-шуруповерт Einhell TE-CD 18/40 Li-Solo (4513925),,1995,1,https://comfy.ua/drel-shurupovert-einhell-te-cd-18-40-li-solo-4513925.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
809925853,6705505,BOSCH,Гайковерт BOSCH ударный GDS 18V-1050 H (0.601.9J8.500),12840,1769618,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 18В (0.601.9J8.500),,12839,1,https://comfy.ua/gajkovert-akkumuljatornyj-bosch-gds-18v-1050-h-18v-0-601-9j8-500.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
809926677,6604883,GRUNHELM,Кофемолка GRUNHELM GC3250S (101852),799,1776820,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Grunhelm,grunhelm,Кавомолка Grunhelm GС3250S,,799,1,https://comfy.ua/kofemolka-grunhelm-gs3250s.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
809927908,,,,,1749291,Техника для дома >> Аксессуары к крупной технике >> Комплекты креплений для установки >> Комплекты креплений для установки Samsung,samsung,Комплект кріплень для установки в колону Samsung SKK-UDW,,2499,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-samsung-skk-udw.html,2699,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
809929227,6679822,ARDESTO,Сушилка для продуктов ARDESTO FDB-1138,3899,1777815,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Ardesto,ardesto,Сушарка для фруктів та овочів Ardesto FDB-1138,,3899,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-ardesto-fdb-1138.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
809930704,6686918,EINHELL,Триммер Einhell X-Change GC-CT 18/24 Li - Solo (3411123),2189,1774399,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Einhell",einhell,Тример садовий Einhell GC-CT 18/24 Li - Solo (3411123),,2189,1,https://comfy.ua/trimmer-sadovyj-einhell-gc-ct-18-24-li-solo-3411123.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
809930707,6664101,GRUNHELM,Мотокоса GRUNHELM GR-5200М (104906),3896,1775104,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Grunhelm",grunhelm,Мотокоса бензинова Grunhelm GR-5200МS,,4505,1,https://comfy.ua/motokosa-benzinovaja-grunhelm-gr-5200m.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
809931167,,,,,1770031,Бытовая химия >> Средства для стирки,dr-beckmann,Засіб для видалення плям Dr.BECKMANN Роллер 75 мл,,99,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-dr-beckmann-roller-75-ml.html,160,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
809931175,,,,,1770063,Бытовая химия >> Средства для стирки,frosch,Ополіскувач для білизни Frosch Квіти бавовника 750 мл,,109,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-frosch-cvety-h-lopchatnika-750-ml.html,180,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
809931178,,,,,1770096,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Frosch,frosch,Ополіскувач для білизни Frosch Лаванда 750 мл,,110,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-frosch-lavanda-750-ml.html,180,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
809931296,,,,,1770065,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Frosch,frosch,Ополіскувач для білизни Frosch Мигдальне молочко 1 л,,119,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-frosch-mindal-noe-molochko-1-l.html,201,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
