942595013,column,column,column,column,1830228,__________elica,elica,__elica_missy_pb_ixa60,column,4799,1,httpscomfyuavytjazhkadekorativnajaelicamissypbixa60html,5699,05112025_2049,column,__42,Фастів,0
942688605,6576862,BROTHER,МФУ струйное BROTHER DCP-T425W (DCPT425WR1),7599,1830182,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Brother",brother,БФП кольорового друку Brother DCP-T425W з Wi-Fi (DCPT425WR1),,7689,1,https://comfy.ua/mfu-cvetnoj-pechati-brother-dcp-t425w-s-wi-fi-dcpt425wr1.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
942690130,,,,,.1818333,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 6V 5.5AH (GP655F1/10398) AGM,,290,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-6v-5-5ah-gp655f1-10398-agm.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
942711713,,,,,1830405,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",handy-home,Чохол для одягу Handy Home 26x20x10 см (TK-04),,95,1,https://comfy.ua/catalog/product/view/id/2670573,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
942724131,7009647,TOLSEN,Круг отрезной TOLSEN 125 х 1.2 x 22.2 мм (76103),23,1832301,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Tolsen,tolsen,Круг відрізний по металу Tolsen 125х1.2х22.2 мм (76103),,21,1,https://comfy.ua/krug-otreznoj-po-metallu-tolsen-125h1-2h22-2-mm-76103.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
942727278,,,,,1830276,Инструменты и автотовары >> Ручные инструменты,stark,Киянка Stark 520300450,,185,1,https://comfy.ua/kijanka-stark-520300450.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
942727279,,,,,1720197,Инструменты и автотовары >> Ручные инструменты,stark,Молоток Stark 520100300,,155,1,https://comfy.ua/molotok-stark-520100300.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
942727280,,,,,1720198,Инструменты и автотовары >> Ручные инструменты,stark,Молоток Stark 520100500,,195,1,https://comfy.ua/molotok-stark-520100500.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
942727351,,,,,1720199,Инструменты и автотовары >> Ручные инструменты,stark,Молоток Stark 520100800,,239,1,https://comfy.ua/molotok-stark-520100800.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
942758208,6715678,AL-KO,Измельчитель электрический AL-KO ComFort MH 2810 (113872),12299,1820403,Инструменты и автотовары >> Садовые инструменты >> Измельчители ветвей >> Измельчители ветвей AL-KO,al-ko,Подрiбнювач садовий AL-KO Easy Crush MH 2810 (113872),,12299,1,https://comfy.ua/izmel-chitel-sadovyj-al-ko-easy-crush-mh-2810-113872.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
942763921,,,,,1832646,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK A30,,3239,1,https://comfy.ua/graficheskij-planshet-veikk-a30.html,3599,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
942763924,,,,,1832647,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK A50,,3059,1,https://comfy.ua/graficheskij-planshet-veikk-a50.html,3399,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
942763925,,,,,1832649,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK VK1060,,2969,1,https://comfy.ua/graficheskij-planshet-veikk-vk1060.html,3299,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
942763927,,,,,1832645,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK A15PRO,,4049,1,https://comfy.ua/graficheskij-planshet-veikk-a15pro.html,4499,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
942781050,,,,,1832650,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK VK1060PRO,,3329,1,https://comfy.ua/graficheskij-planshet-veikk-vk1060pro.html,3699,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
942802686,,,,,1832555,Техника для кухни >> Мелкая техника,wmf,Гриль-барбекю електричний WMF 0415340011 LONO TGRILL FLAT&RIBBED,,4999,1,https://comfy.ua/gril-barbekju-jelektricheskij-wmf-0415340011-lono-tgrill-flat-ribbed.html,6999,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
942854229,,,,,.1021932,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson XP103/600 (4x200мл) BK/С/M/Y (CW-EW610SET02),,619,1,https://comfy.ua/chernila-colorway-epson-xp103-600-4x200ml-bk-s-m-y-cw-ew610set02.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
942855053,6743384,BOSCH,Зубило BOSCH SDS-Plus ECO пикообразное 250 мм (2.608.578.516),127,1800868,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Bosch,bosch,Зубило піку Bosch Eco SDS-plus 250 мм (2.608.578.516),,129,1,https://comfy.ua/zubilo-pika-bosch-eco-sds-max-250-mm-2-608-578-516.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
942855054,6743383,BOSCH,Зубило BOSCH ECO SDS-Plus 250 мм 2.608.578.518,127,1800869,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Bosch,bosch,Зубило піку Bosch Eco SDS-plus 250 мм (2.608.578.518),,129,1,https://comfy.ua/zubilo-pika-bosch-eco-sds-max-250-mm-2-608-578-518.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
942855058,,,,,.1822417,Инструменты и автотовары >> Расходные материалы,werk,Набір свердел Werk 6 шт. (2039712),,259,1,https://comfy.ua/nabor-sverl-werk-6-sht-2039712.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
942855060,,,,,.1822484,Инструменты и автотовары >> Расходные материалы,stal,Стамеска Сталь 44 мм CR-V,,305,1,https://comfy.ua/stameska-stal-44-mm-cr-v.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
942855064,6743380,BOSCH,Зубило BOSCH LongLife SDS-Plus 40 x 250 мм (2.608.690.101),620,1788814,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Bosch,bosch,Зубило Bosch LongLife SDS-Plus 40x250 мм (2.608.690.101),,619,1,https://comfy.ua/zubilo-bosch-longlife-sds-plus-40x250-mm-2-608-690-101.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
942857634,6788410,LENOVO,Мышь LENOVO Legion M300 RGB Gaming Mouse (GY50X79384),1199,1835467,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Lenovo",lenovo,Миша дротова ігрова Lenovo Legion M300 (GY50X79384),,877,1,https://comfy.ua/mysh-provodnaja-igrovaja-lenovo-legion-m300-gy50x79384.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
942859142,,,,,.1726839,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 616/627/632 Picture 2 (6946795850181),,379,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-616-627-632-picture-2-6946795850181.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
942878030,,,,,1832022,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway for Brother (TN1095) HL-1202/DCP-1602 (CW-B1095M),,369,1,https://comfy.ua/catalog/product/view/id/2710243,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
942878319,,,,,1830275,Дом и отдых >> Освещение >> Фонари >> Фонари Stark,stark,Ліхтар Stark L-3-01 3W COB (243000301),,139,1,https://comfy.ua/fonar-stark-l-3-01-3w-cob-243000301.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
942914013,7109627,RITAR,ИБП  RITAR PT-2KL-LCD,9912,1834922,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Ritar",ritar,Джерело безперебійного живлення Ritar PT-2KL-LCD,,10920,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-pt-2kl-lcd.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
942916658,,,,,1827593,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 46mm/Watch 3 45mm/Gear S3 Classic/Gear S3 Frontier Green (706327),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-samsung-galaxy-watch-46mm-watch-3-45mm-gear-s3-classic-gear-s3-frontier-green-706327.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
942948915,,,,,.1831389,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",full-energy,Акумулятор для ДБЖ Full Energy FEP-129 12V 9AH (FEP-129) AGM,,839,1,https://comfy.ua/akkumuljator-dlja-ibp-full-energy-fep-129-12v-9ah-fep-129-agm.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
942959879,6734903,SHOWSEE,Машинка для стрижки SHOWSEE Electric Hair Clipper Black (C2-BK),1009,1831209,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Xiaomi,xiaomi,Тример універсальний Xiaomi ShowSee Electric Hair Clipper Black (C2-BK),,1009,1,https://comfy.ua/trimmer-universal-nyj-xiaomi-showsee-electric-hair-clipper-black-c2-bk.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
942959900,,,,,1821697,Инструменты и автотовары >> Автотовары >> Видеорегистраторы >> Видеорегистраторы 70mai,70mai,Відеореєстратор 70mai A800S,,5999,1,https://comfy.ua/videoregistrator-xiaomi-70mai-a800s.html,6599,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
943004870,,,,,.1832022,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway for Brother (TN1095) HL-1202/DCP-1602 (CW-B1095M),,369,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-for-brother-tn1095-hl-1202-dcp-1602-cw-b1095m.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
943011543,,,,,1834501,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1100-16 (GS1100-16-EU0103F),,2799,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1100-16-gs1100-16-eu0103f.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
943011560,,,,,1834431,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link OC300,,9999,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-oc300.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
943011561,,,,,.1810963,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS318-16P-2S+OUT,,7305,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs318-16p-2s-out.html,11829,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
943265674,,,,,1831261,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US286 Type-C - Type-C 3A Cable 0.5 м Black (50996),,239,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us286-type-c-type-c-3a-cable-0-5-m-black-50996.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
943265679,,,,,1831133,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN AV142 Type-C M - 3.5 mm F Audio Adapter 1см Gray (30632),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-av142-type-c-m-3-5-mm-f-audio-adapter-1sm-gray-30632.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
943266065,,,,,1831120,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US176 USB Type-C Both Angled 3A Data Cable 1 м Black (20856),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us176-usb-type-c-both-angled-3a-data-cable-1-m-black-20856.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
943266070,,,,,1831262,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US286 Type-C - Type-C 3A Cable 1.5 м Black (50998),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us286-type-c-type-c-3a-cable-1-5-m-black-50998.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
943266072,,,,,1831126,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US255 Type-C-Type-C Angled 3A Cable 1 м Gray/Black (50123),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us255-type-c-type-c-angled-3a-cable-1-m-gray-black-50123.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
943266081,,,,,1831260,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US284 USB - Type-C Cable Angled Alum. Braid 2 м Black (50942),,349,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us284-usb-type-c-cable-angled-alum-braid-2-m-black-50942.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
943266082,,,,,1831758,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US323 Type-C-Type-C Both Angled 3A Cable 1 m Gray\Black (70529),,329,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us323-type-c-type-c-both-angled-3a-cable-1-m-gray-black-70529.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
943266087,,,,,1830519,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN US290 USB-A 2.0 - MicroUSB Aluminum Braid 1.5 m Black (60147),,269,1,https://comfy.ua/kabel-ugreen-us290-usb-a-2-0-microusb-aluminum-braid-1-5-m-black-60147.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
943266088,,,,,1831182,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US316 Type-C - Type-C 100W 5A Cable Alum. 1 м Black (70427),,449,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us316-type-c-type-c-100w-5a-cable-alum-1-m-black-70427.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
943266094,,,,,1831199,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US355 Type-C - Type-C 3.1 Gen2 5A 1 m Black (80150),,829,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us355-type-c-type-c-3-1-gen2-5a-1-m-black-80150.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
943271345,,,,,1822772,"Аудио, фото и видео >> Наушники",soundmag,Амбушюр для навушників Soundmag Standart пінні M size 4 mm (1 пара),,159,1,https://comfy.ua/catalog/product/view/id/2710103,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
