1439230353,column,column,column,column,2235427,________________logitech,logitech,___logitech_brio_500_graphite_960001422,column,6299,1,httpscomfyuavebkameradljakompjuteralogitechbrio500graphite960001422html,column,05112025_1755,column,__42,Фастів,0
1439318110,6837433,ATLANTIC,Бойлер ATLANTIC Steatite Ego Slim VM 080 D325-1-BC,8399,2231478,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Atlantic,atlantic,Водонагрівач Atlantic Steatite Ego Slim VM 080 D325-1-BC (1500W),,8399,1,https://comfy.ua/vodonagrevatel-atlantic-steatite-ego-slim-vm-080-d325-1-bc-1500w.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1439320108,,,,,2147160,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Gusto,gusto,Дошка обробна Gusto Полуниця (GT-G-540),,235,1,https://comfy.ua/razdelochnaja-doska-gusto-gt-g-540.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1439320161,6361414,ЕЛНА,Плитка ЭЛНА 200 (56874),1285,2006227,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Элна,elna,Плита електрична настільна Элна ЭЛНА-200,,1415,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-jelna-jelna-200.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1439320161,7191859,ЕЛНА,Плитка ЕЛНА 200 (56874),1412,2006227,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Элна,elna,Плита електрична настільна Элна ЭЛНА-200,,1415,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-jelna-jelna-200.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1439320281,6855549,NEO TOOLS,Фонарь NEO TOOLS 1000 люмен 10 Вт USB 2000 мАч CREE L2 LED + LED (99-028),2018,2094280,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтарь Neo Tools 99-028,,2169,1,https://comfy.ua/fonar-neo-tools-99-028.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1439320282,6840036,NEO TOOLS,Фонарь NEO TOOLS 10 Вт 4000 мАч (99-070),1799,2094292,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтарь Neo Tools 99-070,,1799,1,https://comfy.ua/fonar-neo-tools-99-070.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1439320610,6872654,SAECO,Кофемашина SAECO SM6685/00,51999,2206434,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Saeco,saeco,Кавомашина Saeco SM6685/00,,51999,1,https://comfy.ua/kofemashina-saeco-sm6685-00.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1439325274,6868038,JANOME,Швейная машина JANOME iSEW E36,6799,2232652,Техника для дома >> Швейное оборудование >> Швейное оборудование iSew,isew,Швейна машина iSew E36,,6039,1,https://comfy.ua/shvejnaja-mashina-isew-e36.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1439325274,7087456,ISEW,Швейная машина ISEW E36,6039,2232652,Техника для дома >> Швейное оборудование >> Швейное оборудование iSew,isew,Швейна машина iSew E36,,6039,1,https://comfy.ua/shvejnaja-mashina-isew-e36.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1439331028,,,,,2232634,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Savo,savo,Засіб для миття у ванній кімнаті Savo від вапняного нальоту 500мл,,100,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-savo-ot-izvestkovogo-naleta-500ml.html,115,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1439332362,,,,,2232629,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Domestos,domestos,Засіб для чищення унітазу Domestos Арома Пауер Свіжість океану 700мл,,89,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-domestos-aroma-paujer-svezhest-okeana-700ml.html,102,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1439334340,6986404,YVOLUTION,Защитный шлем YVOLUTION размер S Голубой (YA21B9),926,2235487,Детские товары >> Детский транспорт >> Защита >> Защита YVolution,yvolution,Шолом YVolution р.S Blue (YA21B9),,999,1,https://comfy.ua/shlem-neon-r-s-blue-ya21b9.html,1499,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1439334445,6831205,REVLON,Фен-щетка REVLON Salon One-Step dryer and round styler (RVDR5292UKE),2199,2233641,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Revlon,revlon,Фен-щітка Revlon Salon One-Step dryer and round styler (RVDR5292UKE),,2199,1,https://comfy.ua/fen-schetka-revlon-salon-one-step-dryer-and-round-styler-rvdr5292uke.html,3299,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1439334446,6831207,REVLON,Фен-щетка REVLON Salon One-Step Volumiser Plus (RVDR5298E),2299,2233642,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Revlon,revlon,Фен-щітка Revlon Salon One-Step Volumiser Plus (RVDR5298E),,2299,1,https://comfy.ua/fen-schetka-revlon-salon-one-step-volumiser-plus-rvdr5298e.html,3299,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1439336572,,,,,2147167,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Gusto,gusto,Ємність для зберігання Gusto GT-G-287 1.8 л,,150,1,https://comfy.ua/emkost-dlja-hranenija-gusto-gt-g-287-1-8-l.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1439338227,,,,,2210367,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
"Sulong Toys SPEED RACING DRIFT з р/к - RED SING (блакитний, 1:24) (SL-292RHB)""",,925,1,https://comfy.ua/radioupravljaemaja-mashinka-1-24-sulong-toys-speed-racing-drift-na-r-u-red-sing-goluboj-1-24-sl-292rhb.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1439338230,,,,,2210362,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
"Sulong Toys SPEED RACING DRIFT з р/к - SWORD (сірий, 1:24) (SL-289RHG)""",,649,1,https://comfy.ua/radioupravljaemaja-mashinka-1-24-sulong-toys-speed-racing-drift-na-r-u-sword-seryj-1-24-sl-289rhg.html,925,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1439338231,,,,,2210361,Comfy KIDS >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys Автомобіль SPEED RACING DRIFT з р/к - AEOLUS (сірий, акум.3,7V, 1:16) (SL-284RHG)",,1275,1,https://comfy.ua/radioupravljaemaja-mashinka-1-16-sulong-toys-speed-racing-drift-na-r-u-aeolus-seryj-akkum-3-7v-1-16-sl-284rhg.html,,05.11.2025 23:19,,"вул. Соборна, 42",Фастів,0
1439338232,,,,,2210360,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys SPEED RACING DRIFT з р/к - AEOLUS (жовтий, акум.3,7V, 1:16) (SL-284RHY)",,1275,1,https://comfy.ua/radioupravljaemaja-mashinka-1-16-sulong-toys-speed-racing-drift-na-r-u-aeolus-zheltyj-akkum-3-7v-1-16-sl-284rhy.html,,05.11.2025 23:26,,"вул. Соборна, 42",Фастів,0
1439338233,,,,,2210356,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys GESTURE SENSING з р/к та з сенсорним керуванням - DIZZY (червоний, акум.3,7V, 1:16) (SL-285RHR)",,1497,1,https://comfy.ua/radioupravljaemaja-mashinka-1-16-sulong-toys-gesture-sensing-na-r-u-i-na-sensornom-upravlenii-dizzy-krasnyj-akkum-3-7v-1-16-sl-285rhr.html,,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
1439338234,,,,,2210355,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys METAL CRAWLER з р/к - NOVA (сіро-червоний, метал. корпус, акум.3,7V, 1:16) (SL-231RHGR)",,1697,1,https://comfy.ua/radioupravljaemaja-mashinka-1-16-sulong-toys-metal-crawler-na-r-u-nova-sero-krasnyj-metall-korpus-akkum-3-7v-1-16-sl-231rhgr.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
1439338235,,,,,2210354,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys METAL CRAWLER з р/к - S-REX (оранжевий, метал. корпус, акум.3,7V, 1:16) (SL-230RHO)",,1697,1,https://comfy.ua/radioupravljaemaja-mashinka-1-16-sulong-toys-metal-crawler-na-r-u-s-rex-oranzhevyj-metall-korpus-akkum-3-7v-1-16-sl-230rho.html,,05.11.2025 23:14,,"вул. Соборна, 42",Фастів,0
1439338236,,,,,2210359,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
"Sulong Toys OFF-ROAD CRAWLER з р/к - RACE (матовий чорний, метал. корпус, акум.6V, 1:14) (SL-309RHMBl)""",,2997,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-sulong-toys-off-road-crawler-na-r-u-race-matovyj-chernyj-metall-korpus-akkum-6v-1-14-sl-309rhmbl.html,,05.11.2025 23:15,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1439338237,,,,,2210353,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
"Sulong Toys OFF-ROAD CRAWLER з р/к - RACE (матовий червоний, метал. корпус, акум.6V, 1:14) (SL-309RHMR)""",,2997,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-sulong-toys-off-road-crawler-na-r-u-race-matovyj-krasnyj-metall-korpus-akkum-6v-1-14-sl-309rhmr.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1439338705,,,,,2232631,Бытовая химия >> Все для уборки,savo,Засіб для видалення жиру Savo д/кухні 500мл,,85,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-savo-d-kuhni-500ml.html,115,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1439339101,,,,,2219530,Бытовая химия >> Все для уборки,bonus,Серветка побутова Бонус целюлозні 2+1шт,,31,1,https://comfy.ua/salfetka-bytovaja-bonus-celljuloznye-2-1sht.html,42,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1439339106,,,,,2219393,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Фрекен Бок,freken-bok,"Серветка побутова Фрекен Бок господарчі вологі Антибактеріальні для дому, з клапаном, 48шт",,117,1,https://comfy.ua/salfetka-bytovaja-freken-bok-hozjajstvennye-vlazhnye-antibakterial-nye-dlja-doma-s-klapanom-48sht.html,145,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1439339231,,,,,2219562,Бытовая химия >> Все для уборки,freken-bok,"""Змінна насадка на швабру Фрекен Бок з мікрофібри """"Effect""""""",,159,1,https://comfy.ua/smennaja-nasadka-na-shvabru-freken-bok-iz-mikrofibry-effect.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1439343002,,,,,2238582,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Ранчо укр. м. (30220),,119,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-rancho-ukr-jaz-30220.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
1439343232,6374482,TVS,Сковорода TVS Natura 24 см Green (BS279242910101),1329,2236776,Посуда >> Для приготовления >> Сковороды >> Сковороды TVS,tvs,Сковорода універсальна TVS Natura Induction 24 см (8000807042717),,1329,1,https://comfy.ua/skovoroda-universal-naja-tvs-natura-induction-24-sm-8000807042717.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1439344433,,,,,2221986,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка вбудована Elica LANE B BL MAT/A/52,,12999,1,https://comfy.ua/vytjazhka-vstraivaemaja-elica-lane-b-bl-mat-a-52.html,14499,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1439351029,,,,,2234325,Детские товары >> Игрушки,ugears,3D пазли Ugears Варіатор STEM (70147),,649,1,https://comfy.ua/3d-pazly-ugears-mehanicheskaja-stem-model-variator-70147.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
1439372579,,,,,2226023,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ultra,Мережевий фільтр Ultra SSB6-1.8 (6 роз. 1.8м) Чорний,,319,1,https://comfy.ua/setevoj-fil-tr-ultra-ssb6-1-8-6-roz-1-8m-chernyj.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
