747284073,,,,,1681960,Посуда >> Для приготовления,wmf,"Ківш WMF 714786041 MINI 14 см, 0,9 л",,1099,1,https://comfy.ua/kovsh-wmf-714786041-mini-14-sm-0-9-l714786041-mini-14-sm-0-9-l.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
747284075,,,,,1681962,Посуда >> Для приготовления,wmf,"Ківш WMF 716786040 MINI 16 см, 1,2 л",,1799,1,https://comfy.ua/kovsh-wmf-716786040-mini-16-sm-1-2-l.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
747284128,,,,,.1681858,Посуда >> Для приготовления,wmf,"Каструля WMF 712776040 MINI 12 см, 1 л",,1199,1,https://comfy.ua/kastrjulja-wmf-712776040-mini-12-sm-1-l.html,1599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
747284129,,,,,1681859,Посуда >> Для приготовления,wmf,"Каструля WMF 714776040 MINI 14 см, 1,3 л",,1299,1,https://comfy.ua/kastrjulja-wmf-714776040-mini-14-sm-1-3-l.html,1699,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
747284131,,,,,1681939,Посуда >> Для приготовления,wmf,"Каструля WMF 716766040 MINI 16 см, 1,5 л",,1399,1,https://comfy.ua/kastrjulja-wmf-716766040-mini-16-sm-1-5-l.html,1799,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
747284172,,,,,1668717,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rapoo,Миша бездротова Rapoo M10 Plus Blue,,399,1,https://comfy.ua/catalog/product/view/id/1439173,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,1
747284221,,,,,.1682628,Посуда >> Для приготовления,wmf,Каструля WMF 716836040 MINI з пароваркою 16 см,,1899,1,https://comfy.ua/kastrjulja-wmf-716836040-mini-s-parovarkoj-16-sm.html,2599,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747284222,,,,,1681976,Посуда >> Для приготовления,wmf,"Каструля WMF 718826040 Pasta cooker MINI 18718826040 MINI 3 л, 18 см",,2799,1,https://comfy.ua/kastrjulja-wmf-718826040-pasta-cooker-mini-18718826040-mini-3-l-18-sm.html,3499,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
747284239,,,,,.1681979,Посуда >> Для приготовления,wmf,Каструля WMF 724919990 GLASDECKEL 24 см,,6399,1,https://comfy.ua/kastrjulja-wmf-724919990-glasdeckel-24-sm.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
747284240,,,,,1682633,Посуда >> Для приготовления,wmf,Каструля WMF 1743016040 Vitalis Aroma з пароваркою 28 см,,7699,1,https://comfy.ua/kastrjulja-wmf-1743016040-vitalis-aroma-s-parovarkoj-28-sm.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
747284241,,,,,1681841,Посуда >> Для приготовления,wmf,"Каструля WMF 514395290 FT Mineral Topf 20, 3,7 л Rose Quartz",,6499,1,https://comfy.ua/kastrjulja-wmf-514395290-ft-mineral-topf-20-3-7-l-rose-quartz.html,8799,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
747284242,,,,,1681871,Посуда >> Для приготовления,wmf,"Каструля WMF 517205290 FT Functional T 20 см, Black",,6999,1,https://comfy.ua/kastrjulja-wmf-517205290-ft-functional-t-20-sm-black.html,8999,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
747284243,,,,,1681856,Посуда >> Для приготовления,wmf,"Каструля WMF 517305290 FT Functional T 20 см, 3,7л Black",,7599,1,https://comfy.ua/kastrjulja-wmf-517305290-ft-functional-t-20-sm-3-7l-black.html,9799,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
747284244,,,,,1681839,Посуда >> Для приготовления,wmf,"Каструля WMF 514345290 FT Mineral Topf 24 см, 5,7 л Black",,7799,1,https://comfy.ua/kastrjulja-wmf-514345290-ft-mineral-topf-24-sm-5-7-l-black.html,9999,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
747284245,,,,,1684449,Посуда >> Для приготовления,wmf,"Каструля WMF 1741016040 Vitalis з пароваркою 6,5 л",,9799,1,https://comfy.ua/kastrjulja-wmf-1741016040-vitalis-s-parovarkoj-6-5-l.html,12499,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
