1662279649,column,column,column,column,2900827,__________whp,whp,_whp_max_50,column,4399,1,httpscomfyuavodonagrevatelwhpmax50html,column,05112025_1812,column,__42,Фастів,0
1662308034,6970106,LIBERTON,Бутербродница LIBERTON LSM-5105,1399,2874542,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Liberton,liberton,Бутербродниця Liberton LSM-5105,,1399,1,https://comfy.ua/buterbrodnica-liberton-lsm-5105.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1662308035,6980456,LIBERTON,Бутербродница LIBERTON LSM-5106,1059,2874543,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Liberton,liberton,Бутербродниця Liberton LSM-5106,,1199,1,https://comfy.ua/buterbrodnica-liberton-lsm-5106.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1662308964,6967747,FLORINA,Сковорода FLORINA Jagoda 20 см Black (1P0353),402,2902719,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Jagoda KS 20 см (1P0353),,402,1,https://comfy.ua/skovoroda-universal-naja-florina-jagoda-ks-20-sm-1p0353.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1662308979,6967748,FLORINA,Сковорода FLORINA Jagoda 26 см Black (1P0356),505,2902720,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Jagoda KS 26 см (1P0356),,505,1,https://comfy.ua/skovoroda-universal-naja-florina-jagoda-ks-26-sm-1p0356.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1662308982,6895108,VANORA,Сковорода-гриль VANORA 23х23 см Black (VN-HYCC-61),436,2895647,Посуда >> Для приготовления >> Сковороды >> Сковороды Vanora,vanora,Сковорода гриль Vanora VN-HYCC-61,,436,1,https://comfy.ua/skovoroda-gril-vanora-vn-hycc-61.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1662309481,6967749,FLORINA,Сковорода FLORINA Jagoda 30 см Black (1P0358),659,2902721,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Jagoda KS 30 см (1P0358),,659,1,https://comfy.ua/skovoroda-universal-naja-florina-jagoda-ks-30-sm-1p0358.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1662311382,,,,,.2846093,Игровые консоли и гейминг >> Комплектующие для игровых ПК,prologix,Корпус ProLogix E111 450W Black,,1299,1,https://comfy.ua/korpus-prologix-e111-450w-black.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1662322481,6886858,HEINNER,Плита газовая HEINNER HFSC-V60LITWH,11799,2897968,Техника для кухни >> Крупная техника >> Плиты >> Плиты Heinner,heinner,Плита газова Heinner HFSC-V60LITWH,,11799,1,https://comfy.ua/plita-gazovaja-heinner-hfsc-v60litwh.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1662370691,,,,,2574717,"Дом, отдых и зоотовары >> Освещение",yeelight,Світлодіодний світильник Yeelight Downlight M2 Mesh (YLTS02YL),,499,1,https://comfy.ua/svetodiodnyj-svetil-nik-yeelight-downlight-m2-mesh-ylts02yl.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1662371821,7025111,TEFAL,Форма для выпекания TEFAL Easybake 30см (J1740174),239,2888146,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J1740174 Easybake 30 см,,239,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j1740174-easybake-30-sm.html,399,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1662371900,6895116,HEINNER,Форма для выпекания HEINNER 31х11х8 см (HR-BB-318),399,2890749,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Heinner,heinner,Форма для приготування Heinner 33х11х8 см (HR-BB-318),,399,1,https://comfy.ua/forma-dlja-prigotovlenija-heinner-33h11h8-sm-hr-bb-318.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1662371902,6976892,TEFAL,Форма TEFAL PerfectBake (J5734302),499,2888142,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J5734302 PerfectBake Mini 21х29 см (10 форм),,499,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j5734302-perfectbake-mini-21h29-sm-10-form.html,999,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1662371939,6982553,TEFAL,Противень TEFAL Success 19х25 см (J1600502),649,2888143,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J1600502 Success 19х25 см,,649,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j1600502-success-19h25-sm.html,999,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1662371941,6895114,HEINNER,Форма для выпекания HEINNER Simona Pope 28 см (HR-BB-28),609,2890747,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Heinner,heinner,Форма для випічки Heinner 28х7 см (HR-BB-28),,609,1,https://comfy.ua/forma-dlja-vypechki-heinner-28h7-sm-hr-bb-28.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1662371942,6982554,TEFAL,Форма TEFAL Success 24х36 см (J1601502),859,2888144,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal J1601502 Success 24х36 см,,859,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-j1601502-success-24h36-sm.html,1329,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1662375392,7170792,MINOLA,Духовой шкаф MINOLA EO 675 Dove Gray,8999,2769452,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Minola,minola,Духова шафа електрична Minola EO 675 Dove Gray,,8999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-minola-eo-675-dove-gray.html,9979,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1662375401,7170793,MINOLA,Духовой шкаф MINOLA EO 675 WH,9999,2769451,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Minola,minola,Духова шафа електрична Minola EO 675 WH,,9999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-minola-eo-675-wh.html,10999,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1662375402,7170752,MINOLA,Духовой шкаф MINOLA EOD 675 Dove Gray,9499,2811530,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Minola,minola,Духова шафа електрична Minola EOD 675 Dove Gray,,9499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-minola-eod-675-dove-gray.html,10999,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1662375434,7170753,MINOLA,Духовой шкаф MINOLA EOD 675 WH,10499,2769454,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Minola,minola,Духова шафа електрична Minola EOD 675 WH,,10499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-minola-eod-675-wh.html,11799,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1662389591,6973336,HEINNER,Микроволновая печь HEINNER HMW-M2035WH,2799,2897942,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Heinner,heinner,Мікрохвильова піч (НВЧ) Heinner HMW-M2035WH,,2799,1,https://comfy.ua/mikrovolnovaja-pech-svch-heinner-hmw-m2035wh.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1662389592,6973335,HEINNER,Микроволновая печь HEINNER HMW-M2035SL,3249,2897941,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Heinner,heinner,Мікрохвильова піч (НВЧ) Heinner HMW-M2035SL,,3249,1,https://comfy.ua/mikrovolnovaja-pech-svch-heinner-hmw-m2035sl.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1662389763,6886838,HEINNER,Холодильник HEINNER HC-V336XF+,16999,2897921,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Heinner,heinner,Холодильник Heinner HC-V336XF+,,16999,1,https://comfy.ua/holodil-nik-heinner-hc-v336xf.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1662389810,6891673,HEINNER,Холодильник HEINNER HF-H2206XE++,9999,2897928,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Heinner,heinner,Холодильник Heinner HF-H2206XE++,,9999,1,https://comfy.ua/holodil-nik-heinner-hf-h2206xe.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1662407676,6952685,HEINNER,Нож филейный HEINNER 18 см Red (HR-EVI-P018R),229,2890757,Посуда >> Нарезка и измельчение,heinner,Ніж обвалочний Heinner HR-EVI-P018R,,229,1,https://comfy.ua/nozh-obvalochnyj-heinner-hr-evi-p018r.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1662407678,6952684,HEINNER,Нож филейный HEINNER 18 см Blue (HR-EVI-P018B),229,2890756,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж обвалочний Heinner HR-EVI-P018B,,229,1,https://comfy.ua/nozh-obvalochnyj-heinner-hr-evi-p018b.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1662408376,6952680,HEINNER,Нож универсальный HEINNER Maestro 15 см (HR-EVI-M15),434,2890752,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж кухонний Heinner HR-EVI-M15,,483,1,https://comfy.ua/nozh-kuhonnyj-heinner-hr-evi-m15.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1662408529,6952687,HEINNER,Топорик HEINNER Professional 26 см (HR-EVI-PS026),549,2890759,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Сокира кухонна Heinner HR-EVI-PS026,,549,1,https://comfy.ua/topor-kuhonnyj-heinner-hr-evi-ps026.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1662408533,6952683,HEINNER,Нож поварской HEINNER Maestro 25 см (HR-EVI-M25),605,2890755,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж кухаря Heinner HR-EVI-M25,,605,1,https://comfy.ua/nozh-povara-heinner-hr-evi-m25.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1662408554,6952682,HEINNER,Нож разделочный HEINNER Maestro 20 см (HR-EVI-M20),715,2890754,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж кухонний Heinner HR-EVI-M20,,715,1,https://comfy.ua/nozh-kuhonnyj-heinner-hr-evi-m20.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1662408555,6952681,HEINNER,Нож сантоку HEINNER Maestro 18 см (HR-EVI-M18),796,2890753,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Heinner,heinner,Ніж сантоку Heinner HR-EVI-M18,,796,1,https://comfy.ua/nozh-santoku-heinner-hr-evi-m18.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1662428202,,,,,.2894346,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Чохол для смартфону Gelius Ultra Thin Proof for Oppo A96 Transparent (95451),,149,1,https://comfy.ua/chehol-dlja-smartfona-gelius-ultra-thin-proof-for-oppo-a96-transparent-95451.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1662429210,,,,,2351515,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Леопардова дівчина з лаком та рівнем  40х50 см (VA-3425),,269,1,https://comfy.ua/kartina-po-nomeram-strateg-leopardovaja-devushka-s-lakom-i-urovnem-40h50-sm-va-3425.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1662429692,,,,,2839781,Смартфоны и телефоны >> Аксессуары для смартфонов,choetech,Мережевий зарядний пристрій Choetech PD8008-EU-WH,,2199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-choetech-pd8008-eu-wh.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662439757,6970492,TRANSCEND,Флеш-драйв TRANSCEND 64GB USB 3.2 Type-C JetFlash 790C Чорний (TS64GJF790C),460,2880754,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Флеш USB Transcend JetFlash 790C 64GB USB 3.2 Type-C Black (TS64GJF790C),,459,1,https://comfy.ua/flesh-usb-transcend-jetflash-790c-64gb-usb-3-2-type-c-black-ts64gjf790c.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1662439758,6962751,KINGSTON,Флеш-драйв KINGSTON DT SE9 G3 64GB USB 3.2 Gold (DTSE9G3/64GB),369,2878153,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston DT SE9 G3 64GB USB 3.2 Gold (DTSE9G3/64GB),,369,1,https://comfy.ua/flesh-usb-kingston-dt-se9-g3-64gb-usb-3-2-gold-dtse9g3-64gb.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,2
1662439892,6973346,HEINNER,Пылесос HEINNER HVC-MGRY1400-V2,2869,2897957,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання з мішком Heinner HVC-MGRY1400-V2,,2869,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-heinner-hvc-mgry1400-v2.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1662439911,6898119,HEINNER,Пылесос HEINNER HVC-V750OR,3249,2897960,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання без мішка Heinner HVC-V750OR,,3249,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-heinner-hvc-v750or.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1662439912,6898118,HEINNER,Пылесос HEINNER HVC-V750BL,3129,2897959,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання без мішка Heinner HVC-V750BL,,3129,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-heinner-hvc-v750bl.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1662439913,6973348,HEINNER,Пылесос HEINNER HVC-VBS750PP,3599,2897962,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання з мішком Heinner HVC-VBS750PP,,3599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-heinner-hvc-vbs750pp.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1662439914,6973347,HEINNER,Пылесос HEINNER HVC-MS700KP,3449,2897958,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Heinner,heinner,Пилосос для сухого прибирання з мішком Heinner HVC-MS700KP,,3449,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-heinner-hvc-ms700kp.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1662443333,6886870,HEINNER,Духовой шкаф HEINNER HBO-S569LDTGC-GBK,9759,2897453,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Heinner,heinner,Духова шафа електрична Heinner HBO-S569LDTGC-GBK,,9759,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-heinner-hbo-s569ldtgc-gbk.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1662444757,,,,,2197638,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Canpol babies,canpol-babies,Прорізувач Canpol babies Сенсорне бряскальце (56/610_gre),,179,1,https://comfy.ua/prorezyvatel-canpol-babies-sensornaja-pogremushka-56-610-gre.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1662444764,,,,,2197629,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Canpol babies,canpol-babies,Прорізувач Canpol babies Сенсорне бряскальце (56/610_red),,175,1,https://comfy.ua/prorezyvatel-canpol-babies-sensornaja-pogremushka-56-610-red.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1662444950,,,,,1697095,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку ELFIKI,elfiki,Брязкальце ELFIKI ельфик Айли (ІГ-0106),,475,1,https://comfy.ua/prorezyvatel-elfiki-jel-fik-ajli-ig-0106.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1662444964,,,,,1697100,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку ELFIKI,elfiki,Брязкальце ELFIKI пташка Пипо (ІГ-0109),,355,1,https://comfy.ua/prorezyvatel-elfiki-ptichka-pipo-ig-0109.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1662444983,,,,,1697073,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели ELFIKI,elfiki,Прорізувач ELFIKI косуля Рубі (ІГ-0128),,192,1,https://comfy.ua/prorezyvatel-elfiki-kosulja-rubi-ig-0128.html,219,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1662445465,,,,,2875488,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши GamePro",gamepro,Килимок для миші ігровий GamePro MP150H Black,,199,1,https://comfy.ua/kovrik-dlja-myshi-gamepro-mp150h-black.html,299,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
