752436296,6457344,SEQUIN ART,Набор для творчества SEQUIN ART BUTTON HeartSA1527,294,1704277,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Алмазний живопис Sequin Art Button Сердечко (SA1527),,295,1,https://comfy.ua/catalog/product/view/id/1673373,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
752436298,6613913,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Зайчик (SA1814),320,1704336,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Зайчик (SA1814),,435,1,https://comfy.ua/catalog/product/view/id/1673353,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752436302,6457431,SEQUIN ART,Набор для творчества SEQUIN ART STARDUST Mermaid (SA1013),400,1704331,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Stardust Русалка (SA1013),,539,1,https://comfy.ua/catalog/product/view/id/1673303,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752436306,6457422,SEQUIN ART,Набор для творчества SEQUIN ART RED Rascals Meerkats (SA1008),400,1704327,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Негідники Сурікати Red (SA1008),,545,1,https://comfy.ua/catalog/product/view/id/1673263,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752436309,6457328,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Cakestand SA1423,427,1704264,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Набір Тістечок Blue (SA1423),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-nabor-pirozhnyh-blue-sa1423.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752436310,6457407,SEQUIN ART,Набор для творчества SEQUIN ART PICTURE ART Craft Teen Love (SA1420),360,1704263,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Picture Любов (SA1420),,495,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-picture-ljubov-sa1420.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752436312,6457426,SEQUIN ART,Набор для творчества SEQUIN ART SEASONS Summer SA1418 (3 шт),427,1704261,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Seasons Літо (SA1418),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-seasons-leto-sa1418.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752436316,6457337,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Red Rose SA1001,427,1704325,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Червона Роза Blue (SA1001),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-krasnaja-roza-blue-sa1001.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752436326,6457433,SEQUIN ART,Набор для творчества SEQUIN ART STRICTLY Dancers SA1407,427,1704256,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Strictly Танцюристи (SA1407),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-strictly-tancory-sa1407.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
752436331,6457309,SEQUIN ART,Набор для творчества SEQUIN ART 3D Penguin (SA0503),274,1704251,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art 3D Пінгвін (SA0503),,375,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-3d-pingvin-sa0503.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752436408,,,,,1708228,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Настільна гра (5-7 років) Djeco Піполо (Pipolo) (DJ05108),,375,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-djeco-pipolo-pipolo-dj05108.html,,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
