1429981728,column,column,column,column,2130918,_________beurer,beurer,_beurer_ub_90,column,6979,1,httpscomfyuajelektroprostynbeurerub90html,column,05112025_1849,column,__42,Фастів,0
1430569834,6806868,SENCOR,Весы кухонные SENCOR SKS 5031GR,379,2072155,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Sencor,sencor,Ваги кухонні Sencor SKS5031GR,,379,1,https://comfy.ua/vesy-kuhonnye-sencor-sks5031gr.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1430569835,6806870,SENCOR,Весы кухонные SENCOR SKS 5032BL,379,2072156,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Sencor,sencor,Ваги кухонні Sencor SKS5032BL,,399,1,https://comfy.ua/vesy-kuhonnye-sencor-sks5032bl.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1430569843,6806871,SENCOR,Весы кухонные SENCOR SKS 5033OR,379,2072157,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Sencor,sencor,Ваги кухонні Sencor SKS5033OR,,379,1,https://comfy.ua/vesy-kuhonnye-sencor-sks5033or.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1430573000,6806867,SENCOR,Весы кухонные SENCOR SKS 5030WH,399,2079215,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Sencor,sencor,Ваги кухонні Sencor SKS5030WH,,399,1,https://comfy.ua/vesy-kuhonnye-sencor-sks5030wh.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1430596386,,,,,.1728178,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 3 3200G (YD3200C5FHBOX),,4045,1,https://comfy.ua/processor-amd-ryzen-3-3200g-yd3200c5fhbox.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1430663872,7091136,CAMRY,Фен CAMRY CR 2261,419,2210049,Красота и здоровье >> Уход за волосами,camry,Фен Camry CR 2261,,459,1,https://comfy.ua/fen-camry-cr-2261.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1430663873,7091129,ADLER,Фен ADLER AD 2265,505,2210020,Красота и здоровье >> Уход за волосами >> Фены >> Фены Adler,adler,Фен Adler AD 2265 Green,,505,1,https://comfy.ua/fen-adler-ad-2265-green.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1430727594,6829501,PHILIPS,Фен-щетка PHILIPS BHA310/00,1799,2167629,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Philips,philips,Фен-щітка Philips BHA310/00,,1799,1,https://comfy.ua/fen-schetka-philips-bha310-00.html,2599,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1430794769,7091056,ADLER,Электрочайник ADLER AD 08 White,594,2210014,Техника для кухни >> Мелкая техника,adler,Електричний чайник Adler AD 08 White,,595,1,https://comfy.ua/jelektricheskij-chajnik-adler-ad-08-white.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1430794771,7091057,ADLER,Электрочайник ADLER AD 1234,619,2210016,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Adler,adler,Електричний чайник Adler AD 1234 White,,619,1,https://comfy.ua/jelektricheskij-chajnik-adler-ad-1234-white.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1430821154,,,,,.2212915,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 18 мм (48443),,105,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-18-mm-48443.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
1430821156,,,,,.2212917,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 20 мм (48445),,129,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-20-mm-48445.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
1430821157,,,,,.2212918,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 27 мм (48449),,265,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-27-mm-48449.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1430821954,,,,,.2212919,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 32 мм (48451),,389,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-32-mm-48451.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1430822201,,,,,.2212968,Инструменты и автотовары >> Расходные материалы,haisser,"Круг відрізний по металу Haisser 355х3,5х25,4 мм (4111714)",,209,1,https://comfy.ua/krug-otreznoj-po-metallu-haisser-355h3-5h25-4-mm-4111714.html,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
1430822202,,,,,.2212965,Инструменты и автотовары >> Расходные материалы,haisser,Диск алмазний Haisser 100 мм №60 1 шт. (4412722),,279,1,https://comfy.ua/disk-almaznyj-haisser-100-mm-60-1-sht-4412722.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1430822203,,,,,.2212962,Инструменты и автотовары >> Расходные материалы,haisser,"Диск алмазний Haisser Hurd Ceramics 180x1,8x10.0x25,4 (4212622)",,855,1,https://comfy.ua/disk-almaznyj-haisser-hurd-ceramics-180x1-8x10-0x25-4-4212622.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1430822204,,,,,.2212963,Инструменты и автотовары >> Расходные материалы,haisser,"Диск алмазний Haisser Hurd Ceramics 200x2,0x10x25,4 (4212623)",,999,1,https://comfy.ua/disk-almaznyj-haisser-hurd-ceramics-200x2-0x10x25-4-4212623.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1430822205,,,,,.2212964,Инструменты и автотовары >> Расходные материалы,haisser,"Диск алмазний Haisser Hurd Ceramics 250x2,2x10x25,4 (4212624)",,1385,1,https://comfy.ua/disk-almaznyj-haisser-hurd-ceramics-250x2-2x10x25-4-4212624.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1430822829,6863692,IIYAMA,Монитор IIYAMA G4380UHSU-B1,28719,2213007,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор ігровий IIYAMA G4380UHSU-B1,,28719,1,https://comfy.ua/monitor-igrovoj-iiyama-g4380uhsu-b1.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1430824874,7091049,MESKO,Гриль MESKO MS 3050,1847,2210092,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Mesko,mesko,Гриль-барбекю електричний Mesko MS 3050,,1849,1,https://comfy.ua/gril-barbekju-jelektricheskij-mesko-ms-3050.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1430843395,,,,,.2212948,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 6x110 мм (99800),,64,1,https://comfy.ua/bur-haisser-sds-plus-industrial-6x110-mm-99800.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1430843397,,,,,2212950,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 8x160 мм (99803),,77,1,https://comfy.ua/bur-haisser-sds-plus-industrial-8x160-mm-99803.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430843398,,,,,2212952,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Бур Haisser Sds-Plus Industrial 10x160 мм (99805),,87,1,https://comfy.ua/bur-haisser-sds-plus-industrial-10x160-mm-99805.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1430843399,,,,,2212949,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Бур Haisser Sds-Plus Industrial 6x210 мм (99802),,94,1,https://comfy.ua/bur-haisser-sds-plus-industrial-6x210-mm-99802.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430843400,,,,,2212951,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Бур Haisser Sds-Plus Industrial 8x210 мм (99804),,96,1,https://comfy.ua/bur-haisser-sds-plus-industrial-8x210-mm-99804.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430843401,,,,,2212953,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 10x210 мм (99806),,105,1,https://comfy.ua/bur-haisser-sds-plus-industrial-10x210-mm-99806.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1430843402,,,,,.2212956,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 12x160 мм (99809),,99,1,https://comfy.ua/bur-haisser-sds-plus-industrial-12x160-mm-99809.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1430845173,,,,,.2212957,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 12x210 мм (99810),,115,1,https://comfy.ua/bur-haisser-sds-plus-industrial-12x210-mm-99810.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430845174,,,,,2212954,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 10x260 мм (99807),,119,1,https://comfy.ua/bur-haisser-sds-plus-industrial-10x260-mm-99807.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430845175,,,,,2212955,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Бур Haisser Sds-Plus Industrial 10x310 мм (99808),,139,1,https://comfy.ua/bur-haisser-sds-plus-industrial-10x310-mm-99808.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430845176,,,,,.2212958,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 12x260 мм (99811),,129,1,https://comfy.ua/bur-haisser-sds-plus-industrial-12x260-mm-99811.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1430845177,,,,,2212966,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Зубило Haisser Sds-Plus 250 мм (106574),,225,1,https://comfy.ua/zubilo-haisser-sds-plus-250-mm-106574.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
1430845178,,,,,.2212959,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 14x260 мм (99812),,165,1,https://comfy.ua/bur-haisser-sds-plus-industrial-14x260-mm-99812.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1430845179,,,,,.2212960,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus Industrial 16x210 мм (99813),,195,1,https://comfy.ua/bur-haisser-sds-plus-industrial-16x210-mm-99813.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1430845181,,,,,2212967,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Зубило Haisser Sds-Max 400 мм (106576),,555,1,https://comfy.ua/zubilo-haisser-sds-max-400-mm-106576.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1430846489,,,,,.2213228,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Xiaomi Redmi Note 11 4G/10 5G/10 2022/10 Prime 2022 Black (707325),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-xiaomi-redmi-note-11-4g-10-5g-10-2022-10-prime-2022-black-707325.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1431055608,6856881,KITCHENAID,Кухонный комбайн KITCHENAID 5KFC0516EBM Mate Black,6669,2207116,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFC0516EBM,,6009,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfc0516ebm.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1431056074,6856867,KITCHENAID,Кухонная машина KITCHENAID Artisan 4.8 л 5KSM175PSEOB Black,43599,2207124,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEOB),,39239,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175pseob.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1431056075,6856869,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л White (5KSM175PSEWH)",43599,2208833,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEWH),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psewh.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1431056076,6856868,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Pistachio (5KSM175PSEPT)",43599,2208832,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEPT),,39239,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psept.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1431056077,6856871,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Cast Iron (5KSM185PSEBK)",49999,2207126,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM185PSEBK),,44999,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm185psebk.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1431056085,6856870,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Cream (5KSM185PSEAC)",49999,2207125,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM185PSEAC),,44999,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm185pseac.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1431085772,6747188,TRAMONTINA,Набор ножей для стейка TRAMONTINA Barbecue POLYWOOD 6 шт (21109/674),756,1958454,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір ножів столових Tramontina Barbecue Polywood 6 шт. (21109/674),,955,1,https://comfy.ua/nabor-nozhej-stolovyh-tramontina-barbecue-polywood-6-sht-21109-674.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1431089435,,,,,2208650,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Aira 1200 (UPCSTLP812HAICP01B),,8799,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-aira-1200-upcstlp812haicp01b.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1431121781,6862284,LIBERTON,Хлебопечка LIBERTON LBM-6300,3009,2213514,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Liberton,liberton,Хлібопічка Liberton LBM-6300,,3199,1,https://comfy.ua/hlebopech-liberton-lbm-6300.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
