750922194,column,column,column,column,1684448,Посуда >> Для приготовления,wmf,_wmf_1741026040_vitalis___35_,column,12599,1,httpscomfyuakastrjuljawmf1741026040vitalissparovarkoj35lhtml,column,05112025_2048,column,__42,Фастів,0
750980429,6475190,MAXMARK,Заварник MAXMARK MK-F69-600,379,1655538,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,"Френч-прес Maxmark MK-F69-600  0,6 л",,379,1,https://comfy.ua/french-press-maxmark-mk-f69-600-0-6-l.html,759,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
750980795,6631316,VINZER,Термокружка Vinzer 0.45 л (50139),702,1694922,Посуда >> Для напитков >> Термопосуда >> Термопосуда Vinzer,vinzer,"Термочашка Vinzer 50139  0,45 л.",,702,1,https://comfy.ua/termokruzhka-vinzer-50139-0-45-l.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
750981642,,,,,1687511,Посуда >> Для напитков,wmf,Фляга WMF 603519990 Manhattan 200 мл,,1599,1,https://comfy.ua/fljaga-wmf-603519990-manhattan-200-ml.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
750983290,,,,,1684351,Посуда >> Для напитков,wmf,"Френч-прес WMF 632456040 COFFEE TIME 0,75 л",,3999,1,https://comfy.ua/french-press-wmf-632456040-coffee-time-0-75-l.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
750983302,,,,,1684328,Посуда >> Для напитков,wmf,"Графін WMF 651046040 MOTION 0,8 л",,2199,1,https://comfy.ua/grafin-wmf-651046040-motion-0-8-l.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
750983303,,,,,1684327,Посуда >> Для напитков,wmf,"Графін WMF 651036040 MOTION 1,25 л",,2499,1,https://comfy.ua/grafin-wmf-651036040-motion-1-25-l.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
750983304,,,,,1684317,Посуда >> Для напитков,wmf,Графін WMF 617706610 Basic 1 л Black,,1999,1,https://comfy.ua/grafin-wmf-617706610-basic-1-l-black.html,2499,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
750983305,,,,,1684314,Посуда >> Для напитков,wmf,"Графін WMF 618046040 BASIC з ручкою 1,5 л",,2899,1,https://comfy.ua/grafin-wmf-618046040-basic-s-ruchkoj-1-5-l.html,3599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
750983333,,,,,1684234,Посуда >> Для сервировки,wmf,Шейкер для коктейлів WMF 636836030 Clever & More (набір) 4 пр.,,3099,1,https://comfy.ua/shejker-dlja-koktejlej-wmf-636836030-clever-more-nabor-4-pr.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
750983372,,,,,1694249,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки La Rochere,la-rochere,Келих La Rochere Abeille 0.35 л 637101,,459,1,https://comfy.ua/bokal-la-rochere-abeille-0-35-l-637101.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
750985311,6640576,EPSON,Проектор EPSON EB-FH52 (V11H978040),55979,1698432,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Epson,epson,Проектор Epson EB-FH52 (V11H978040),,53199,1,https://comfy.ua/proektor-epson-eb-fh52-v11h978040.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
750985609,,,,,.1687687,Посуда >> Кухонные аксессуары,wmf,Ситечко для чая/трав WMF 642676040 GOURMET 5 см,,359,1,https://comfy.ua/sitechko-dlja-chaja-trav-wmf-642676040-gourmet-5-sm.html,449,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
750985611,,,,,1687505,Посуда >> Для сервировки,wmf,Воронка для вина WMF 641056040 VINO,,1299,1,https://comfy.ua/voronka-dlja-vina-wmf-641056040-vino.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
750985613,,,,,1684229,Посуда >> Для сервировки,wmf,Лійка WMF 658446040 VINO для декантування вина,,1599,1,https://comfy.ua/lejka-wmf-658446040-vino-dlja-dekantacii-vina.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
750985614,,,,,1683745,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки WMF",wmf,Друшляк WMF 646176040 GOURMET 24 см,,2699,1,https://comfy.ua/durshlag-wmf-646176040-gourmet-24-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
750985787,,,,,1684176,Посуда >> Для сервировки,wmf,"Ємність для масла і оцту WMF 667906030 De Luxe 0,5 л",,1599,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-wmf-667906030-de-luxe-0-5-l.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
750985792,,,,,1684100,Посуда >> Для хранения,wmf,Хлібниця WMF 634466040 Gourmet 43х25 см,,5399,1,https://comfy.ua/hlebnica-wmf-634466040-gourmet-43h25-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
750985859,,,,,1700263,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tescoma",tescoma,Овочерізка tescoma 420637 Presto,,559,1,https://comfy.ua/ovoscherezka-tescoma-420637-presto.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
750986558,,,,,1684309,Посуда >> Для сервировки,wmf,Набір келихів WMF 910029990 Easy Plus 6 шт. 390 мл,,2199,1,https://comfy.ua/nabor-bokalov-wmf-910029990-easy-plus-6-sht-390-ml.html,2799,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
750986739,,,,,1683833,Посуда >> Нарезка и измельчение,wmf,Терка для імбиру WMF 644646030 9 см,,899,1,https://comfy.ua/terka-dlja-imbirja-wmf-644646030-9-sm.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
750986740,,,,,1683822,Посуда >> Нарезка и измельчение,wmf,Терка для пармезану WMF 1871376030 PROFI PLUS 25 см,,999,1,https://comfy.ua/terka-dlja-parmezana-wmf-1871376030-profi-plus-25-sm.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
750986741,,,,,1683839,Посуда >> Нарезка и измельчение,wmf,Терка WMF 644336030 універсальна,,1399,1,https://comfy.ua/terka-wmf-644336030-universal-naja.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
750986742,,,,,1683842,Посуда >> Нарезка и измельчение,wmf,Терка WMF 686176040 Top Tools 33 x 4 см,,1599,1,https://comfy.ua/terka-wmf-686176040-top-tools-33-x-4-sm.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
750986743,,,,,1683840,Посуда >> Нарезка и измельчение,wmf,Терка WMF 644416030 FUNCTIONALS,,1599,1,https://comfy.ua/terka-wmf-644416030-functionals.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
750986867,,,,,1684379,Посуда >> Для напитков,wmf,"Термос WMF 696196040 Motion 0,75 л Steel",,2299,1,https://comfy.ua/termos-wmf-696196040-motion-0-75-l-steel.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
750986868,,,,,1684377,Посуда >> Для напитков,wmf,"Термос WMF 696196610 Motion 0,75 л Black",,2299,1,https://comfy.ua/termos-wmf-696196610-motion-0-75-l-black.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
750986889,,,,,1687351,Посуда >> Нарезка и измельчение,wmf,Млинок для сиру WMF 1874216040 GOURMET 18 см,,2499,1,https://comfy.ua/mel-nica-dlja-syra-wmf-1874216040-gourmet-18-sm.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
750986890,,,,,1683845,Посуда >> Нарезка и измельчение,wmf,Овочерізка WMF 686106040 Top Tools,,4499,1,https://comfy.ua/ovoscherezka-wmf-686106040-top-tools.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
750986891,,,,,1687362,Посуда >> Нарезка и измельчение,wmf,Млин для овочів WMF 605636040 GOURMET,,4999,1,https://comfy.ua/mel-nica-dlja-ovoschej-wmf-605636040-gourmet.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
750986986,,,,,1682104,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 748206021 Durado 20 см,,3399,1,https://comfy.ua/skovoroda-universal-naja-wmf-748206021-durado-20-sm.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
750987204,,,,,.1567685,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,"""Чохол-клавіатура для планшета AIRON Premium for iPad Pro 11"""" Bluetooth Black (4822352781010)""",,1049,1,https://comfy.ua/chehol-klaviatura-dlja-plansheta-airon-premium-for-ipad-pro-11-bluetooth-black-4822352781010.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
750987610,,,,,1695077,Посуда >> Для сервировки,berghoff,Набір ложок столових Berghoff 1212022 Evita 12 пр.,,899,1,https://comfy.ua/nabor-lozhek-stolovyh-berghoff-1212022-evita-12-pr.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
750988241,,,,,1695075,Посуда >> Для сервировки,berghoff,Набір ножів столових Berghoff 1212001 Evita 12 пр.,,1149,1,https://comfy.ua/nabor-nozhej-stolovyh-berghoff-1212001-evita-12-pr.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
750988852,,,,,1682777,Посуда >> Нарезка и измельчение,wmf,Набір ножів WMF 1895859992 SPITZENKLASSE PLUS 6 пр.,,14999,1,https://comfy.ua/nabor-nozhej-wmf-1895859992-spitzenklasse-plus-6-pr.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
750989156,,,,,1682109,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 0575204021 PermaDur Excellent 20 см,,2499,1,https://comfy.ua/skovoroda-universal-naja-wmf-575204021-permadur-excell-20-sm.html,3399,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
750989157,,,,,1682129,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 794609991 PROFI-PFANNEN 20 см,,3999,1,https://comfy.ua/skovoroda-universal-naja-wmf-794609991-profi-pfannen-20-sm.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
750989584,,,,,1682351,Посуда >> Для приготовления,wmf,Сковорода гриль WMF 589674291 27x27 см,,2499,1,https://comfy.ua/skovoroda-gril-wmf-589674291-27x27-sm.html,3399,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
750989585,,,,,.1682088,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 741096290 NordicProfi 20 см,,3199,1,https://comfy.ua/skovoroda-universal-naja-wmf-741096290-nordicprofi-20-sm.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
750989586,,,,,1682101,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 790386991 PROFI-PFANNEN 28 см,,3699,1,https://comfy.ua/skovoroda-universal-naja-wmf-790386991-profi-pfannen-28-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
750989587,,,,,1682115,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 775244021 PermaDur Advanc 24 см,,3399,1,https://comfy.ua/skovoroda-universal-naja-wmf-775244021-permadur-advanc-24-sm.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
750989588,,,,,.1682097,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 741076290 NordicProfi 24 см,,3399,1,https://comfy.ua/skovoroda-universal-naja-wmf-741076290-nordicprofi-24-sm.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
750989589,,,,,1682116,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 775284021 PermaDur Advanc 28 см,,4499,1,https://comfy.ua/skovoroda-universal-naja-wmf-775284021-permadur-advanc-28-sm.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
750989590,,,,,.1682118,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 576204291 PermaDur Premiu 20 см,,4799,1,https://comfy.ua/skovoroda-universal-naja-wmf-576204291-permadur-premiu-20-sm.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
750989592,,,,,1682349,Посуда >> Для приготовления,wmf,Сковорода гриль WMF 748446021 Durado 28 см,,4799,1,https://comfy.ua/skovoroda-gril-wmf-748446021-durado-28-sm.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
750989593,,,,,1682107,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 748246021 Durado 24 см,,3699,1,https://comfy.ua/skovoroda-universal-naja-wmf-748246021-durado-24-sm.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
750989594,,,,,1682120,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 576244291 PermaDur Premiu 24 см,,5499,1,https://comfy.ua/skovoroda-universal-naja-wmf-576244291-permadur-premiu-24-sm.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
750989595,,,,,.1682185,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 520535291 FT Mineral Pfan 24 см,,8999,1,https://comfy.ua/skovoroda-universal-naja-wmf-520535291-ft-mineral-pfan-24-sm.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
