823369530,column,column,column,column,1802225,Детские товары >> Кормление,canpolbabies,__canpol_babies_74020,column,289,1,httpscomfyuanagrudniksilikonovyjcanpolbabies74020html,column,05112025_2145,column,__42,Фастів,0
823706272,7005815,ФРЕКЕН БОК,Пакет-слайдер Фрекен Бок 1л 5шт (4823071627824),46,1754110,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Фрекен Бок,freken-bok,Пакети для заморожування Фрекен Бок 1 л 5 шт. (4823071627824),,39,1,https://comfy.ua/pakety-dlja-zamorozki-freken-bok-1-l-5-sht-4823071627824.html,46,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
823706437,,,,,1806587,Техника для кухни >> Крупная техника,hansa,Духова шафа електрична Hansa BOEI681121,,11099,1,https://comfy.ua/catalog/product/view/id/2391863,12099,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
823706586,,,,,1796952,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки Esperanza",esperanza,Підставка під ноутбук охолоджуюча Esperanza Gaming Notebook Cooling Pad Buran (EGC102),,899,1,https://comfy.ua/podstavka-pod-noutbuk-esperanza-gaming-notebook-cooling-pad-buran-egc102.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
823709692,,,,,.1800983,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon Universal 100 мл Black (CW-CW110BK01),,95,1,https://comfy.ua/chernila-colorway-canon-universal-100-ml-black-cw-cw110bk01.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
823709695,,,,,.1800911,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L3100/3110/3150/3151 70 мл Cyan (CW-EW310C01),,95,1,https://comfy.ua/chernila-colorway-dlja-epson-l3100-3110-3150-3151-70-ml-cyan-cw-ew310c01.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
823709696,,,,,.1800912,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway для Epson L3100/3110/3150/3151 70 мл Magenta (CW-EW310M01),,95,1,https://comfy.ua/chernila-colorway-dlja-epson-l3100-3110-3150-3151-70-ml-magenta-cw-ew310m01.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
823709697,,,,,1800977,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon CL-446 100 мл Cyan (CW-CW446C01),,105,1,https://comfy.ua/chernila-colorway-canon-cl-446-100-ml-cyan-cw-cw446c01.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
823709698,,,,,.1800982,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon PG-445 100 мл Black (CW-CW445BK01),,105,1,https://comfy.ua/chernila-colorway-canon-pg-445-100-ml-black-cw-cw445bk01.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
823709699,,,,,.1802267,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway HP 650/652/123 (Black) (CW-HW652BK01) 100 мл,,105,1,https://comfy.ua/chernila-colorway-hp-650-652-123-black-cw-hw652bk01-100-ml.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
823709922,,,,,.1800889,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,"Чорнило Colorway для Epson L-100/200, 200 мл Magenta (CW-EW101M02)",,159,1,https://comfy.ua/chernila-colorway-dlja-epson-l-100-200-200-ml-magenta-cw-ew101m02.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
823709924,,,,,1800805,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon PG440/510/512/PGI520 BlackPigmen (C10/BP),,145,1,https://comfy.ua/chernila-wwm-canon-pg440-510-512-pgi520-blackpigmen-c10-bp.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
823709985,,,,,1800761,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson L3100/3110/3150 140г Black (E103B),,249,1,https://comfy.ua/chernila-wwm-epson-l3100-3110-3150-140g-black-e103b.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
823710597,,,,,1800347,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C110,,1299,1,https://comfy.ua/ip-kamera-tp-link-tapo-c110.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
823710598,6786881,TP-LINK,IP-камера TP-LINK Tapo C210,1399,1800348,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C210,,1399,1,https://comfy.ua/ip-kamera-tp-link-tapo-c210.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
823717654,,,,,1803649,Посуда >> Для приготовления >> Сковороды >> Сковороды Berghoff,berghoff,Сковорода гриль Berghoff 3950299 LEO STONE 26 см 2.1 л,,1519,1,https://comfy.ua/skovoroda-gril-berghoff-3950299-leo-stone-26-sm-2-1-l.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
823724530,,,,,1806164,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Logitech",logitech,Комп'ютерна акустика звичайна 2.0 Logitech Z207 White (980-001292),,2799,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-logitech-z207-white-980-001292.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
823730031,,,,,1796424,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1.5m Silver/Black (CAM30-CS1),,209,1,https://comfy.ua/catalog/product/view/id/2385443,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,2
824864059,,,,,1796424,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1.5m Silver/Black (CAM30-CS1),,209,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-baseus-jack-3-5mm-yiven-audio-cable-m30-m-m-1-5m-silver-black-cam30-cs1.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,2
828111069,6747567,MERCUSYS,Маршрутизатор Mercusys MW306R,677,1800354,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,Маршрутизатор інтернет WiFi4 Mercusys MW306R,,495,1,https://comfy.ua/marshrutizator-internet-wifi4-mercusys-mw306r.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
829762148,,,,,1796437,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Автомобільний зарядний пристрій Baseus Magic Series Black (CCMLC20C-01),,569,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-baseus-magic-series-black-ccmlc20c-01.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
830823488,7160336,MIELE,Стирально-сушильная машина MIELE WTD 163 WCS,93959,1806552,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Miele,miele,Прально-сушильна машина Miele WTD 163 WCS,,93959,1,https://comfy.ua/stiral-no-sushil-naja-mashina-miele-wtd-163-wcs.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
830824650,,,,,1788913,Детские товары >> Игрушки,salta,Батут Salta Comfort Edition 183 см Black (5071A),,12739,1,https://comfy.ua/batut-salta-comfort-edition-183-sm-black-5071a.html,,05.11.2025 23:14,,"вул. Соборна, 42",Фастів,0
830840387,,,,,1807347,"Дом, отдых и зоотовары >> Декор для дома",strateg,"Алмазний живопис Strateg Зелене серце, 40х50 см (FA40801)",,419,1,https://comfy.ua/catalog/product/view/id/2398083,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
830842237,6683973,HANSA,Духовой шкаф HANSA BOEI681121,11099,1806587,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Hansa,hansa,Духова шафа електрична Hansa BOEI681121,,11099,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-hansa-boei681121.html,12099,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
830845292,6702270,SALTA,Батут SALTA Comfort Edition 427 см Green (5078G),28689,1788841,"Детские товары >> Игрушки >> Батуты, палатки и бассейны >> Батуты, палатки и бассейны Salta",salta,Батут Salta Comfort Edition 427 см Green (5078G),,28689,1,https://comfy.ua/batut-salta-comfort-edition-427-sm-green-5078g.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
830849758,6702266,SALTA,Батут SALTA Comfort Edition 427 см Black (5078A),28689,1788840,"Детские товары >> Игрушки >> Батуты, палатки и бассейны >> Батуты, палатки и бассейны Salta",salta,Батут Salta Comfort Edition 427 см Black (5078A),,28689,1,https://comfy.ua/batut-salta-comfort-edition-427-sm-black-5078a.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
830850242,,,,,1807268,Детские товары >> Подгузники и пеленание,huggies,Одноразові підгузки-трусики Huggies Pant Boy 5 12-17 кг Jumbo 34 (5029053564289),,473,1,https://comfy.ua/catalog/product/view/id/2400183,692,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
830861070,,,,,.1803225,"Детские товары >> Уход, купание и гигиена",sonett,Мило рідке дитяче Sonett 300 мл (GB3019),,559,1,https://comfy.ua/mylo-zhidkoe-detskoe-sonett-300-ml-gb3019.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
830867638,,,,,1760516,Детские товары >> Подгузники и пеленание,eco-by-naty,Серветки вологі для дітей Eco By Naty Органічні з алое (245036),,268,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-eco-by-naty-organicheskie-s-aloje-245036.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
830870981,,,,,1760528,Детские товары >> Подгузники и пеленание,eco-by-naty,Серветки вологі для дітей Eco By Naty Органічні без запаху (245067),,169,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-eco-by-naty-organicheskie-bez-zapaha-245067.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
830871017,6702254,SALTA,Батут SALTA Comfort Edition 366 см Black (5076A),24989,1788839,"Детские товары >> Игрушки >> Батуты, палатки и бассейны >> Батуты, палатки и бассейны Salta",salta,Батут Salta Comfort Edition 366 см Black (5076A),,24989,1,https://comfy.ua/batut-salta-comfort-edition-366-sm-black-5076a.html,,05.11.2025 23:51,,"вул. Соборна, 42",Фастів,0
830871988,,,,,1806717,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Trunki,trunki,Валіза дитяча Trunki Bernard Bumble Bee (0044-GB01-UKV),,2989,1,https://comfy.ua/chemodan-detskij-trunki-bernard-bumble-bee-0044-gb01-ukv.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
830873653,,,,,1807053,Детские товары >> Школа,cubby,Комплект меблів шкільний 2 елементи Cubby Sorpresa Pink,,3457,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-sorpresa-pink.html,3939,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
830874662,,,,,1788828,Детские товары >> Игрушки,salta,Батут Salta Combo 251 см Black (587A),,12389,1,https://comfy.ua/batut-salta-combo-251-sm-black-587a.html,,05.11.2025 23:15,,"вул. Соборна, 42",Фастів,0
830875708,,,,,1806718,Детские товары >> Прогулки и поездки,trunki,Валіза дитяча Trunki Tipu Tiger (0085-WL01-UKV),,2989,1,https://comfy.ua/chemodan-detskij-trunki-tipu-tiger-0085-wl01-ukv.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
830876710,,,,,1807433,"Дом, отдых и зоотовары >> Декор для дома",strateg,"Алмазний живопис Strateg Цар звірів, 40х50 см (FA10001)",,419,1,https://comfy.ua/catalog/product/view/id/2399143,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
832235475,,,,,1797927,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"""Картридж для струменевих принтерів/БФП G&G для Canon PIXMA iP4840","MG5140/5240/6140/8140 (G&G-4556B001)""",,135,1,https://comfy.ua/catalog/product/view/id/2393303,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів
832404726,,,,,.1805659,Посуда >> Для напитков,berghoff,Пляшка для води Berghoff 3950226 Leo 0.75 л Pink,,499,1,https://comfy.ua/butylka-dlja-vody-berghoff-3950226-leo-0-75-l-pink.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
832404737,,,,,1806663,Посуда >> Для напитков,berghoff,"Пляшка для води Berghoff 0,75 л Сіра (3950225)",,499,1,https://comfy.ua/butylka-dlja-vody-berghoff-0-75-l-seraja-3950225.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
832431108,,,,,1797833,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.653 IA 6075/6475 color (3YM74AE),,755,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-653-ia-6075-6475-color-3ym74ae.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
832437548,,,,,1797830,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.305 color (3YM60AE),,675,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-305-color-3ym60ae.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
832437559,,,,,1797831,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.305 black (3YM61AE),,675,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-305-black-3ym61ae.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
832437762,,,,,1797835,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.653 IA 6075/6475 black (3YM75AE),,885,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-653-ia-6075-6475-black-3ym75ae.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
832754043,,,,,1797829,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.305XL black (3YM62AE),,1219,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-305xl-black-3ym62ae.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
832853781,,,,,1797823,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Magenta 29ml (3ED68A),,2015,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-712-designjet-t230-t630-magenta-29ml-3ed68a.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
832853786,,,,,1797825,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Cyan 29ml (3ED67A),,2015,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-712-designjet-t230-t630-cyan-29ml-3ed67a.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
