1407539918,column,column,column,column,2148866,_________________samsung,samsung,______samsung_40w_super_fast_dual_charger_black_epl4020nbegru,column,1399,1,httpscomfyuaavtomobilnoezarjadnoeustrojstvosamsung40wsuperfastdualchargerblackepl4020nbegruhtml,column,05112025_1721,column,__42,Фастів,0
1407676129,,,,,.2152657,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3243 Black,,5999,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3243-black.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1407676131,,,,,2152661,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3423 Black,,7499,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3423-black.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1407676132,,,,,.2152662,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3443 Black,,9499,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3443-black.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1407676133,,,,,.2152663,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3443 Білий,,9499,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3443-bilij.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1407676134,,,,,.2152666,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3623 Black,,9999,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3623-black.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1407676135,,,,,.2152667,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3643 White,,11999,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3643-white.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1407757797,6811681,HANSA,Духовой шкаф HANSA BOES681021,10499,2144722,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Hansa,hansa,Духова шафа електрична Hansa BOES681021,,10499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-hansa-boes681021.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1407793213,6815832,BOSCH,Встраиваемая посудомоечная машина BOSCH SMV2ITX14K,20999,2147104,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Bosch,bosch,Посудомийна машина вбудована Bosch SMV2ITX14K,,20999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-bosch-smv2itx14k.html,22299,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1407797632,6856946,KELA,Гусятница KELA Calido 6 л Black (12473),9379,2153844,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Calido 33х26х12 см 6 л Black (12473),,9379,1,https://comfy.ua/kastrjulja-kela-calido-33h26h12-sm-6-l-black-12473.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1407799812,6852356,PATRIOT,SSD накопитель PATRIOT 240GB P310 M.2 2280 PCIe NVMe 3.0 x4 TLC (P310P240GM28),1541,2154448,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,SSD-накопичувач внутрішній Patriot M.2 240GB PCIe 3.0 P310 (P310P240GM28),,1205,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-m-2-240gb-pcie-3-0-p310-p310p240gm28.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1407887789,,,,,2152848,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Vestfrost,vestfrost,Холодильник Vestfrost CW 286 XB,,13222,1,https://comfy.ua/holodil-nik-vestfrost-cw-286-xb.html,15899,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1407940158,,,,,2147211,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1915-8EP (GS1915-8EP-EU0101F),,5599,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1915-8ep-gs1915-8ep-eu0101f.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1407940160,,,,,2154500,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS310-1G-5S-4S+IN,,7435,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs310-1g-5s-4s-in.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1408027029,6745686,GELIUS,Настольная лампа GELIUS Pro GP-LTL003 Transformer,1399,2154182,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Gelius",gelius,Настільна лампа Gelius Pro LED Desk Lamp GP-LTL003 (86240),,1399,1,https://comfy.ua/nastol-naja-lampa-gelius-pro-led-desk-lamp-gp-ltl003-86240.html,1499,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1408031496,6812380,ATLANTIC,Конвектор BONJOUR CEG BL-Meca/M (1500W),2099,2152865,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Bonjour,bonjour,Конвектор Bonjour CEG BL-Meca/M (1500W),,2099,1,https://comfy.ua/konvektor-bonjour-ceg-bl-meca-m-1500w.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1408125807,,,,,.2152668,Телевизоры и мультимедиа >> Аксессуары для ТВ,vogels,Кріплення для телевізора Vogels TVM 3663 OLED Black,,11999,1,https://comfy.ua/kreplenie-dlja-televizora-vogels-tvm-3663-oled-black.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1408128772,6877354,XIAOMI,Фен XIAOMI Mi Ionic Hair Dryer H300 E,1399,2147109,Красота и здоровье >> Уход за волосами >> Фены >> Фены Xiaomi,xiaomi,Фен Xiaomi H300 E,,1399,1,https://comfy.ua/fen-xiaomi-h300-e.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1408145774,6943523,ASUS,netw.a ASUS RT-AX1800U MU-MIMO OFDMA MESH,2661,2150724,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор интернет WiFi6 Asus RT-AX1800U,,2369,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-rt-ax1800u.html,2709,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1408145774,6837486,ASUS,Маршрутизатор ASUS RT-AX1800U,2768,2150724,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор интернет WiFi6 Asus RT-AX1800U,,2369,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-rt-ax1800u.html,2709,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1408145902,6828567,OSRAM,Лампочка OSRAM LED VALUE PAR16 GU10 5W 3000K (4058075689510),60,2154470,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value PAR16 5W 3000K GU10 (4058075689510),,76,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-par16-5w-3000k-gu10-4058075689510.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1408145903,6828563,OSRAM,Лампочка OSRAM LED VALUE MR16 GU5.3 6W 3000K 220V (4058075689206),70,2154474,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value MR16 6W 3000K GU5.3 (4058075689206),,76,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-mr16-6w-3000k-gu5-3-4058075689206.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1408145904,6828564,OSRAM,"Светодиодная лампа OSRAM LED VALUE MR16, 6W, 4000K, GU5.3 (4058075689237)",70,2154475,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value MR16 6W 4000K GU5.3 (4058075689237),,70,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-mr16-6w-4000k-gu5-3-4058075689237.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1408145907,6828566,OSRAM,"Светодиодная лампа OSRAM LED VALUE PAR16, 8W, 3000K, GU10 (4058075689909)",88,2154472,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value PAR16 8W 3000K GU10 (4058075689909),,88,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-par16-8w-3000k-gu10-4058075689909.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1408145908,6828562,OSRAM,"Светодиодная лампа OSRAM LED VALUE MR16, 8W, 3000K, GU5.3 (4058075689428)",88,2154479,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value MR16 8W 3000K GU5.3 (4058075689428),,88,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-mr16-8w-3000k-gu5-3-4058075689428.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1408145909,6828570,OSRAM,Лампочка OSRAM LED VALUE MR16 8W 4000K GU5.3 (4058075689459),88,2154480,Дом и отдых >> Освещение >> Лампочки >> Лампочки Osram,osram,Лампочка світлодіодна Osram LED Value MR16 8W 4000K GU5.3 (4058075689459),,88,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-mr16-8w-4000k-gu5-3-4058075689459.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1408145914,,,,,2154482,"Дом, отдых и зоотовары >> Освещение",osram,Світлодіодна лампочка Osram LED Value PAR16 9.6W 4000K GU10 (4058075609150),,389,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-par16-9-6w-4000k-gu10-4058075609150.html,779,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1408152116,,,,,2152678,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert DisplayPort V1.2 10m (CC-DP2-10M),,372,1,https://comfy.ua/kabel-cablexpert-displayport-v1-2-10m-cc-dp2-10m.html,799,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1408297917,,,,,2155173,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",viewcon,Перехідник Viewcon USB-C на DisplayPort USB 3.1 (TE391),,399,1,https://comfy.ua/kabel-viewcon-usb-c-na-displayport-usb-3-1-te391.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1408297919,,,,,2155079,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6 S-FTP 1 м White (DK-1644-010/WH),,98,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-s-ftp-1-m-white-dk-1644-010-wh.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1408340509,6877186,KINGSTON,Флеш-драйв KINGSTON DT Exodia 64GB USB 3.2 Black/Teal 2 шт (DTX/64GB-2P),329,1970867,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston USB3.2 Gen 1 DataTraveler Exodia Black-Blue (DTX/64GB-2P),,379,1,https://comfy.ua/flesh-usb-kingston-usb3-2-gen-1-datatraveler-exodia-black-blue-dtx-64gb-2p.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1408367402,7076445,LENOVO,Док-станция LENOVO Dock ThinkPad Universal USB-C (40AY0090EU),8699,2154193,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Lenovo",lenovo,Док-станція Lenovo ThinkPad Universal USB-C Dock (40AY0090EU),,9045,1,https://comfy.ua/dok-stancija-lenovo-thinkpad-universal-usb-c-dock-40ay0090eu.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1408370781,,,,,2154185,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Gelius,gelius,Мережевий зарядний пристрій Gelius Ultra Prime GU-HC02 2USB 2.1A Black+Cable Lightning (91047),,249,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-gelius-ultra-prime-gu-hc02-2usb-2-1a-black-cable-lightning-91047.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1408386968,,,,,2155024,Смартфоны и телефоны >> Аксессуары для смартфонов,anker,Мережевий зарядний пристрій Anker PowerPort 543 Atom III Slim 4 65W 2&2xUSB-C PIQ3.0 (A2046G12),,2599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-anker-powerport-543-atom-iii-slim-4-65w-2-2xusb-c-piq3-0-a2046g12.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1408387245,,,,,.2152847,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ubiquiti,Точка доступу Ubiquiti UniFi U6 PRO,,7659,1,https://comfy.ua/tochka-dostupa-ubiquiti-unifi-u6-pro.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1408387246,,,,,2152846,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа Ubiquiti",ubiquiti,Точка доступу Ubiquiti UniFi U6-Mesh,,8515,1,https://comfy.ua/tochka-dostupa-ubiquiti-unifi-u6-mesh.html,8869,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1408399780,6820133,HATOR,Кресло Hator Arc Fabric Stone Gray (HTC-984),19999,2154488,"Дом, отдых и зоотовары >> Мебель",hator,Крісло для геймерів Hator Arc Fabric (HTC-984) Stone Gray,,17999,1,https://comfy.ua/kreslo-dlja-gejmerov-hator-arc-fabric-htc-984-stone-gray.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1408399783,6814833,JBL,Портативная акустика JBL Go Essential Blue (JBLGOESBLU),1199,2139637,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Go Essential Blue (JBLGOESBLU),,1199,1,https://comfy.ua/portativnaja-akustika-jbl-go-essential-blue-jblgoesblu.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1408399784,6814832,JBL,Портативная акустика JBL Go Essential Black (JBLGOESBLK),1049,2139636,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL GO Essential Black (JBLGOESBLK),,1049,1,https://comfy.ua/portativnaja-akustika-jbl-go-essential-black-jblgoesblk.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1408400366,,,,,.2155188,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",asus,Монітор ігровий Asus VG27VQM,,8999,1,https://comfy.ua/monitor-igrovoj-asus-vg27vqm.html,9549,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1408404532,6743686,RINGEL,Крышка Ringel Universal silicone 24 см (RG-9302-24),361,2155643,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Ringel,ringel,Кришка для посуду Ringel Universal 24 см (RG-9302-24),,555,1,https://comfy.ua/kryshka-dlja-posudy-ringel-universal-24-sm-rg-9302-24.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1408404535,6743685,RINGEL,Крышка Ringel Universal silicone универсальная 24 26 28 см (RG-9303),529,2155642,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Ringel,ringel,Кришка для посуду Ringel Universal (RG-9303),,529,1,https://comfy.ua/kryshka-dlja-posudy-ringel-universal-rg-9303.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1408746483,,,,,2143829,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Asus",asus,Миша бездротова ігрова Asus TUF Gaming M4 WL/BT Black,,2185,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-asus-tuf-gaming-m4-wl-bt-black.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1408759407,6828565,OSRAM,Лампочка OSRAM LED VALUE PAR16 GU10 5W 4000K (4058075689541),60,2154471,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Value PAR16 5W 4000K GU10 (4058075689541),,76,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-value-par16-5w-4000k-gu10-4058075689541.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1408810823,6856942,KELA,Сковорода Вок с крышкой KELA Calido 36 см Light Grey (12610),6199,2153847,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода ВОК Kela Calido 36 см 4.0 л Grey (12610),,6199,1,https://comfy.ua/skovoroda-vok-kela-calido-36-sm-4-0-l-grey-12610.html,6899,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1408853181,6813520,GORENJE,Плита электрическая GORENJE GEC5C41SG,18999,2154160,Техника для кухни >> Крупная техника >> Плиты >> Плиты Gorenje,gorenje,Плита електрична Gorenje GEC 5C41 SG,,18999,1,https://comfy.ua/plita-jelektricheskaja-gorenje-gec-5c41-sg.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,1
1408855694,6819903,BOSCH,Кухонная машина BOSCH MUMS2VM40,11999,2152882,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Bosch,bosch,Кухонна машина Bosch MUMS2VM40,,11999,1,https://comfy.ua/kuhonnaja-mashina-bosch-mums2vm40.html,15599,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
