999012256,column,column,column,column,1852055,Смарт-часы и гаджеты >> Аксессуары,xoko,___xoko_samsung_milanese_22mm_black_xkbnd22mlnbk,column,199,1,httpscomfyuaremeshokdljasmartchasovxokosamsungmilanese22mmblackxkbnd22mlnbkhtml,column,05112025_1900,column,__42,Фастів,0
1003185130,7163944,AHEALTH,Зубная электрощетка AHEALTH SMART SONIC SMILE 1 black (AHsss1b),797,1852828,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AHealth,ahealth,Зубна щітка електрична AHealth Smart Sonic Smile 1 black (AHsss1b),,699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ahealth-smart-sonic-smile-1-black-ahsss1b.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1003327345,6733010,PHILIPS,Утюг с парогенератором PHILIPS PSG8040/60,16999,1851512,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска з парогенератором Philips PSG8040/60,,16999,1,https://comfy.ua/utjug-s-parogeneratorom-philips-psg8040-60.html,19999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1003344476,6733011,PHILIPS,Утюг с парогенератором PHILIPS PSG8140/80,18999,1851515,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска з парогенератором Philips PSG8140/80,,18999,1,https://comfy.ua/utjug-s-parogeneratorom-philips-psg8140-80.html,21999,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1003348864,6600530,WETAIR,Инфракрасный обогреватель WETAIR WQH-2010,799,1830044,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели WetAir,wetair,Обігрівач інфрачервоний WetAir WQH-2010G,,559,1,https://comfy.ua/obogrevatel-infrakrasnyj-wetair-wqh-2010g.html,699,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,2
1003348864,6816551,WETAIR,Инфракрасный обогреватель WETAIR WQH-2010G,599,1830044,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели WetAir,wetair,Обігрівач інфрачервоний WetAir WQH-2010G,,559,1,https://comfy.ua/obogrevatel-infrakrasnyj-wetair-wqh-2010g.html,699,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,2
1003352589,6738637,PYRAMIDA,Вытяжка PYRAMIDA ND 855 BL,6859,1852835,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ND 855 BL,,5349,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-nd-855-bl.html,6859,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1003419964,,,,,1853801,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air Series for Apple iPhone 12/12 Pro Transparent (ARM57379),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-series-for-apple-iphone-12-12-pro-transparent-arm57379.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1003462491,,,,,1853145,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech KK-3 USB (Black),,459,1,https://comfy.ua/klaviatura-provodnaja-a4tech-kk-3-usb-black.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1003462492,,,,,1853143,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech FK25 (Black),,569,1,https://comfy.ua/klaviatura-provodnaja-a4tech-fk25-black.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1003462493,,,,,1853144,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура дротова A4tech FK25 (White),,569,1,https://comfy.ua/klaviatura-provodnaja-a4tech-fk25-white.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1003567101,6747573,TEFAL,Нож поварской TEFAL Comfort 20 см (K2213244),419,1851635,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухаря Tefal K2213244 Comfort 20 см + чохол,,419,1,https://comfy.ua/nozh-povara-tefal-k2213244-comfort-20-sm-chehol.html,529,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1003587576,6790436,REMINGTON,Фен REMINGTON AC7100 E51,1299,1851744,Красота и здоровье >> Уход за волосами >> Фены >> Фены Remington,remington,Фен Remington Supercare PRO 2100 AC motor (AC7100),,1389,1,https://comfy.ua/fen-remington-supercare-pro-2100-ac-motor-ac7100.html,2199,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1003589182,,,,,1854500,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Chicco",chicco,Шампунь для дітей Chicco Baby Moments Kids Без сліз 150 мл (10249.00),,499,1,https://comfy.ua/shampun-dlja-detej-chicco-baby-moments-kids-bez-slez-150-ml-10249-00.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1003589434,,,,,1854501,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Chicco",chicco,Олія дитяча для купання Chicco Baby Moments для чутливої ??шкіри 200 мл (10240.00),,419,1,https://comfy.ua/maslo-detskoe-dlja-kupanija-chicco-baby-moments-dlja-chuvstvitel-noj-kozhi-200-ml-10240-00.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1003589672,,,,,1854450,Детские товары >> Творчество и развитие,4m,Набір для моделювання техніки 4М Робот-дракон (00-03381),,749,1,https://comfy.ua/nabor-dlja-modelirovanija-tehniki-4m-robot-drakon-00-03381.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1003590104,,,,,1853837,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Chicco",chicco,Вушні палички дитячі Chicco з обмежувачем 60 шт. (10440.00),,129,1,https://comfy.ua/ushnye-palochki-detskie-chicco-s-ogranichitelem-60-sht-10440-00.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1003590163,,,,,1853838,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Chicco",chicco,Вушні палички дитячі Chicco бавовняні 90 шт. (10441.00),,169,1,https://comfy.ua/ushnye-palochki-detskie-chicco-hlopkovye-90-sht-10441-00.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1003791050,6910510,LIITOKALA,Зарядное устройство LIITOKALA Lii-S1,239,1853656,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-S1,,239,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-s1.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1003792925,,,,,1854413,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Prime Technics,prime-technics,Сушарка для фруктів та овочів Prime Technics PFD 607 W,,1899,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-prime-technics-pfd-607-w.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1003793243,,,,,1854962,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков RivaCase",rivacase,Сумка для ноутбуку RIVACASE 7532 Grey/Dark Blue,,999,1,https://comfy.ua/sumka-dlja-noutbuka-rivacase-7532-grey-dark-blue.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1003793780,,,,,1835251,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Somat,somat,Таблетка для посудомийної машини Somat Deo Duo-Pearls Lemon & Orange (9000101000436),,105,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-somat-deo-duo-pearls-lemon-orange-9000101000436.html,146,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1003793802,,,,,.1854965,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Рюкзак для ноутбуку RIVACASE 8521 Black,,1149,1,https://comfy.ua/rjukzak-dlja-noutbuka-rivacase-8521-black.html,1235,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1003794634,,,,,1854633,"Аудио, фото и видео >> Наушники",jabra,Гарнітура дротова Jabra Evolve 30 II MS Mono Black (5393-823-309),,3145,1,https://comfy.ua/garnitura-provodnaja-jabra-evolve-30-ii-ms-mono-black-5393-823-309.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1003795503,,,,,.1854961,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Рюкзак для ноутбуку RIVACASE 8461 Black,,1959,1,https://comfy.ua/rjukzak-dlja-noutbuka-rivacase-8461-black.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1003827400,6828947,OSRAM,Лампочка Osram LED E14 4-40W 4000K 220V P45 FILAMENT (4058075435209),69,1854481,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка звичайного розжарювання Osram LED E14 4-40W 4000K 220V P45 Filament (4058075435209),,69,1,https://comfy.ua/lampochka-obychnogo-nakalivanija-osram-led-e14-4-40w-4000k-220v-p45-filament-4058075435209.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1003835446,6828948,OSRAM,Светодиодная лампа OSRAM LED ST8 ENTRY AC G13 600mm 8-18W 6500K 220V (4058075817838),98,1854485,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка люмінесцентна компактна Osram LED ST8 Entry AC G13 600 mm 8-18W 6500K 220V (4058075817838),,99,1,https://comfy.ua/lampochka-ljuminescentnaja-kompaktnaja-osram-led-st8-entry-ac-g13-600-mm-8-18w-6500k-220v-4058075817838.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1003856293,,,,,.1852051,Смарт-часы и гаджеты >> Смарт-часы,globex,Смарт-годинник Globex Me3 Pink,,1599,1,https://comfy.ua/smart-chasy-globex-me3-pink.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1003862468,6786452,RAZER,Клавиатура Razer BlackWidow V3 Mini HyperSpeed Green Switch RU RGB Black (RZ03-03891600-R3R1),6999,1854925,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Razer",razer,Клавіатура бездротова ігрова Razer BlackWidow V3 Mini Hyperspeed Green Switch RU (RZ03-03891600-R3R1),,5999,1,https://comfy.ua/klaviatura-besprovodnaja-igrovaja-razer-blackwidow-v3-mini-hyperspeed-green-switch-ru-rz03-03891600-r3r1.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1003885884,,,,,.1850486,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",fast,Коммутатор локальної мережі (Switch) Fast FS105C,,365,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-fast-fs105c.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1003886759,,,,,1830172,Техника для дома >> Климатическая техника,beko,Фільтр для очищувача повітря Beko ATP7100HF,,649,1,https://comfy.ua/ochistitel-vozduha-beko-atp7100hf.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
