1656559852,6545450,menalux,____menalux_cfp4_100__900256314,219,1834642,_________________menalux,menalux,___menalux_cfp_4_100_,column,219,1,httpscomfyuafiltrdljakofevarkimenaluxcfp4100shthtml,column,05112025_1725,column,__42,Фастів,0
1656858835,,,,,2830081,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway Type-C 3.0А 1m White (CW-CBPDCC055-WT),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-type-c-3-0a-1m-white-cw-cbpdcc055-wt.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,1
1656858861,,,,,2830083,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway Type-C 1m White (CW-CBPDCC058-WT),,279,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-type-c-1m-white-cw-cbpdcc058-wt.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1656859867,6982720,SENCOR,Пылесос SENCOR SVC1025GR,4699,2872617,Техника для дома >> Мелкая техника,sencor,Пилосос для сухого прибирання без мішка Sencor SVC1025GR,,4699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-sencor-svc1025gr.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1656862296,,,,,2863098,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Ruijie",ruijie,PoE-адаптер Ruijie Reyee RG-POE-AT30,,1079,1,https://comfy.ua/poe-adapter-ruijie-reyee-rg-poe-at30.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1656862544,,,,,.2857971,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba Instant On 1930 (JL684B),,38855,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-instant-on-1930-jl684b.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1656862553,,,,,.2857970,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 6100 (JL677A),,146265,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-6100-jl677a.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1656884916,6965812,TEFAL,Набор посуды TEFAL Ingenio Emotion 22 пр (L897SM74),7999,2863123,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Tefal,tefal,Набір посуду зі знімною ручкою Tefal L897SM74 Ingenio Emotion 22 пр,,7999,1,https://comfy.ua/nabor-posudy-so-s-emnoj-ruchkoj-tefal-l897sm74-ingenio-emotion-22-pr.html,18299,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1656884979,,,,,.1996563,Посуда >> Для запекания и выпечки,wilmax,Форма для приготування Wilmax 9х4 см 180 мл (WL-996134 / A),,90,1,https://comfy.ua/forma-dlja-prigotovlenija-wilmax-9h4-sm-180-ml-wl-996134-a.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1656884980,,,,,.1996564,Посуда >> Для запекания и выпечки,wilmax,"Форма для приготування Wilmax 12х5,5 см 400 мл (WL-996136 / A)",,139,1,https://comfy.ua/forma-dlja-prigotovlenija-wilmax-12h5-5-sm-400-ml-wl-996136-a.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1656909704,6965805,TEFAL,Сковорода для оладий TEFAL Ingenio Unlimited 27 см Black (L8610074),1299,2806082,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода для млинців Tefal L8610074 Ingenio Unlimited 27 см,,1299,1,https://comfy.ua/skovoroda-dlja-blinov-tefal-l8610074-ingenio-unlimited-27-sm.html,2199,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1656929020,,,,,.2834217,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for OnePlus 9 Pro Transparancy (708945),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-oneplus-9-pro-transparancy-708945.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1656929024,,,,,.2834239,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чехол для смартфона BeCover for Xiaomi 13 Transparancy (708973),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-xiaomi-13-transparancy-708973.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
