1664541640,column,column,column,column,2917953,Техника для кухни >> Мелкая техника,ecg,_ecg_ph_6530_slow_master,column,2989,1,httpscomfyuamultivarkaecgph6530slowmasterhtml,column,05112025_1832,column,__42,Фастів,0
1664560931,,,,,.2898033,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Hyper Filament 1.75 мм (3301010379),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-hyper-filament-1-75-mm-3301010379.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1664560932,,,,,.2876872,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75мм (3301010342),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75mm-3301010342.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1664560933,,,,,.2898031,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Hyper Filament 1.75 мм (3301010340),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-hyper-filament-1-75-mm-3301010340.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1664560934,,,,,.2898035,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Hyper Filament 1.75 мм (3301010382),,859,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-hyper-filament-1-75-mm-3301010382.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1664560945,,,,,2830104,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301010010),,999,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301010010.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1664568453,,,,,2898866,Техника для кухни >> Мир кофе,nescafe,"Кава у капсулах Nescafe DOLCE GUSTO Lungo 16 шт. 89,6г",,279,1,https://comfy.ua/kofe-v-kapsulah-nescafe-dolce-gusto-lungo-16-sht-89-6g.html,349,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,1
1664571551,6948300,NUTRIBULLET,Блендер NUTRIBULLET Ultra NB1206DGCC (0C22300099),5399,2902733,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры NUTRIBULLET,nutribullet,Блендер стаціонарний NUTRIBULLET Ultra NB1206DG,,5399,1,https://comfy.ua/blender-stacionarnyj-nutribullet-ultra-nb1206dg.html,7099,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1664572127,,,,,2799371,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Bergner,bergner,"Чайник металевий Bergner Coffee & tea lovers 2,3 л (BG-37305-MM)",,2059,1,https://comfy.ua/chajnik-metallicheskij-bergner-coffee-tea-lovers-2-3-l-bg-37305-mm.html,2569,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1664572184,6949907,BERGNER,"Кастрюля BERGNER Excalibur 2,4 л Grey (BG-36100-GY)",1849,2799452,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner Excalibur 20 см (BG-36100-GY),,1849,1,https://comfy.ua/kastrjulja-bergner-excalibur-20-sm-bg-36100-gy.html,2309,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1664572186,6949906,BERGNER,"Кастрюля BERGNER Excalibur 2,4 л Green (BG-36100-GR)",2059,2799455,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner Excalibur 20 см (BG-36100-GR),,2059,1,https://comfy.ua/kastrjulja-bergner-excalibur-20-sm-bg-36100-gr.html,2569,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
