1408912477,column,column,column,column,2148872,"Дом, отдых и зоотовары >> Текстиль",lionelo,___lionelo_bamboo_blanket_pink,column,1199,1,httpscomfyuapleddetskijletolionelobambooblanketpinkhtml,column,05112025_1931,column,__42,Фастів,0
1409290278,6861589,ESPERANZA,Машинка для стрижки ESPERANZA EBC003,329,2157341,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Esperanza,esperanza,Машинка для стрижки волосся Esperanza Stylist EBC003 Silver,,329,1,https://comfy.ua/mashinka-dlja-strizhki-volos-esperanza-stylist-ebc003-silver.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1409290279,6873383,ESPERANZA,Машинка для стрижки ESPERANZA EBC004,499,2157342,Красота и здоровье >> Уход за волосами,esperanza,Машинка для стрижки волосся Esperanza Apollo EBC004 Black/Blue,,499,1,https://comfy.ua/mashinka-dlja-strizhki-volos-esperanza-apollo-ebc004-black-blue.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1409290933,6825577,MINOLA,Вытяжка MINOLA HTL 5714 WH 1100 LED,4199,2136004,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 5714 WH 1100 LED,,4199,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-5714-wh-1100-led.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1409290934,6825575,MINOLA,Вытяжка MINOLA HTL 5714 BL 1100 LED (РН018383),4199,2136005,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 5714 BL 1100 LED,,4199,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-5714-bl-1100-led.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1409290935,6825576,MINOLA,Вытяжка MINOLA HTL 5714 I 1100 LED,4199,2136003,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 5714 I 1100 LED,,4199,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-5714-i-1100-led.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1409290967,6825578,MINOLA,Вытяжка MINOLA HTLS 6234 BL 700 LED GLASS,4099,2136006,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTLS 6234 BL 700 LED GLASS,,4099,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htls-6234-bl-700-led-glass.html,4999,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1409291139,6825579,MINOLA,Вытяжка MINOLA HTLS 6734 BL 1100 LED GLASS,5499,2136007,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTLS 6734 BL 1100 LED GLASS,,5499,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htls-6734-bl-1100-led-glass.html,6666,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1409318958,6820418,PLAYSTATION,Игра Dead Island 2 Day One Edition для Sony PLAYSTATION 5 (PS5),1199,2159017,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS5 Dead Island 2 Day One Edition,,1199,1,https://comfy.ua/igrovoj-disk-ps5-playstation-dead-island-2-day-one-edition.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1409349518,,,,,2163263,Техника для кухни >> Крупная техника,indesit,Духова шафа + індукційна поверхня Indesit IFWS 4841 JH BL+IS 83Q60 NE,,18999,1,https://comfy.ua/duhovoj-shkaf-varochnaja-panel-indukcionnaja-indesit-ifws-4841-jh-bl-is-83q60-ne.html,21999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1409414003,6792307,BRAVO CHEF,Сковорода BRAVO CHEF Safran 20 см Black (BC-1114-20),650,2164429,Посуда >> Для приготовления >> Сковороды >> Сковороды Bravo chef,bravo-chef,Сковорода універсальна BRAVO CHEF Safran 20 см (BC-1114-20),,650,1,https://comfy.ua/skovoroda-universal-naja-bravo-chef-safran-20-sm-bc-1114-20.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1409415062,6720857,BRAVO CHEF,Сковорода BRAVO CHEF Safran 24 см (BC-1114-24),459,2164430,Посуда >> Для приготовления,bravo-chef,Сковорода універсальна BRAVO CHEF Safran 24 см (BC-1114-24),,685,1,https://comfy.ua/skovoroda-universal-naja-bravo-chef-safran-24-sm-bc-1114-24.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1409436106,6722808,LUMINARC,Тарелка столовая мелкая LUMINARC DIWALI 25 см (P3299),96,1960507,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Тарілка обідня Luminarc Diwali 25 см (P3299),,125,1,https://comfy.ua/tarelka-obedennaja-luminarc-diwali-25-sm-p3299.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1409436122,6722804,LUMINARC,Пиала LUMINARC DIWALI 12 см (N3600),106,2061414,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Салатник Luminarc Diwali 12 см (N3600),,107,1,https://comfy.ua/salatnik-luminarc-diwali-12-sm-n3600.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1409447295,,,,,2159056,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",digitus,Хаб USB Digitus USB 2.0 4 Port (DA-70220),,293,1,https://comfy.ua/hab-usb-digitus-usb-2-0-4-port-da-70220.html,649,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1409451880,6996100,EISEN,Мясорубка EISEN EMG-016B,1759,2154215,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки EISEN,eisen,М'ясорубка EISEN EMG-016B,,1229,1,https://comfy.ua/mjasorubka-eisen-emg-016b.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1409908349,6819108,ENCHEN,Электробритва ENCHEN Steel 3S,949,2148224,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen Steel 3S,,949,1,https://comfy.ua/britva-enchen-steel-3s.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1409908351,6819107,ENCHEN,Электробритва ENCHEN BlackStone,449,2148226,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen BlackStone,,449,1,https://comfy.ua/britva-enchen-blackstone.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1409910501,6848547,MPM,Пылесос MPM MOD-34,2199,2156032,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы MPM,mpm,Пилосос ручний для дому MPM MOD-34,,2199,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-mpm-mod-34.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1409911675,6818977,SENNHEISER,Гарнитура SENNHEISER MOMENTUM 4 Wireless Black (509266),14999,2161583,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники повнорозмірні бездротові Sennheiser MOMENTUM 4 Wireless Black (M4AEBT Black/509266),,14999,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-sennheiser-momentum-4-wireless-black-m4aebt-black-509266.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1410146434,6856827,EDLER,Блендер EDLER EDSB-9878,1019,2155090,Техника для кухни >> Мелкая техника,edler,Блендер стаціонарний Edler EDSB-9878,,934,1,https://comfy.ua/blender-stacionarnyj-edler-edsb-9878.html,1099,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1410183712,6444027,BRITA,Фильтр BRITA Fill&Go Active голубой (1020336),649,2162621,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Active 600 мл Blue,,649,1,https://comfy.ua/butylka-dlja-vody-brita-active-600-ml-blue-4006387072575.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1410183713,6444029,BRITA,Фильтр BRITA Fill&Go Active розовый (1020337),649,2162622,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Active 600 мл Pink,,649,1,https://comfy.ua/butylka-dlja-vody-brita-active-600-ml-pink-4006387072599.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1410183714,6444028,BRITA,Фильтр BRITA Fill&Go Active лайм (1020338),649,2162623,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Active 600 мл Lime,,649,1,https://comfy.ua/butylka-dlja-vody-brita-active-600-ml-lime-4006387072612.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1410183748,6819562,BRITA,Фильтр-бутылка BRITA Vital 600 мл Blue (1020103),779,2162619,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Vital 600 мл Blue (4006387061548),,769,1,https://comfy.ua/butylka-dlja-vody-brita-vital-600-ml-blue-4006387061548.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1410183749,6819563,BRITA,Фильтр-бутылка BRITA Vital 600 мл Lime (1020105),779,2162620,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Vital 600 мл Lime (4006387061562),,769,1,https://comfy.ua/butylka-dlja-vody-brita-vital-600-ml-lime-4006387061562.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1410183750,6819561,BRITA,Фильтр-бутылка BRITA Vital 600 мл Pink (1020102),779,2162618,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Brita,brita,Пляшка для води Brita Vital 600 мл Pink (4006387061524),,769,1,https://comfy.ua/butylka-dlja-vody-brita-vital-600-ml-pink-4006387061524.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
