1654838243,,,,,2738012,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Bollire,bollire,Набір столових приборів Bollire BR-5001 PESCARA 24 шт.,,2104,1,https://comfy.ua/nabor-stolovyh-priborov-bollire-br-5001-pescara-24-sht.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1654838631,,,,,.2852010,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.16.S1.3060.A6111),,34538,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-16-s1-3060-a6111.html,39699,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1654839034,,,,,2857718,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Ліло і Стіч - СТИЧ З УКУЛЕЛЕ (55615),,805,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-cerii-lilo-i-stich-stich-s-ukulele-55615.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1654839036,,,,,2857720,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Наруто – САСКЕ (72072),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-serii-naruto-saskje-72072.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1654839037,7085544,FUNKO,Фигурка FUNKO POP Аватар ААНГ (72099),649,2857721,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії АВАТАР - ААНГ (72099),,655,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-serii-avatar-aang-72099.html,,06.11.2025 1:18,,"вул. Соборна, 42",Фастів,0
1654839038,,,,,2857723,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Бажання - АША ІЗ ЗІРКОЮ (72420),,505,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-serii-zhelanie-asha-so-zvezdoj-72420.html,,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0
1654839040,,,,,2857976,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO Movies: Harry Potter CoS 20th - Harry (5908305241584),,719,1,https://comfy.ua/kollekcionnaja-figurka-funko-movies-harry-potter-cos-20th-harry-5908305241584.html,,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
1654839146,,,,,2798543,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки TMNT,tmnt,Колекційна фігурка TMNT «Черепашки-Ніндзя MOVIE III» – ЛЕОНАРДО (звук) (83351),,503,1,https://comfy.ua/kollekcionnaja-figurka-tmnt-cherepashki-nindzja-movie-iii-leonardo-zvuk-83351.html,975,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
1654839147,,,,,2798561,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки TMNT,tmnt,Колекційна фігурка TMNT «Черепашки-Ніндзя MOVIE III» –  МІКЕЛАНДЖЕЛО (звук) (83353),,599,1,https://comfy.ua/kollekcionnaja-figurka-tmnt-cherepashki-nindzja-movie-iii-mikelandzhelo-zvuk-83353.html,975,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1654839148,,,,,2798562,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки TMNT,tmnt,Колекційна фігурка TMNT «Черепашки-Ніндзя MOVIE III» –  РАФАЕЛЬ (звук) (83354),,599,1,https://comfy.ua/kollekcionnaja-figurka-tmnt-cherepashki-nindzja-movie-iii-rafajel-zvuk-83354.html,975,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1654839321,,,,,2778284,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители Trust",trust,Мережевий фільтр Trust Surge Guard 6XSchuko 1.8m (21059),,699,1,https://comfy.ua/setevoj-fil-tr-trust-surge-guard-6xschuko-1-8m-21059.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1654840151,,,,,2827738,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 7500F Tray (100-000000597),,6425,1,https://comfy.ua/processor-amd-ryzen-5-7500f-100-000000597.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1654840333,,,,,.2852011,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.32.S1.3060.A6112),,35930,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-32-s1-3060-a6112.html,41299,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1654840925,,,,,2821742,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 32GB KIT 3200 FURY Impact (KF432S20IBK2/32),,5599,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-32gb-kit-3200-fury-impact-kf432s20ibk2-32.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1654841852,,,,,.2852013,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (I12400F.32.S1.4060.A6114),,35999,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-i12400f-32-s1-4060-a6114.html,42899,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,1
1654844573,,,,,.2818150,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 7 мм (48432),,42,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-7-mm-48432.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1654844576,,,,,.2818152,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 12 мм (48437),,59,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-12-mm-48437.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1654844647,,,,,.2818153,Инструменты и автотовары >> Ручные инструменты,stal,Ключ комбiнований Сталь Сатин 14 мм (48439),,70,1,https://comfy.ua/kljuch-kombinirovannyj-stal-satin-14-mm-48439.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1654845031,,,,,.2784950,Инструменты и автотовары >> Ручные инструменты,haisser,Плоскогубці Haisser 160 мм (41173),,285,1,https://comfy.ua/ploskogubcy-haisser-160-mm-41173.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1654847399,7082965,MAXI-COSI,Кресло-качалка MAXI-COSI CASSIA SWG Beyond Graphite ECO (2840043110),9480,2852106,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Maxi-Cosi",maxi-cosi,Крісло-качалка Maxi-Cosi CASSIA SWG Beyond Graphite ECO,,9480,1,https://comfy.ua/kreslo-kachalka-maxi-cosi-cassia-swg-beyond-graphite-eco.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1654847845,,,,,2847802,Детские товары >> Игрушки >> Пазлы >> Пазлы Vladi Toys,vladi-toys,"""Пазли (до 2 років) Vladi Toys """"Звірята"""" (укр) (VT3301-01)""",,71,1,https://comfy.ua/pazly-magnitnye-do-2-let-vladi-toys-zverjushki-ukr-vt3301-01.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
