1086383711,column,column,column,column,1903670,comfy_kids_____________madpax,madpax,__madpax_metallic_extreme_half_knight_rider_mmetkrhalf,column,3599,1,httpscomfyuarjukzakshkolnyjmadpaxmetallicextremehalfknightridermmetkrhalfhtml,column,05112025_2113,column,__42,Фастів,0
1088068429,,,,,1893358,Посуда >> Для напитков >> Термопосуда >> Термопосуда Well Done,well-done,Термос Well Done 1000 мл (WD-7031D),,599,1,https://comfy.ua/termos-well-done-1000-ml-wd-7031d.html,749,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1088068497,,,,,.1893359,Посуда >> Для напитков,well-done,Термос Well Done 1500 мл (WD-7041B),,879,1,https://comfy.ua/termos-well-done-1500-ml-wd-7041b.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1088083605,6773712,TEFAL,Тостер TEFAL TT693110,2499,1897416,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Tefal,tefal,Тостер Tefal TT693110,,2499,1,https://comfy.ua/toster-tefal-tt693110.html,2799,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1088160008,,,,,1883229,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Tasty Baking 24.5x4 см Grey/Blue (AR2311T),,88,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-tasty-baking-24-5x4-sm-grey-blue-ar2311t.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1088161028,6789473,ARDESTO,Форма для выпечки Ardesto Tasty Baking (AR2314T),74,1883226,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Tasty Baking 23x9 см Grey/Blue (AR2314T),,74,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-tasty-baking-23x9-sm-grey-blue-ar2314t.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1088161032,6789482,ARDESTO,Форма для запекания ARDESTO BLACK MARS 2.4 л (AR2403BG),309,1885723,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Black Mars 2.4 л (AR2403BG),,309,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-black-mars-2-4-l-ar2403bg.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1088170915,6772203,LOGITECH,Клавиатура Logitech G213 Prodigy Gaming Keyboard USB (920-010740),2899,1905528,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура дротова ігрова Logitech G213 Prodigy UKR (920-010740),,2899,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-logitech-g213-prodigy-ukr-920-010740.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1088201881,6770078,ROWENTA,Триммер ROWENTA TN3011F0,699,1884465,Красота и здоровье >> Уход за лицом,rowenta,Тример для носа і вух Rowenta TN3011F0,,699,1,https://comfy.ua/catalog/product/view/id/3270933,999,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1088204334,7041470,TOLSEN,Ключ комбинированный TOLSEN храповый 13 мм (15209),199,1884405,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Ключ-трiскачка Tolsen 13 мм (15209),,199,1,https://comfy.ua/kljuch-treschetka-tolsen-13-mm-15209.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1088206297,7041806,TOLSEN,Напильник TOLSEN полукруглый 20.5х6.0 мм (32005),145,1885220,Инструменты и автотовары >> Ручные инструменты >> Напильники >> Напильники Tolsen,tolsen,Напилок Tolsen 200 мм (32005),,165,1,https://comfy.ua/napil-nik-tolsen-200-mm-32005.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1088206300,7041810,TOLSEN,"Напильник TOLSEN 20,2х6,5 мм (32021)",107,1884508,Инструменты и автотовары >> Ручные инструменты >> Напильники >> Напильники Tolsen,tolsen,Напилок Tolsen 200 мм (32021),,145,1,https://comfy.ua/napil-nik-tolsen-200-mm-32021.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
