1259738190,,,,,.1983506,Инструменты и автотовары >> Ручные инструменты,haisser,Викрутка Haisser S2 SL3x100 мм (49127),,84,1,https://comfy.ua/otvertka-haisser-s2-sl3x100-mm-49127.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1259738191,6626075,HAISSER,Отвертка HAISSER 49130 S2 SL6x100 мм (94810),99,1983508,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 L6x100 мм (49130),,125,1,https://comfy.ua/otvertka-haisser-s2-l6x100-mm-49130.html,,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
1259738192,6626069,HAISSER,Отвертка HAISSER 49123 S2 PH1x150 мм (94796),92,1983503,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 PH1x150 мм (49123),,119,1,https://comfy.ua/otvertka-haisser-s2-ph1x150-mm-49123.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1259741143,,,,,1973983,Инструменты и автотовары >> Расходные материалы,irwin,Біта для викрутки IRWIN PH2 1/4'' 25 мм 250 шт. (10504384),,2345,1,https://comfy.ua/nabor-bit-dlja-otvertki-irwin-ph2-1-4-25-mm-250-sht-10504384.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
1259747714,6945432,TOLSEN,Набор бит TOLSEN 41 предмет (20036),481,1884171,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Tolsen,tolsen,Біта для викрутки Tolsen 41 пр. (20036),,659,1,https://comfy.ua/nabor-bit-dlja-otvertki-tolsen-41-pr-20036.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1259747847,,,,,1982035,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Rapoo",rapoo,Клавіатура + миша бездротова Rapoo 8210M Black,,1699,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-rapoo-8210m-black.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,1
1259773540,6919810,NEO TOOLS,Ножовка по дереву NEO TOOLS Extreme 400 мм 7TPI (41-131),378,1988782,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo Tools",neo-tools,Ножівка Neo Tools 400 мм (41-131),,439,1,https://comfy.ua/nozhovka-neo-tools-400-mm-41-131.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1259773542,6919813,NEO TOOLS,Ножовка по дереву NEO TOOLS Extreme 450 мм 7TPI (41-136),399,1988783,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo Tools",neo-tools,Ножівка Neo Tools 450 мм (41-136),,399,1,https://comfy.ua/nozhovka-neo-tools-450-mm-41-136.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1259773545,6919812,NEO TOOLS,Ножовка по дереву NEO TOOLS Extreme 450 мм 11TPI (41-166),509,1988786,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo Tools",neo-tools,Ножівка Neo Tools 450 мм (41-166),,509,1,https://comfy.ua/nozhovka-neo-tools-450-mm-41-166.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1259773546,6919820,NEO TOOLS,Ножовка NEO TOOLS 450 мм 7TPI (41-036),665,1988776,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo Tools",neo-tools,Ножівка Neo Tools 450 мм (41-036),,665,1,https://comfy.ua/nozhovka-neo-tools-450-mm-41-036.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
