1669764444,column,column,column,column,2917129,_________________samsung,samsung,___samsung_15w_wireless_charger_duo_with_ta_epp5400tbegeu,column,3699,1,httpscomfyuabesprovodnoezarjadnoeustrojstvosamsung5wwirelesschargerduowithtaepp5400tbegeuhtml,column,05112025_1721,column,__42,Фастів,0
1672674947,,,,,2946934,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Водяна система охолодження ID-Cooling Dashflow 360 Basic White,,3349,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-id-cooling-dashflow-360-basic-white.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1672675151,,,,,2948017,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Процесорний кулер Deepcool Assassin 4S (R-ASN4S-BKGPMN-G),,3899,1,https://comfy.ua/processornyj-kuler-deepcool-assassin-4s-r-asn4s-bkgpmn-g.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1673862808,6981506,PHILIPS,Блендер PHILIPS HR2683/00,3099,2943087,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Philips,philips,Блендер міні-комбайн Philips HR2683/00,,3099,1,https://comfy.ua/blender-mini-kombajn-philips-hr2683-00.html,3699,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1675482062,,,,,.2917929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte H610M S2H V2 DDR5,,3499,1,https://comfy.ua/materinskaja-plata-gigabyte-h610m-s2h-v2-ddr5.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1675483344,,,,,.2834821,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",kodak,Сканер Kodak S2060W (1015114),,49635,1,https://comfy.ua/skaner-kodak-s2060w-1015114.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1675500079,,,,,.2700015,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock B650M PRO RS,,6399,1,https://comfy.ua/materinskaja-plata-asrock-b650m-pro-rs.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1675808777,6975309,NEOR,Термосумка NEOR 6L PK (22706119),399,2902751,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки Neor",neor,Сумка ізотермічна Neor 6L PK,,399,1,https://comfy.ua/sumka-izotermicheskaja-neor-6l-pk.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1675808825,6975308,NEOR,Термосумка NEOR 5L BL (22707031),469,2902752,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки Neor",neor,Сумка ізотермічна Neor 5L BL,,469,1,https://comfy.ua/sumka-izotermicheskaja-neor-5l-bl.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1678069480,,,,,.2704126,Смартфоны и телефоны >> Аксессуары для смартфонов,tnb,Автотримач TnB WCh2,,515,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-tnb-wch2.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1678069488,,,,,.2704125,Смартфоны и телефоны >> Аксессуары для смартфонов,tnb,Автотримач TnB WCh,,529,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-tnb-wch.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1678069592,,,,,2929947,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-av,,499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-av.html,899,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1678069631,,,,,2929949,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-hg.black,,1099,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-hg-black.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1678069658,,,,,2929948,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate maghoop-gn,,599,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-maghoop-gn.html,1299,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1678690496,,,,,.2940711,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 82 (i514400B582),,17796,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-82-i514400b582.html,20455,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1678873176,,,,,.2941114,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 84 (i514400B584),,18492,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-84-i514400b584.html,21255,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1678873180,,,,,.2940700,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 162 (i514400B5162),,19183,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-162-i514400b5162.html,22049,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1679166036,,,,,.2940712,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 821 (i514400B5821),,20827,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-821-i514400b5821.html,23939,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1679257181,,,,,.2940702,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 164 (i514400B5164),,19879,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-164-i514400b5164.html,22849,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1679264961,,,,,.2941115,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 841 (i514400B5841),,21740,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-841-i514400b5841.html,24989,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1679265170,,,,,.2940300,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 164 (Ryzen75700XRTX30506GBNM164),,28210,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-164-ryzen75700xrtx30506gbnm164.html,32425,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1679270170,,,,,.2940701,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 1621 (i514400B51621),,22215,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-1621-i514400b51621.html,25535,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1679272291,,,,,.2940699,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 1610 (i514400B51610),,21740,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-1610-i514400b51610.html,24989,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1679453458,,,,,.2940628,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 1641 (i512400FRTX30506GBNM1641),,31899,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-1641-i512400frtx30506gbnm1641.html,36665,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1679492954,,,,,.2940703,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 1641 (i514400B51641),,22911,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-1641-i514400b51641.html,26335,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1679494653,,,,,.2940708,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 324 (i514400B5324),,22436,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-324-i514400b5324.html,25789,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1679891066,,,,,.2940705,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 3210 (i514400B53210),,24298,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-3210-i514400b53210.html,27929,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1679946377,,,,,.2940709,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 3241 (i514400B53241),,25434,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-3241-i514400b53241.html,29235,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1679969605,,,,,.2940706,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 32101 (i514400B532101),,27296,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-32101-i514400b532101.html,31375,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1680003622,,,,,.2940713,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 821Win (i514400B5821Win),,26383,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-821win-i514400b5821win.html,30325,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1680016271,,,,,.2940707,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400 B5 32102 (i514400B532102),,27514,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400-b5-32102-i514400b532102.html,31625,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1680041528,,,,,.2940630,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 6GB NM 1642 (i512400FRTX30506GBNM1642),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-6gb-nm-1642-i512400frtx30506gbnm1642.html,36959,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1680118185,,,,,.2940301,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 3050 6GB NM 1641 (Ryzen75700XRTX30506GBNM1641),,31206,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-3050-6gb-nm-1641-ryzen75700xrtx30506gbnm1641.html,35869,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
