1648569481,column,column,column,column,2778241,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,____armorstandart_antiblue_for_ulefone_armor_pad_2_4g_arm72593,column,349,1,httpscomfyuazaschitnajaplenkadljaplanshetaarmorstandartantiblueforulefonearmorpad24garm72593html,column,05112025_2127,column,__42,Фастів,0
1648569490,,,,,2778238,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Lenovo Tab P12 TB370FU (ARM70863),,399,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-lenovo-tab-p12-tb370fu-arm70863.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1648569491,,,,,.2780123,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Teclast P30HD 10.1 (ARM66886),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-teclast-p30hd-10-1-arm66886.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1648569492,,,,,.2780125,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Pixus Touch 7 (ARM67147),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-pixus-touch-7-arm67147.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1648569493,,,,,.2780126,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Pixus Touch 7 (ARM67156),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-pixus-touch-7-arm67156.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1648569494,,,,,.2782630,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Prestigio Seed A7 (ARM62258),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-prestigio-seed-a7-arm62258.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1648569495,,,,,.2781888,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Huawei MatePad 11 (2023) (ARM69459),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-huawei-matepad-11-2023-arm69459.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1648571201,7007647,KARCHER,"Шланг всасывающий KARCHER 3,5 м Black (2.997-110.0)",790,2542048,Инструменты и автотовары >> Полив >> Принадлежности для насосов >> Принадлежности для насосов Karcher,karcher,Шланг Karcher 2.997-110.0,,829,1,https://comfy.ua/shlang-karcher-2-997-110-0.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1648571212,6895444,CELLFAST,"""Муфта CELLFAST ремонтная для шланга IDEAL 1""""-3/4"""" (57-010)""",146,2533556,Инструменты и автотовары >> Полив >> Соединители для шлангов >> Соединители для шлангов Cellfast,cellfast,"""З'єднувач для шланга Cellfast Ideal 1""""-3/4"""" (57-010)""",,149,1,https://comfy.ua/soedinitel-dlja-shlanga-cellfast-ideal-1-3-4-57-010.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1648571427,,,,,.2615057,"Аудио, фото и видео >> Фотокамеры",panasonic,Об'єктив до фотокамери Panasonic Micro 4/3 Lens 15mm f/1.7 ASPH Black (H-X015E9-K),,23999,1,https://comfy.ua/ob-ektiv-k-fotokamere-panasonic-micro-4-3-lens-15mm-f-1-7-asph-black-h-x015e9-k.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1648574732,6951353,PHILIPS,Набор аксессуаров PHILIPS XV1433/00,1259,2815832,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Набір фільтрів і щіток для пилососа Philips XV1433/00,,1259,1,https://comfy.ua/nabor-fil-trov-i-schetok-dlja-pylesosa-philips-xv1433-00.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1648580215,6948370,HP,Моноблок HP 24-cr0000ua (95Z22EA),32724,2806917,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) HP",hp,Комп'ютер-моноблок HP 24-cr0000ua AiO (95Z22EA) Shell White,,32405,1,https://comfy.ua/komp-juter-monoblok-hp-24-cr0000ua-aio-95z22ea-shell-white.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1648588671,,,,,.2723688,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Cobalt Industrial DIN 338 4.5х47х80мм (2014308),,54,1,https://comfy.ua/sverlo-haisser-cobalt-industrial-din-338-4-5h47h80mm-2014308.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1648588672,,,,,.2723689,Инструменты и автотовары >> Расходные материалы,haisser,Свердло Haisser Cobalt Industrial DIN 338 7.0х69х109 мм (2014311),,125,1,https://comfy.ua/sverlo-haisser-cobalt-industrial-din-338-7-0h69h109-mm-2014311.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1648592113,,,,,2795185,Техника для дома >> Аксессуары к мелкой технике,baseus,Набір фільтрів для пилососа Baseus A2 3PCS (CRXCQA2-A01),,179,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-baseus-a2-3pcs-crxcqa2-a01.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648592115,6877135,EINHELL,Фильтр для золы EINHELL (2351315),365,2810535,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Фільтр для пилососа Einhell 2351315 для золи,,365,1,https://comfy.ua/fil-tr-dlja-pylesosa-einhell-2351315-dlja-zoly.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648592201,6970224,EINHELL,Фыльтр EINHELL 10 л 5 шт (2351135),498,2809817,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір фільтрів для пилососа Einhell 10 л 5 шт. (2351135),,499,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-einhell-10-l-5-sht-2351135.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648592412,6967717,ELECTROLUX,Фильтр циклонный ELECTROLUX ZE004,1499,.2797450,Техника для дома >> Аксессуары к мелкой технике,electrolux,Фільтр для пилососа Electrolux ZE004,,1499,1,https://comfy.ua/fil-tr-dlja-pylesosa-electrolux-ze004.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648593178,6877352,XIAOMI,Машина для стрижки XIAOMI Grooming Kit Pro EU,1999,2810542,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Xiaomi,xiaomi,Тример універсальний Xiaomi Grooming Kit Pro EU,,1999,1,https://comfy.ua/trimmer-universal-nyj-xiaomi-grooming-kit-pro-eu.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1648610457,6930425,PHILIPS,Насадки для влажной уборки PHILIPS XV1470/00,999,2815833,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Набір насадок-мікрофібр для пилососа Philips XV1470/00,,999,1,https://comfy.ua/nabor-nasadok-mikrofibr-dlja-pylesosa-philips-xv1470-00.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1648610457,6930427,PHILIPS,Набор мешков PHILIPS XV1472/00,999,2815833,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Набір насадок-мікрофібр для пилососа Philips XV1470/00,,999,1,https://comfy.ua/nabor-nasadok-mikrofibr-dlja-pylesosa-philips-xv1470-00.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1648610458,6930426,PHILIPS,Комплект аксессуаров PHILIPS XV1473/00,1259,2797510,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Набір фільтрів і щіток для пилососа Philips XV1473/00,,1259,1,https://comfy.ua/nabor-fil-trov-i-schetok-dlja-pylesosa-philips-xv1473-00.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1648610459,6912947,PHILIPS,Насадки из микрофибры PHILIPS XV1670/02,1199,2719416,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Насадка-мікрофібра для пилососа Philips XV1670/02,,1199,1,https://comfy.ua/nasadka-mikrofibra-dlja-pylesosa-philips-xv1670-02.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1648610561,,,,,.2797451,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux KIT09C,,1529,1,https://comfy.ua/nabor-nasadok-dlja-pylesosa-electrolux-kit09c.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1648610562,,,,,.2813914,Техника для дома >> Аксессуары к мелкой технике,electrolux,Щітка для пилососа Electrolux ZE143,,2399,1,https://comfy.ua/schetka-dlja-pylesosa-electrolux-ze143.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648610563,6978855,ELECTROLUX,Насадка для пылесоса ELECTROLUX ZE138 (900923271),3199,2795182,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Щітка для пилососа Electrolux ZE138,,3199,1,https://comfy.ua/schetka-dlja-pylesosa-electrolux-ze138.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1648610564,6950133,ELECTROLUX,Насадка ELECTROLUX ZE 139A (900923273),3199,2813916,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Насадка для пилососа Electrolux ZE139A,,3199,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ze139a.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648610565,6978861,ELECTROLUX,Насадка для пылесоса ELECTROLUX ZE160 (900923521),3499,.2809959,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ZE160,,3499,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ze160.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648610650,,,,,.2731614,Посуда >> Для сервировки,wilmax,Тарілка десертна Wilmax Olive Green.Graphics 17 см (WL-671501 / A),,159,1,https://comfy.ua/tarelka-desertnaja-wilmax-olive-green-graphics-17-sm-wl-671501-a.html,296,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1648610673,6978860,ELECTROLUX,Насадка для пылесоса ELECTROLUX ZE157 (900923438),3699,2813915,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ZE157,,4899,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ze157.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648610721,,,,,2780167,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,Батарея мобільна Sandberg PD 50000mAh 130W PD 3хUSB 3xType-C LED 2W (420-75),,5999,1,https://comfy.ua/batareja-mobil-naja-sandberg-pd-50000mah-130w-pd-3husb-3xtype-c-led-2w-420-75.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1648611952,,,,,.2731113,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Olive Green.Graphics 27 см (WL-671525 / A),,525,1,https://comfy.ua/tarelka-obedennaja-wilmax-olive-green-graphics-27-sm-wl-671525-a.html,688,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1648612515,6875959,EINHELL,Набор мешков EINHELL 15 л 5 шт (2351165),268,2810537,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір мішків для пилососа Einhell 15 л 5 шт. (2351165),,269,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-einhell-15-l-5-sht-2351165.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648612516,,,,,2810532,Техника для дома >> Аксессуары к мелкой технике,einhell,Набір мішків для пилососа Einhell 30 л 5 шт. (2351170),,289,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-einhell-30-l-5-sht-2351170.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1648612517,6877125,EINHELL,Мешки для пылесоса EINHELL 12-15л 5 шт (2351185),310,2810534,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір мішків багаторазових для пилососа Einhell 12-15 л 5 шт. (2351185),,329,1,https://comfy.ua/nabor-meshkov-mnogorazovyh-dlja-pylesosa-einhell-12-15-l-5-sht-2351185.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1648612518,6826490,EINHELL,мешок для пылесоса EINHELL 25 л 5 шт (2351190),359,2809970,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір мішків для пилососа Einhell 5 шт. (2351190),,359,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-einhell-5-sht-2351190.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1648612519,7042835,KARCHER,Мешки для пылесоса KARCHER 4 шт. (2.863-325.0),410,2809969,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Набір мішків для пилососа Karcher 4 шт. (2.863-325.0),,429,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-karcher-4-sht-2-863-325-0.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1648612520,6855463,EINHELL,Мешок для пылесоса EINHELL 40л 5 шт (2351180),428,2810533,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Einhell,einhell,Набір мішків для пилососа Einhell 40 л 5 шт. (2351180),,429,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-einhell-40-l-5-sht-2351180.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1648636484,,,,,2802851,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Masterpro",masterpro,Друшляк Masterpro Foodies collection 24 см (BGMP-1530),,1069,1,https://comfy.ua/durshlag-masterpro-foodies-collection-24-sm-bgmp-1530.html,1939,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1648652192,6919689,EINHELL,Скобы EINHELL 19 мм 3000 шт (4137875),302,2781224,Инструменты и автотовары >> Расходные материалы >> Скобы >> Скобы Einhell,einhell,Скоби Einhell 19 мм 3000 шт. (4137875),,335,1,https://comfy.ua/skoby-einhell-19-mm-3000-sht-4137875.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1648652449,,,,,.2684985,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Шампур Grill Me BQ-045C,,309,1,https://comfy.ua/shampur-grill-me-bq-045c.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1648652450,,,,,.2684984,"Дом, отдых и зоотовары >> Отдых и путешествия",grill-me,Шампур Grill Me BQ-060C,,455,1,https://comfy.ua/shampur-grill-me-bq-060c.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1648660946,,,,,2786198,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Міжзоряний космічний корабель (60430),,759,1,https://comfy.ua/konstruktor-lego-city-mezhzvezdnyj-kosmicheskij-korabl-60430.html,949,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1648661041,,,,,2786200,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Classic Творчі улюбленці (11034),,1024,1,https://comfy.ua/konstruktor-lego-classic-tvorcheskie-ljubimcy-11034.html,1647,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1648661043,,,,,2786938,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Creator Дикі тварини сафарі (31150),,2559,1,https://comfy.ua/konstruktor-lego-creator-dikie-zhivotnye-safari-31150.html,3199,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1648661045,,,,,2786918,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Creator Ретро ролики (31148),,1143,1,https://comfy.ua/konstruktor-lego-creator-retro-roliki-31148.html,1429,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
