800056612,column,column,column,column,1716197,____________bburago,bburago,__bburago__construction___volvo_ec220e_1832086,column,747,1,httpscomfyuanazemnajaspectehnikabburagoseriiconstructionjekskavatorvolvoec220e1832086html,column,05112025_2357,column,__42,Фастів,0
800057015,7057075,STRATEG,Настольные игры STRATEG Лото (30662),199,1741158,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (8 +) Strateg лото з дерев'яними фішками, укр (30662)",,225,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-8-strateg-loto-s-derevjannymi-fishkami-ukr-30662.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
800057018,7045334,STRATEG,Настольная игра STRATEG La Torre (30758),299,1741182,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg Дженга кольорова """"La Torre"""" (30758)""",,365,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-strateg-dzhenga-cvetnaja-la-torre-30758.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
800057019,,,,,.1741180,Детские товары >> Игрушки,strateg,"Настільна гра (8+) Strateg Ерудит, укр (30451)",,109,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-strateg-jerudit-ukr-30451.html,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
800057033,6653126,4D MASTER,Объемная анатомическая модель 4D MASTER Череп человека (FM-626111),1560,1739536,Детские товары >> Творчество и развитие,4d-master,Набір для дослідження 4D Master Об'ємна анатомічна модель.Череп людини (FM-626111),,1199,1,https://comfy.ua/nabor-dlja-issledovanija-4d-ob-emnaja-anatomicheskaja-model-cherep-cheloveka-fm-626111.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
800057033,7065057,4D MASTER,acc/child 4D MASTER Об`ємна модель Череп людини,1392,1739536,Детские товары >> Творчество и развитие,4d-master,Набір для дослідження 4D Master Об'ємна анатомічна модель.Череп людини (FM-626111),,1199,1,https://comfy.ua/nabor-dlja-issledovanija-4d-ob-emnaja-anatomicheskaja-model-cherep-cheloveka-fm-626111.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
800059554,,,,,1758234,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone XS (616-00512),,1199,1,https://comfy.ua/catalog/product/view/id/2022773,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
800059555,,,,,1758235,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone XS Max (616-00507),,699,1,https://comfy.ua/catalog/product/view/id/2022783,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
800068022,,,,,1755346,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Black,,7449,1,https://comfy.ua/catalog/product/view/id/2027233,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800068025,,,,,1755344,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші дротові Sennheiser IE 100 PRO Red,,4949,1,https://comfy.ua/catalog/product/view/id/2026893,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
800075526,,,,,1755347,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Clear,,7449,1,https://comfy.ua/catalog/product/view/id/2027343,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800090826,6613832,NIC,Конструктор NIC cubio элемент шариковой дороги Цель (NIC2185),373,1704376,Детские товары >> Игрушки >> Конструкторы >> Конструкторы nic,nic,Дерев'яний конструктор для малюків nic Елемент Шарикової Дороги Мета (NIC2185),,499,1,https://comfy.ua/derevjannyj-konstruktor-dlja-malyshej-nic-jelement-sharikovoj-dorogi-cel-nic2185.html,,06.11.2025 0:06,,"вул. Соборна, 42",Фастів,0
800096780,,,,,1754927,Техника для дома >> Крупная техника,willer,Водонагрівач Willer IV50DR Brig Mirror,,11159,1,https://comfy.ua/catalog/product/view/id/2028113,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
800263494,6738106,SENNHEISER,Наушники SENNHEISER IE 100 PRO Clear (508941),4476,1755347,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Clear,,7449,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-wireless-clear.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800263494,6738150,SENNHEISER,Гарнитура SENNHEISER IE 100 PRO Wireless Clear (509172),6849,1755347,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Clear,,7449,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-wireless-clear.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800263495,6738149,SENNHEISER,Гарнитура SENNHEISER IE 100 PRO Wireless Black (509171),7449,1755346,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові Sennheiser IE 100 PRO Wireless Black,,7449,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-wireless-black.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800263498,,,,,.1755344,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші дротові Sennheiser IE 100 PRO Red,,4949,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-red.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
800263500,,,,,.1755343,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші дротові Sennheiser IE 100 PRO Clear,,4475,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-sennheiser-ie-100-pro-clear.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800263502,6738105,SENNHEISER,Наушники SENNHEISER IE 100 PRO Black (508940),4475,1755342,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші дротові Sennheiser IE 100 PRO Black,,4475,1,https://comfy.ua/naushniki-vkladyshi-provodnye-sennheiser-ie-100-pro-black.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
800263504,6889383,СНІЖНА ПАНДА,Влажные салфетки Снежная Панда для младенцев Целебные травы 100 шт (4820183970459),98,1759151,Детские товары >> Подгузники и пеленание,snizhna-panda,"Вологі серветки для немовлят Сніжна панда для немовлят Цілющі трави, 100 шт. (4820183970459)",,115,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-snizhna-panda-dlja-mladencev-celebnye-travy-100-sht-4820183970459.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
800263505,6889385,СНІЖНА ПАНДА,Влажные салфетки Снежная Панда для младенцев Ромашка 72 шт (4820183970473),69,1759150,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Сніжна панда,snizhna-panda,"Вологі серветки для немовлят Сніжна панда для немовлят Ромашка, 72 шт. (4820183970473)",,80,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-snizhna-panda-dlja-mladencev-romashka-72-sht-4820183970473.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
800263507,6889384,СНІЖНА ПАНДА,Влажные салфетки Снежная панда Алоэ для младенцев без запаха 72 шт (4820183970442),69,1759149,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Сніжна панда,snizhna-panda,"Вологі серветки для немовлят Сніжна панда для немовлят Алое без аромату, 72 шт. (4820183970442)",,80,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-snizhna-panda-dlja-mladencev-aloje-bez-aromata-72-sht-4820183970442.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
800263509,,,,,.1759142,Детские товары >> Подгузники и пеленание,snizhna-panda,"Вологі серветки для немовлят Сніжна панда Ромашка, 64 шт. (4820144460456)",,68,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-snizhna-panda-romashka-64-sht-4820144460456.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
800263513,,,,,1759140,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Сніжна панда,snizhna-panda,"Серветки вологі для дітей Сніжна панда для рук Ромашка, 15 шт. (4820183970503)",,15,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-snizhna-panda-dlja-ruk-romashka-15-sht-4820183970503.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
800263515,,,,,1759139,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Сніжна панда,snizhna-panda,"Серветки вологі для дітей Сніжна панда для рук Антимікробні, 15 шт. (4820183970480)",,15,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-snizhna-panda-dlja-ruk-antimikrobnye-15-sht-4820183970480.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
800263526,6666343,LG,Холодильник LG GW-B509SMUM,26499,1760237,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GW-B509SMUM,,26499,1,https://comfy.ua/holodil-nik-lg-gw-b509smum.html,29999,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
800263558,,,,,1760535,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки-трусики Eco By Naty Органічні Розмір 6 (16+ кг) 18 шт. (244114),,652,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-eco-by-naty-organicheskie-razmer-6-16-kg-18-sht-244114.html,789,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
800263560,,,,,1760533,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки Eco By Naty Органічні Розмір 6 (16+ кг) 17 шт. (178419),,645,1,https://comfy.ua/odnorazovye-podguzniki-eco-by-naty-organicheskie-razmer-6-16-kg-17-sht-178419.html,839,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
800263562,,,,,1760532,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки Eco By Naty Органічні Розмір 2 (3-6 кг) 33 шт. (178365),,848,1,https://comfy.ua/odnorazovye-podguzniki-eco-by-naty-organicheskie-razmer-2-3-6-kg-33-sht-178365.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
800263564,,,,,1760526,Детские товары >> Подгузники и пеленание,eco-by-naty,Одноразові підгузки-трусики Eco By Naty Органічні Розмір 5 (12-18 кг) 34 шт. (177696),,1329,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-eco-by-naty-organicheskie-razmer-5-12-18-kg-34-sht-177696.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
800263568,,,,,1760525,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки Eco By Naty Органічні Розмір 5 (11-26 кг) 40 шт. (178457),,1083,1,https://comfy.ua/odnorazovye-podguzniki-eco-by-naty-organicheskie-razmer-5-11-26-kg-40-sht-178457.html,1309,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
800263571,,,,,1760522,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки Eco By Naty Органічні Розмір 3 (4-9 кг) 50 шт. (178426),,1289,1,https://comfy.ua/odnorazovye-podguzniki-eco-by-naty-organicheskie-razmer-3-4-9-kg-50-sht-178426.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
800263573,,,,,1760534,Детские товары >> Подгузники и пеленание,eco-by-naty,Одноразові підгузки-трусики Eco By Naty Органічні Розмір 4 (8-15 кг) 36 шт. (244152),,1419,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-eco-by-naty-organicheskie-razmer-4-8-15-kg-36-sht-244152.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
