752438812,column,column,column,column,1689757,__________________nattou,nattou,_nattou___655125,column,425,1,httpscomfyuamjagkajaigrushkapodushkanattouslonikrozi655125html,column,05112025_2041,column,__42,Фастів,0
752439087,7069498,GOKI,Пирамидка Goki Человечек 6 эл (58896),238,1689183,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пірамідка goki Чоловічок (58896),,299,1,https://comfy.ua/piramidka-goki-chelovechek-58896.html,379,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
752439092,6439410,GOKI,Пирамида GOKI (58542),509,1689181,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пірамідка goki Вежа (58542),,509,1,https://comfy.ua/piramidka-goki-bashnja-58542.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752439121,6611334,JANOD,Пирамидка JANOD Панда (J08188),527,1689779,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Пірамідка Janod Панда (J08188),,699,1,https://comfy.ua/piramidka-janod-panda-j08188.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752439146,6375926,SIGIKID,Мини-мобайл SIGIKID 41762SK,700,1689565,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Sigikid,sigikid,Мобіль тканевий Sigikid Інструменти (41762SK),,681,1,https://comfy.ua/mobil-tkanevyj-sigikid-instrumenty-41762sk.html,851,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752439157,6611705,NIC,Сортер-каталка NIC Такси (NIC1550),1639,1688763,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки nic,nic,Сортер nic Таксі (NIC1550),,2199,1,https://comfy.ua/sorter-nic-taksi-nic1550.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752439226,,,,,.1676863,Детские товары >> Игрушки,hochu-konstruktor,Конструктор Хочу Конструктор набор 700+ (ХК-700),,799,1,https://comfy.ua/konstruktor-hochu-konstruktor-nabor-700-hk-700.html,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
752439239,,,,,1676871,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Хочу Конструктор,hochu-konstruktor,Конструктор Хочу Конструктор набор Трубопровод 50 шт. (XKT-50),,399,1,https://comfy.ua/konstruktor-hochu-konstruktor-nabor-truboprovod-50-sht-xkt-50.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
752439323,,,,,1625267,Детские товары >> Игрушки >> Активные игры >> Активные игры >> Активные игры Hasbro,hasbro,Твістер Hasbro (98831),,1289,1,https://comfy.ua/nastol-naja-igra-hasbro-tvister-98831.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
752439474,,,,,1593031,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Yago,yago,Настільна гра Yago CORTEX 2 CHALLENGE KIDS,,319,1,https://comfy.ua/nastol-naja-igra-yago-cortex-2-challenge-kids.html,499,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
752439483,6579770,SAME TOY,Научный набор SAME TOY Солнечная система Планетарий (2135Ut),169,1592565,Детские товары >> Творчество и развитие >> Исследования и фокусы >> Исследования и фокусы Same Toy,same-toy,Набір для дослідження Same Toy Сонячна система Планетарій (2135Ut),,209,1,https://comfy.ua/nauchnyj-nabor-same-toy-solnechnaja-sistema-planetarij-2135ut.html,299,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
752439484,6579768,SAME TOY,Научный набор SAME TOY Система очистки воды (611Ut),166,1592566,Детские товары >> Творчество и развитие >> Исследования и фокусы >> Исследования и фокусы Same Toy,same-toy,Набір для дослідження Same Toy Система очищення води (611Ut),,199,1,https://comfy.ua/nauchnyj-nabor-same-toy-sistema-ochistki-vody-611ut.html,299,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
752439487,6579767,SAME TOY,Научный набор SAME TOY Извержение вулкана (609Ut),299,1592569,Детские товары >> Творчество и развитие,same-toy,Набір для дослідження Same Toy Виверження вулкана (609Ut),,299,1,https://comfy.ua/nauchnyj-nabor-same-toy-izverzhenie-vulkana-609ut.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
752439521,6613849,NIC,Конструктор NIC Тоскана маленький 20 эл. (NIC523311),973,1592688,Детские товары >> Игрушки >> Конструкторы >> Конструкторы nic,nic,Дерев'яний конструктор для малюків nic Тоскана маленький (NIC523311),,1185,1,https://comfy.ua/konstruktor-derevjannyj-nic-toskana-malen-kij-nic523311.html,,06.11.2025 0:54,,"вул. Соборна, 42",Фастів,0
752439547,6352920,MAGPLAYER,Магнитный конструктор MAGPLAYER 14 (MPB-14),399,1592905,Детские товары >> Игрушки >> Конструкторы >> Конструкторы MagPlayer,magplayer,Магнітний конструктор Magkiss 14 ел. (MPB-14),,399,1,https://comfy.ua/konstruktor-magnitnyj-magplayer-14-jel-mpb-14.html,625,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0
