1644874116,7110725,MILWAUKEE,Кусачки MILWAUKEE для зачистки проводов 190мм (4932478554),1584,2696400,Инструменты и автотовары >> Ручные инструменты,milwaukee,Кусачки Milwaukee 190 мм (4932478554),,1715,1,https://comfy.ua/kusachki-milwaukee-190-mm-4932478554.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1644876243,6854845,MEDIARANGE,Флеш-драйв MediaRange 16GB USB 2.0 Black/Silver (MR910),159,2699338,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB MediaRange",mediarange,Флеш USB MediaRange USB2.0 16GB Black/Silver (MR910),,159,1,https://comfy.ua/flesh-usb-mediarange-usb2-0-16gb-black-silver-mr910.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1644876799,,,,,.2750367,"Дом, отдых и зоотовары >> Отдых и путешествия",prologic,Палатка Prologic Fulcrum Utility Tent & Condenser Wrap (18461967),,19209,1,https://comfy.ua/palatka-prologic-fulcrum-utility-tent-condenser-wrap-18461967.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1644876896,,,,,2784081,"Comfy KIDS >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Esperanza",esperanza,Ваги для дітей Esperanza EBS017 El Nino 2 в 1,,1699,1,https://comfy.ua/vesy-dlja-detej-esperanza-ebs017-el-nino-2-v-1.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1644876898,7066867,LIONELO,Видеоняня LIONELO BABYBABYLINE 6.2 (LINE 6.2LOC-BABYLINE 6.2),6719,2777782,Детские товары >> Детская комната и безопасность >> Радионяни и видеоняни >> Радионяни и видеоняни Lionelo,lionelo,Відеоняня Lionelo BabyLine 6.2,,6719,1,https://comfy.ua/videonjanja-lionelo-babyline-6-2.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1644877466,6933698,ROTEX,Весы напольные ROTEX RSB17-N,295,2724020,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Rotex,rotex,Ваги підлогові Rotex RSB17-N,,439,1,https://comfy.ua/vesy-napol-nye-rotex-rsb17-n.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1644877468,6941988,ZELMER,Весы напольные ZELMER ZBS1011 Neptune,699,2782640,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Zelmer,zelmer,Ваги підлогові Zelmer ZBS1011 Neptune,,679,1,https://comfy.ua/vesy-napol-nye-zelmer-zbs1011-neptune.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1644877572,6948004,AENO,Ирригатор AENO DI1 (ADI0001),1799,2789116,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки AENO,aeno,Іригатор AENO ADI0001,,1799,1,https://comfy.ua/irrigator-aeno-adi0001.html,2299,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1644877573,6929466,AENO,Ирригатор AENO DI2 (ADI0002),1899,2789117,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки AENO,aeno,Іригатор AENO ADI0002,,1899,1,https://comfy.ua/irrigator-aeno-adi0002.html,2499,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1644877574,,,,,2767242,Красота и здоровье >> Уход за полостью рта,h2ofloss,Іригатор H2OFloss HF-10 Mini White,,1649,1,https://comfy.ua/irrigator-h2ofloss-hf-10-mini-white.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
