752773993,column,column,column,column,1701800,Детские товары >> Игрушки,bruder,__bruder___man___02771,column,3205,1,httpscomfyuacatalogproductviewid1694853,column,06112025_025,column,__42,Фастів,0
753627706,,,,,1701810,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Машина дорожнього сервісу MAN TGS (3780),,3009,1,https://comfy.ua/nazemnaja-spectehnika-bruder-mashina-dorozhnogo-servisa-man-tgs-3780.html,,06.11.2025 0:15,,"вул. Соборна, 42",Фастів,0
753627713,,,,,1702474,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Автотранспорт BRUDER Квадроцикл з фігуркою водія (63000),,1015,1,https://comfy.ua/avtotransport-bruder-kvadrocikl-s-figurkoj-voditelja-63000.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
753719310,,,,,1703718,Детские товары >> Игрушки,taka-maka,Настільна гра (3-4 роки) Taka Maka Котолапка (100001-UA),,229,1,https://comfy.ua/nastol-naja-igra-kartochnaja-3-4-goda-taka-maka-kotolapka-100001-ua.html,345,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
753719311,,,,,1703717,Детские товары >> Игрушки,taka-maka,Настільна гра (3-4 роки) Taka Maka 1+1 (60001-UA),,268,1,https://comfy.ua/nastol-naja-igra-kartochnaja-3-4-goda-taka-maka-1-1-60001-ua.html,405,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
753786149,,,,,1710281,Посуда >> Для запекания и выпечки,berghoff,Форма для приготування Berghoff 3990008 GEM 32 см,,499,1,https://comfy.ua/forma-dlja-prigotovlenija-berghoff-3990008-gem-32-sm.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
753799505,,,,,1702625,Comfy KIDS >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Play-Doh 4 баночки SWEET (B5517_E4869),,219,1,https://comfy.ua/nabory-dlja-lepki-hasbro-play-doh-4-banochki-sweet-b5517-e4869.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
753799519,,,,,1672443,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня Domino Perfelli HGG 31414 BL,,4499,1,https://comfy.ua/varochnaja-panel-domino-perfelli-hgg-31414-bl.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
753799553,,,,,1704708,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art 3D Кролик (SA1705),,185,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-3d-krolik-sa1705.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753799555,6457333,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Leopard SA1208,427,1704706,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Леопард Blue (SA1208),,425,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-leopard-blue-sa1208.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
753799556,6457355,SEQUIN ART,Набор для творчества SEQUIN ART MY NAME Penguin SA1206,274,1704705,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art My Name Пінгвін (SA1206),,369,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-my-name-pingvin-sa1206.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753799557,,,,,1697545,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,"Ігровий набір Bburago Гараж Ferrari (3 рівня, 2 машинки 1:43) (18-31204)",,2997,1,https://comfy.ua/igrovoj-nabor-bburago-garazh-ferrari-3-urovnja-2-mashinki-1-43-18-31204.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
753799558,,,,,1697543,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,"Ігровий набір Bburago Паркінг (3 рівня, 2 машинки 1:43) (18-30361)",,1699,1,https://comfy.ua/igrovoj-nabor-bburago-parking-3-urovnja-2-mashinki-1-43-18-30361.html,2397,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
753799559,,,,,1697541,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,"Ігровий набір Bburago Гараж (3 рівня, 2 машинки 1:43) (18-30025)",,2497,1,https://comfy.ua/igrovoj-nabor-bburago-garazh-3-urovnja-2-mashinki-1-43-18-30025.html,,05.11.2025 23:54,,"вул. Соборна, 42",Фастів,0
753799560,6457329,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Cupcakes SA1130,427,1704704,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Кекси Blue (SA1130),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-keksy-blue-sa1130.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753799561,,,,,1704703,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art 3D Тигр (SA1122),,375,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-3d-tigr-sa1122.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
