1431164860,column,column,column,column,2197637,comfy_kids_________canpol_babies,canpolbabies,__canpol_babies_bonjour_paris____74027_red,column,329,1,httpscomfyuanagrudniksilikonovyjcanpolbabiesbonjourparisskarmanomkrasnyj74027redhtml,column,05112025_2130,column,__42,Фастів,0
1431168438,,,,,.2086854,Красота и здоровье >> Уход за полостью рта,sencor,Насадка для зубної щітки Sencor SOX 004 Black 4 шт.,,529,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-sencor-sox-004-black-4-sht.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1431172996,,,,,2193654,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Na! Na! Na! Surprise,na-na-na-surprise,"Ляльковий набір Na! Na! Na! Surprise СІМ'Я КІТТІ ЛАВАНДИ (2 ляльки, улюбленець, аксесуари) (575962)",,2159,1,https://comfy.ua/kollekcionnaja-kukla-nabor-na-na-na-surprise-sem-ja-kitti-lavandy-2-kukly-pitomec-aksessuary-575962.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
1431172998,,,,,2193666,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Rainbow High,rainbow-high,"""Ляльковий набір Rainbow High """"Junior"""" - ДЖЕЙД ХАНТЕР (з аксесуарами) (579991)""",,1399,1,https://comfy.ua/kollekcionnaja-kukla-nabor-rainbow-high-junior-dzhejd-hanter-s-aksessuarami-579991.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1431173004,,,,,2197640,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач Canpol babies бряскальце Їжачок (5/201),,199,1,https://comfy.ua/prorezyvatel-canpol-babies-pogremushka-ezhik-5-201.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1431174776,,,,,2197630,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач Canpol babies з кнопкою Мишка (5/202),,179,1,https://comfy.ua/prorezyvatel-canpol-babies-s-knopkoj-myshka-5-202.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
1431174982,,,,,2191961,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Зубна щітка електрична Oclean Endurance Electric Toothbrush White,,699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oclean-endurance-electric-toothbrush-white.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1431174983,,,,,2191960,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Зубна щітка електрична Oclean Endurance Electric Toothbrush Black,,1399,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oclean-endurance-electric-toothbrush-black.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1431175013,,,,,2191959,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Oclean,oclean,Зубна щітка електрична Oclean Air 2T Electric Toothbrush White,,1499,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-oclean-air-2t-electric-toothbrush-white.html,2499,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1431176350,,,,,.2213264,Детские товары >> Игрушки,wizarding-world,Пазли (8 +) Wizarding World Harry Potter Hogwarts 1000 шт. (5036905039581),,399,1,https://comfy.ua/pazly-kartonnye-8-harry-potter-hogwarts-1000-sht-5036905039581.html,,06.11.2025 0:08,,"вул. Соборна, 42",Фастів,0
1431176357,,,,,.2213259,Детские товары >> Игрушки,wizarding-world,Пазли (5-7 років) Wizarding Harry Potter Dobby 250 шт. (WM02695-ML1-6),,379,1,https://comfy.ua/pazly-kartonnye-8-harry-potter-dobby-250-sht-5036905047951.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1431176360,,,,,.2213263,Детские товары >> Игрушки,wizarding-world,Пазли (8 +) Wizarding World Harry Potter Great Hall 500 шт. (WM01005-ML1-6),,459,1,https://comfy.ua/pazly-kartonnye-8-harry-potter-great-hall-500-sht-5036905042086.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1431176361,,,,,.2213261,Детские товары >> Игрушки,wizarding-world,Пазли (8+) Wizarding World Harry Pott House Crests 500 шт. (WM00369-ML1-6),,459,1,https://comfy.ua/pazly-kartonnye-8-harry-potter-house-crests-500-sht-5036905039574.html,,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
1431176890,,,,,2193669,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
"Sulong Toys WHERE THE TRAIL ENDS (червоний, акум. 7.2V, метал. корпус, 1:14) (SL-121RHMR)""",,3457,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-sulong-toys-where-the-trail-ends-krasnyj-akkum-7-2v-metall-korpus-1-14-sl-121rhmr.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1431176993,7091022,ADLER,Машинка для стрижки ADLER AD 2834,1648,2210022,Красота и здоровье >> Уход за волосами,adler,Машинка для стрижки волосся Adler AD 2834,,1649,1,https://comfy.ua/mashinka-dlja-strizhki-volos-adler-ad-2834.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1431177130,,,,,2206471,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Kinderkraft,kinderkraft,Біговел Kinderkraft Minibi Candy Pink (KRMIBI00PNK0000),,2129,1,https://comfy.ua/begovel-kinderkraft-minibi-candy-pink-krmibi00pnk0000.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1431177131,,,,,2206472,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Kinderkraft,kinderkraft,Біговел Kinderkraft Minibi Honey Yellow (KRMIBI00YEL0000),,2129,1,https://comfy.ua/begovel-kinderkraft-minibi-honey-yellow-krmibi00yel0000.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1431177132,,,,,2206473,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Kinderkraft,kinderkraft,Біговел Kinderkraft Minibi Leaf Green (KRMIBI00GRE0000),,2129,1,https://comfy.ua/begovel-kinderkraft-minibi-leaf-green-krmibi00gre0000.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1431182566,,,,,2193707,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Baby Shark,baby-shark,"""М'яка іграшка Baby Shark """"BIG SHOW"""" - ЧАКС (20 cm) (61556)""",,69,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-baby-shark-big-show-chaks-20-cm-61556.html,99,06.11.2025 0:23,,"вул. Соборна, 42",Фастів,0
1431183708,,,,,2193672,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Grand,grand,"М'яка іграшка Grand  ВЕДМІДЬ (коричневий, з бантом, 33 cm) (3302GMB)",,795,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-grand-medved-korichnevyj-s-bantom-33-cm-3302gmb.html,,06.11.2025 0:23,,"вул. Соборна, 42",Фастів,0
1431215031,6876124,MIDEA,Паровая швабра MIDEA MODSC2,2041,2204266,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители Midea,midea,Пароочисник Midea MODSC2,,2239,1,https://comfy.ua/paroochistitel-midea-modsc2.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1431349461,6893425,SPEEDLINK,Геймпад SPEEDLINK RAIT Wireless Rubber Black (SL-650110-BK),1399,2213282,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули Speedlink",speedlink,Геймпад Speedlink Rait PC/PS3/Switch Black (SL-650010-BK),,899,1,https://comfy.ua/gejmpad-speedlink-rait-pc-ps3-switch-black-sl-650010-bk.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1431349461,6788336,SPEEDLINK,Геймпад SPEEDLINK RAIT Gamepad Rubber Black (SL-650010-BK),999,2213282,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули Speedlink",speedlink,Геймпад Speedlink Rait PC/PS3/Switch Black (SL-650010-BK),,899,1,https://comfy.ua/gejmpad-speedlink-rait-pc-ps3-switch-black-sl-650010-bk.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1431367708,6912339,TEFAL,Крышка TEFAL Ingenio 22 см Black (L9846453),679,2196715,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Tefal,tefal,Кришка для посуду зі знімною ручкою Tefal L9846453 Ingenio 22 см,,679,1,https://comfy.ua/kryshka-dlja-posudy-so-s-emnoj-ruchkoj-tefal-l9846453-ingenio-22-sm.html,779,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1431367710,6912340,TEFAL,Крышка TEFAL Ingenio 24 см Black (L9846553),719,2196716,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Кришка для посуду зі знімною ручкою Tefal L9846553 Ingenio 24 см,,719,1,https://comfy.ua/kryshka-dlja-posudy-so-s-emnoj-ruchkoj-tefal-l9846553-ingenio-24-sm.html,829,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1431393308,6834672,TEFAL,Набор сковородок TEFAL Emotion Ingenio 24+28 см (L897S374),2999,2196714,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Набір сковорід зі знімною ручкою Tefal L897S374 Ingenio Emotion 3 пр.,,2999,1,https://comfy.ua/nabor-skovorod-so-s-emnoj-ruchkoj-tefal-l897s374-ingenio-emotion-3-pr.html,5999,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,3
1431394727,6745603,OSCAR,Лопатка OSCAR Master блинная (OSR-5009/13-3),189,2216065,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OSCAR,oscar,Лопатка для млинців OSCAR Master (OSR-5009/13-3),,189,1,https://comfy.ua/lopatka-dlja-blinov-oscar-master-osr-5009-13-3.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1431545438,6815836,BOSCH,Встраиваемая посудомоечная машина BOSCH SMV4HVX00K,25999,2211958,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Bosch,bosch,Посудомийна машина вбудована Bosch SMV4HVX00K,,25999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-bosch-smv4hvx00k.html,31999,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1431691203,7088165,DE BUYER,Крышка DE BUYER 14 см (3429.14),1589,2215047,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды de Buyer,de-buyer,Кришка для посуду de Buyer 14 см 3429.14,,1589,1,https://comfy.ua/kryshka-dlja-posudy-de-buyer-14-sm-3429-14.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1431735908,6892423,BENQ,Монитор BENQ EX3210U (9H.LKHLB.QBE),44518,2213008,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ EX3210U,,28599,1,https://comfy.ua/monitor-benq-ex3210u.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1431852144,,,,,2215046,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 1.6 л 3410.16,,5425,1,https://comfy.ua/kovsh-de-buyer-1-6-l-3410-16.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1431852398,,,,,2216059,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora 155-Sc Літні барви Wave 155 мм,,81,1,https://comfy.ua/salatnik-vittora-155-sc-letnie-kraski-wave-155-mm.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1431852402,,,,,2216058,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка обідня Vittora 220-Sc Летние краски Wave 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-220-sc-letnie-kraski-wave-220-mm.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1431852403,,,,,.2216056,Посуда >> Для сервировки,vittora,Салатник Vittora V-155Bs Овочевий етюд Wave 155 мм,,81,1,https://comfy.ua/salatnik-vittora-v-155bs-ovoschnoj-jetjud-wave-155-mm.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1431852409,,,,,2216057,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка десертна Vittora 190-Sc Літні барви Wave 190 мм,,67,1,https://comfy.ua/tarelka-desertnaja-vittora-190-sc-letnie-kraski-wave-190-mm.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1431852410,,,,,.2216055,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora V-190Bs Овочевий етюд Wave 190 мм,,67,1,https://comfy.ua/tarelka-desertnaja-vittora-v-190bs-ovoschnoj-jetjud-wave-190-mm.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1431852411,,,,,2216060,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora 175-Sc Літні барви Wave 175 мм,,95,1,https://comfy.ua/salatnik-vittora-175-sc-letnie-kraski-wave-175-mm.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1431852477,,,,,.2215067,Посуда >> Для сервировки,vittora,Салатник Vittora V-165Sgb Сірі бульбашки Square 165 мм,,78,1,https://comfy.ua/salatnik-vittora-v-165sgb-syrye-puzyri-square-165-mm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1431852715,,,,,.2215068,Посуда >> Для сервировки,vittora,Блюдо Vittora V-225L-F Лаванда Wave 225 мм,,85,1,https://comfy.ua/bljudo-vittora-v-225l-f-lavanda-wave-225-mm.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1431878751,6822846,LG,Стиральная машина LG F4V3VS6WW,24999,2216047,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F4V3VS6WW,,24999,1,https://comfy.ua/stiral-naja-mashina-lg-f4v3vs6ww.html,25499,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1431889470,,,,,2204258,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Beko,beko,Холодильник Beko RDNE700E40XP,,39999,1,https://comfy.ua/holodil-nik-beko-rdne700e40xp.html,43999,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1431895641,6884399,VILGRAND,Мультиварка VILGRAND VMC 1255С,2209,2200457,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки ViLgrand,vilgrand,Мультиварка ViLgrand VMC1255С,,2209,1,https://comfy.ua/mul-tivarka-vilgrand-vmc1255s.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1431896582,6832392,ARDESTO,Набор стаканов ARDESTO Gloria 315 мл 6 шт (AR2631GT),206,2213221,Посуда >> Для напитков >> Стаканы >> Стаканы Ardesto,ardesto,Набір склянок Ardesto Gloria 315 мл 6 шт. (AR2631GT),,229,1,https://comfy.ua/nabor-stakanov-ardesto-gloria-315-ml-6-sht-ar2631gt.html,299,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1431897237,,,,,2197222,Техника для дома >> Мелкая техника,amica,Пилосос для сухого прибирання без мішка Amica VM 3045 Bagio Eco,,4742,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-amica-vm-3045-bagio-eco.html,5099,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1431916633,,,,,2215018,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Бездротовий зарядний пристрій Baseus Swan 3-in-1 Wireless Magnetic Charging Bracket 20W Black (WXTE000101),,2595,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-baseus-swan-3-in-1-wireless-magnetic-charging-bracket-20w-black-wxte000101.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1431918116,,,,,2213276,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Rapoo",rapoo,Клавіатура + миша бездротова Rapoo 8210М White,,1699,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-rapoo-8210m-white.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
