1653828083,column,column,column,column,2820716,____________janod,janod,__janod______j05381,column,515,1,httpscomfyuainteraktivnyjgadzhetjanodfotoapparatsozvukomivspyshkojj05381html,column,05112025_2015,column,__42,Фастів,0
1653878874,6973077,ECL,pps ECL Сонячна панель EC-SP120WBV 120W,8999,2358489,Энергообеспечение >> Солнечные панели,ecl,Портативна сонячна панель ECL EC-SP120WBV,,8999,1,https://comfy.ua/portativnaja-solnechnaja-panel-ecl-ec-sp120wbv.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1653910357,,,,,2832538,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура + миша бездротова A4tech Fstyler FG2400 Air Beige,,999,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-a4tech-fstyler-fg2400-air-beige.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1653920287,,,,,2744906,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",msi,Монітор MSI PRO MP341CQ,,12999,1,https://comfy.ua/monitor-msi-pro-mp341cq.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1653920373,,,,,2853418,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS5 Stellar Blade,,2535,1,https://comfy.ua/igrovoj-disk-ps5-playstation-stellar-blade.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1653920374,6964060,PLAYSTATION,"Игра Dragon's Dogma II, для Sony PLAYSTATION 5 (PS5)",2999,2853416,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS5 Dragon's Dogma II,,2999,1,https://comfy.ua/igrovoj-disk-ps5-playstation-dragon-s-dogma-ii.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1653931429,6965659,CONCEPT,Тепловентилятор CONCEPT QH4100,5939,2846047,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Concept,concept,Теплова завіса Concept QH4100,,5939,1,https://comfy.ua/teplovaja-zavesa-concept-qh4100.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1653934686,,,,,.2585719,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case for планшета Lenovo Tab M9 TB-310FU Blue (ARM67103),,419,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-plansheta-lenovo-tab-m9-tb-310fu-blue-arm67103.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1653934687,,,,,2389331,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для планшета Trust Primo Folio 10 Eco Black (24214),,499,1,https://comfy.ua/chehol-dlja-plansheta-trust-primo-folio-10-eco-black-24214.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1653934688,,,,,.2389332,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Чохол для планшета Trust Primo Folio 10 Eco Green (24498),,449,1,https://comfy.ua/chehol-dlja-plansheta-trust-primo-folio-10-eco-green-24498.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1653934743,,,,,.1963976,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Premium for Samsung Galaxy Tab S7 FE SM-T735 Black (706711),,799,1,https://comfy.ua/chehol-dlja-plansheta-becover-premium-for-samsung-galaxy-tab-s7-fe-sm-t735-black-706711.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1653934746,,,,,.2423654,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",spigen,"""Чохол для планшета Spigen for Apple iPad 10.9"""" (2022) Smart Fold Black (ACS05309)""",,1865,1,https://comfy.ua/chehol-dlja-plansheta-spigen-for-apple-ipad-10-9-2022-smart-fold-black-acs05309.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1653940944,,,,,.2822059,Техника для дома >> Климатическая техника,buderus,Терморегулятор Buderus RC310 (7738111127),,11335,1,https://comfy.ua/termoreguljator-buderus-rc310-7738111127.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1653941022,,,,,2737988,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bollire,bollire,Лопатка кухонна Bollire BR-3703,,152,1,https://comfy.ua/lopatka-kuhonnaja-bollire-br-3703.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1653941945,6965660,CONCEPT,Блендер CONCEPT TM4830,1999,2846048,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Concept,concept,Блендер міні-комбайн Concept TM4830,,1999,1,https://comfy.ua/blender-mini-kombajn-concept-tm4830.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1653941946,6965661,CONCEPT,Блендер CONCEPT TM4910,2599,2846049,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Concept,concept,Блендер міні-комбайн Concept TM4910,,2599,1,https://comfy.ua/blender-mini-kombajn-concept-tm4910.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1653941947,6965662,CONCEPT,Блендер CONCEPT TM5510,3899,2846050,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Concept,concept,Блендер міні-комбайн Concept TM5510,,3899,1,https://comfy.ua/blender-mini-kombajn-concept-tm5510.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1653942076,6977240,KITCHENAID,Блендер KITCHENAID K150 Black (5KSB1330EOB),18399,2845635,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер стаціонарний KitchenAid K150 (5KSB1330EOB),,16559,1,https://comfy.ua/blender-stacionarnyj-kitchenaid-k150-5ksb1330eob.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1653942077,6977241,KITCHENAID,Блендер KITCHENAID K150 Red (5KSB1350EER),18399,2845636,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер стаціонарний KitchenAid K150 (5KSB1350EER),,18399,1,https://comfy.ua/blender-stacionarnyj-kitchenaid-k150-5ksb1350eer.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1653942078,6998776,KITCHENAID,Блендер KITCHENAID K150 5KSB1350EOB Black,18399,2845637,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер стаціонарний KitchenAid K150 (5KSB1350EOB),,16559,1,https://comfy.ua/blender-stacionarnyj-kitchenaid-k150-5ksb1350eob.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1653942159,6926766,EINHELL,Трещотка пневматическая EINHELL TC-PR 68 (4139180),1899,2781223,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Гайковерт акумуляторний Einhell TC-PR 68 (4139180),,1899,1,https://comfy.ua/otvertka-einhell-tc-pr-68-4139180.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1653942504,,,,,2737989,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bollire,bollire,Шумовка Bollire BR-3704,,152,1,https://comfy.ua/shumovka-bollire-br-3704.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1653944408,6965668,CONCEPT,Соковыжималка CONCEPT CE3531,3299,2846057,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Concept,concept,Цитрус-прес Concept CE3531,,2634,1,https://comfy.ua/citrus-press-concept-ce3531.html,3099,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1653944544,7068889,ESPERANZA,Электрочайник ESPERANZA Victoria (EKK113G),499,2842214,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Esperanza,esperanza,Електричний чайник Esperanza Kettle Victoria (EKK113G),,499,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-kettle-victoria-ekk113g.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1653944936,6965677,CONCEPT,Электрочайник CONCEPT RK3100,2432,2846066,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Concept,concept,Електричний чайник Concept RK3100,,2399,1,https://comfy.ua/jelektricheskij-chajnik-concept-rk3100.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1653944937,6965679,CONCEPT,Электрочайник CONCEPT RK4100,2399,2846068,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Concept,concept,Електричний чайник Concept RK4100,,2399,1,https://comfy.ua/jelektricheskij-chajnik-concept-rk4100.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1653945058,6965680,CONCEPT,Электрочайник CONCEPT RK4120,2859,2846069,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Concept,concept,Електричний чайник Concept RK4120,,2209,1,https://comfy.ua/jelektricheskij-chajnik-concept-rk4120.html,2599,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1653945059,6965675,CONCEPT,Электрочайник CONCEPT RK0060,2699,2846064,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Concept,concept,Електричний чайник Concept RK0060,,2699,1,https://comfy.ua/jelektricheskij-chajnik-concept-rk0060.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1653945060,6947049,PHILIPS,Электрочайник PHILIPS Double Walled Kettle 5000 HD9395/90,2599,2850020,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Philips,philips,Електричний чайник Philips HD9395/90,,2599,1,https://comfy.ua/jelektricheskij-chajnik-philips-hd9395-90.html,3299,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1653945583,,,,,2737974,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Bollire,bollire,Сотейник Bollire BR-1615 TORINO 28 см,,1896,1,https://comfy.ua/sotejnik-bollire-br-1615-torino-28-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1653945584,,,,,2737975,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Bollire,bollire,Сотейник Bollire BR-1616 TORINO 32 см,,2150,1,https://comfy.ua/sotejnik-bollire-br-1616-torino-32-sm.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1654035697,,,,,1867788,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Набір для блогера Piko Vlogging Kit (PVK-02LM),,1399,1,https://comfy.ua/nabor-dlja-blogera-piko-vlogging-kit-pvk-02lm.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1654037150,,,,,2737986,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bollire,bollire,Ложка кухарська Bollire BR-3701,,152,1,https://comfy.ua/lozhka-povarskaja-bollire-br-3701.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1654092747,7045389,STRATEG,Боксерский набор STRATEG Ukraine большой (2016),499,1762716,Детские товары >> Игрушки >> Активные игры >> Спортивные игры >> Спортивные игры Strateg,strateg,"""Бокс Strateg набор """"Ukraine"""" большой (высота 55 см, диаметр 21 см) (2016)""",,799,1,https://comfy.ua/boks-strateg-nabor-ukraine-bol-shoj-vysota-55-sm-diametr-21-sm-2016.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1654126903,6837379,NEO TOOLS,Набор посуды NEO TOOLS 7в1 (63-146),1625,2788083,"Дом, отдых и зоотовары >> Отдых и путешествия >> Туристическая посуда >> Туристическая посуда Neo Tools",neo-tools,Набір посуду туристичний Neo Tools 7 в 1 (63-146),,1625,1,https://comfy.ua/nabor-posudy-turisticheskij-neo-tools-7-v-1-63-146.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1654129761,,,,,2691316,Бытовая химия >> Средства для посудомоечных машин,somat,Таблетка для посудомийної машини Somat Exellence 56 шт,,649,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-somat-exellence-56-sht.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1654129958,6831026,GILLETTE,Бритва GILLETTE VENUS ComfortGlide Breeze с 1 сменной кассетой (81744944),473,1994671,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья Gillette,gillette,Станок жіночий Gillette Venus ComfortGlide Breeze з 2 змінними картриджами (7702018886166),,369,1,https://comfy.ua/stanok-zhenskij-gillette-venus-comfortglide-breeze-s-2-smennymi-kartridzhami-7702018886166.html,525,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1654132990,7041625,TEKHMANN,Лазерній уровень TEKHMANN TSL-5 (845271),2416,1852000,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Tekhmann,tekhmann,Рівень лазерний Tekhmann TSL-5 (845271),,2989,1,https://comfy.ua/uroven-lazernyj-tekhmann-tsl-5-845271.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1654160881,,,,,2704748,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Baby Born",baby-born,Одяг та аксесуари для ляльки Baby Born Автоматична ванночка для ляльки Baby Born – Легке купання,,2595,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-baby-born-avtomaticheskaja-vannochka-dlja-kukly-baby-born-legkoe-kupanie-835784.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
1654167808,,,,,2677165,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Baby Born",baby-born,Одяг та аксесуари для ляльки Baby Born Сукня з квітами (832639),,695,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-baby-born-plat-e-s-cvetami-43-sm-832639.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
1654167962,,,,,2784074,"Comfy KIDS >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Baby Born",baby-born,Одяг та аксесуари для ляльки Baby Born КВІТКОВИЙ ДЖИНС 43 см (832677),,599,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-baby-born-cvetochnyj-dzhins-43-sm-832677.html,795,05.11.2025 23:14,,"вул. Соборна, 42",Фастів,0
1654191378,6926600,OSRAM,Светодиодная лампа OSRAM LED ST8B 1200mm 18w 1600lm 4000K (4058075377547),119,2822225,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED ST8B 1200mm 18w 1600lm 4000K (4058075377547),,119,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-st8b-1200mm-18w-1600lm-4000k-4058075377547.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1654199013,,,,,2719849,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design Focus2  Black Solid (FD-C-FOC2A-07) без БЖ,,4629,1,https://comfy.ua/korpus-fractal-design-focus2-black-solid-fd-c-foc2a-07-bez-bp.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1654253203,6897911,KYOCERA,prn.laser KYOCERA ECOSYS PA4000cx,23999,2827017,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Kyocera",kyocera,Принтер для кольорового друку Kyocera ECOSYS PA4000cx (1102Z03NL0),,23999,1,https://comfy.ua/printer-dlja-cvetnoj-pechati-kyocera-ecosys-pa4000cx-1102z03nl0.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1654256623,,,,,.2827215,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax 650W 80 Gold (GX-650 Modular),,2969,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-650w-80-gold-gx-650-modular.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1654256625,,,,,.2827217,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax 750W 80 Gold (GX-750 Modular),,3159,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-850w-80-gold-gx-750-modular.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1654256626,,,,,2827216,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax 850W 80 Gold (GX-850 Modular),,3499,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-750w-80-gold-gx-850-modular.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
