1012871576,6744490,MAXXTER,Мышь MAXXTER Mr-403,199,1852087,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Maxxter",maxxter,Миша бездротова Maxxter MR-403,,179,1,https://comfy.ua/mysh-besprovodnaja-maxxter-mr-403.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1012900961,6773294,2E GAMING,Колонки 2E GAMING Speakers SG300 2.0 RGB 3.5mm Black (2E-SG300B),449,1855561,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика 2E",2e,Комп'ютерна акустика звичайна 2.0 2E Speakers SG300 2.0 RGB 3.5mm Black (2E-SG300B),,425,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-2e-speakers-sg300-2-0-rgb-3-5mm-black-2e-sg300b.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,2
1012924377,,,,,.1854963,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rivacase,Рюкзак для ноутбуку RIVACASE 8524 Black,,1649,1,https://comfy.ua/rjukzak-dlja-noutbuka-rivacase-8524-black.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1012935674,6768695,ROTEX,Электробритва ROTEX RHC265-S,799,1851419,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Rotex,rotex,Бритва Rotex RHC265-S,,799,1,https://comfy.ua/britva-rotex-rhc265-s.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1012937518,,,,,1854724,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1210MP,,5249,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1210mp.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1012973185,,,,,1720765,Инструменты и автотовары >> Электроинструменты,stal,Клейовий пістолет Сталь 40W (80140),,229,1,https://comfy.ua/kleevoj-pistolet-stal-40w-80140.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1012973232,6748853,BENQ,Проектор BENQ MW809STH (9H.JMF77.13E),23319,1852852,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы BenQ,benq,Проектор BenQ MW809STH (9H.JMF77.13E),,22445,1,https://comfy.ua/proektor-benq-mw809sth-9h-jmf77-13e.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1013002723,6820653,QNAP,NAS-сервер QNAP 6BAY 8GB TS-673A-8G,48626,1853688,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Сетевые хранилища (NAS) >> Сетевые хранилища (NAS) QNAP",qnap,Мережеве сховище без HDD QNAP TS-673A-8G,,45285,1,https://comfy.ua/setevoe-hranilische-bez-hdd-qnap-ts-673a-8g.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1013003777,6802452,GRUNHELM,Цепная пила Grunhelm GES22-40B (115258),2179,1853734,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Grunhelm,grunhelm,Ланцюгова пила Grunhelm GES22-40B,,2179,1,https://comfy.ua/cepnaja-pila-grunhelm-ges22-40b.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1013009382,,,,,1853295,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 6V 10AH (GP6100F2/06003),,527,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-6v-10ah-gp6100f2-06003.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1013026633,7083401,CUBIC FUN,3D пазл CubicFun Римский Боевой корабль (T4032h),234,1856712,Детские товары >> Игрушки >> Пазлы >> Пазлы Cubic Fun,cubic-fun,"""3D пазли Cubic Fun """"Римський Бойовий корабель"""" (T4032h)""",,279,1,https://comfy.ua/3d-pazly-cubic-fun-rimskij-boevoj-korabl-t4032h.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
1013030400,6571932,NUVITA,Набор ложечек NUVITA Easy Eating 6м+ 2 шт. Pink (NV8480Pink),114,1856417,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Nuvita,nuvita,Набір дитячих столових приборів для малюка Nuvita силіконові ложечки Easy Eating 6м + 2 шт. Pink (NV8480Pink),,119,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-nuvita-silikonovye-lozhechki-easy-eating-6m-2-sht-pink-nv8480pink.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1013030589,6794149,VENTOLUX,Варочная поверхность VENTOLUX HG622 B9G RCS (BK),9599,1738117,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG622 B9G RCS (BK),,7299,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg622-b9g-rcs-bk.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1013030589,7120230,VENTOLUX,Варочная поверхность VENTOLUX HG622 B9G RCS (BK),7299,1738117,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG622 B9G RCS (BK),,7299,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg622-b9g-rcs-bk.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1013030665,,,,,1856414,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Nuvita,nuvita,Ортодонтична пустушка Nuvita Air 0м+ 2 шт. (NV7060Boy),,199,1,https://comfy.ua/ortodonticheskaja-pustyshka-nuvita-air-0m-2-sht-nv7060boy.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1013030782,6729781,VENTOLUX,Варочная поверхность VENTOLUX HE302 (INOX) 3,2999,1806437,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня Domino Ventolux HE302 (INOX) 3,,2999,1,https://comfy.ua/varochnaja-panel-domino-ventolux-he302-inox-3.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1013040963,,,,,1854776,Инструменты и автотовары >> Ручные инструменты >> Мультитулы >> Мультитулы Total,total,Мультитул Total THMFK0126,,179,1,https://comfy.ua/mul-titul-total-thmfk0126.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
1013053142,,,,,1848384,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Kyocera",kyocera,Картридж-тонер Kyocera TK-8345M Magenta (1T02L7BNL0/1),,4729,1,https://comfy.ua/kartridzh-toner-kyocera-tk-8345m-magenta-1t02l7bnl0-1.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1013053180,,,,,1848383,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Kyocera",kyocera,Картридж-тонер Kyocera TK-8345C Cyan (1T02L7CNL0/1),,4729,1,https://comfy.ua/kartridzh-toner-kyocera-tk-8345c-cyan-1t02l7cnl0-1.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1013053192,,,,,1848385,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Kyocera",kyocera,Картридж-тонер Kyocera TK-8345Y Yellow (1T02L7ANL0/1),,4729,1,https://comfy.ua/kartridzh-toner-kyocera-tk-8345y-yellow-1t02l7anl0-1.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1013066753,,,,,.1846255,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",epson,"Картридж для струменевих принтерів/БФП Epson ERC-09B / M160, M180, M190 (C43S015354)",,63,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-epson-erc-09b-m160-m180-m190-c43s015354.html,135,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
