747297996,column,column,column,column,1683535,Посуда >> Для сервировки,wmf,___wmf_1289616046_geschenkidee___6_,column,3499,1,httpscomfyuanabornozhejstolovyhwmf1289616046geschenkideedljastejka6prhtml,column,05112025_1905,column,__42,Фастів,0
747320492,,,,,1694601,Посуда >> Нарезка и измельчение,berghoff,Ніж для сиру Berghoff 3950108 LEO 13 см,,379,1,https://comfy.ua/nozh-dlja-syra-berghoff-3950108-leo-13-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
747320499,,,,,1694557,Посуда >> Нарезка и измельчение,berghoff,Ножиці кухонні Berghoff 1106253,,499,1,https://comfy.ua/nozhnicy-kuhonnye-berghoff-1106253.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
747320503,,,,,1681979,Посуда >> Для приготовления,wmf,Каструля WMF 724919990 GLASDECKEL 24 см,,6399,1,https://comfy.ua/catalog/product/view/id/1375873,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
747320504,,,,,1681871,Посуда >> Для приготовления,wmf,"Каструля WMF 517205290 FT Functional T 20 см, Black",,6999,1,https://comfy.ua/catalog/product/view/id/1371663,8999,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
747320505,,,,,1684449,Посуда >> Для приготовления,wmf,"Каструля WMF 1741016040 Vitalis з пароваркою 6,5 л",,9799,1,https://comfy.ua/catalog/product/view/id/1396393,12499,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
747320514,,,,,1658289,Посуда >> Для напитков,contigo,Пляшка для води Contigo детская 0.42 л 2116113,,795,1,https://comfy.ua/catalog/product/view/id/1408833,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
747320515,,,,,1658290,Посуда >> Для напитков,contigo,Пляшка для води Contigo детская 0.42 л 2116115,,795,1,https://comfy.ua/catalog/product/view/id/1408973,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
747320516,,,,,1658291,Посуда >> Для напитков,contigo,Пляшка для води Contigo детская 0.42 л 2116116,,734,1,https://comfy.ua/catalog/product/view/id/1409063,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
747320520,,,,,1684324,Посуда >> Для напитков,wmf,Графін WMF 617706040 Water 1 л Black,,2299,1,https://comfy.ua/catalog/product/view/id/1393083,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
747320521,,,,,1684323,Посуда >> Для напитков,wmf,"Графін WMF 617726040 BASIC 1,5 л",,1999,1,https://comfy.ua/catalog/product/view/id/1393063,2499,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
