1664884144,column,column,column,column,2904123,Посуда >> Для напитков,uzspace,___uzspace_5045_diamond_700___,column,849,1,httpscomfyuabutylkadljavodyuzspace5045diamond700mlbraunikorichnevajahtml,column,05112025_1949,column,__42,Фастів,0
1664884143,,,,,.2904145,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3038 Frosted 1000 мл бордова,,799,1,https://comfy.ua/butylka-dlja-vody-uzspace-3038-frosted-1000-ml-bordovaja.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1664884144,,,,,.2904123,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл брауні коричнева,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-brauni-korichnevaja.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1664884145,,,,,.2904124,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл коралово рожева,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-korallovo-rozovaja.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1664884146,,,,,2904121,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл морська зелена,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-morskaja-zelenaja.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1664884147,,,,,.2904122,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл денім синя,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-denim-sinjaja.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1664884148,,,,,.2904120,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл графітова,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-grafitovaja.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1664884149,,,,,2904125,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 5045 Diamond 700 мл. м'ятна,,849,1,https://comfy.ua/butylka-dlja-vody-uzspace-5045-diamond-700-ml-mjatnaja.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1664884150,,,,,.2903955,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3038 Frosted 1000 мл Блакитно-зелена,,869,1,https://comfy.ua/butylka-dlja-vody-uzspace-3038-frosted-1000-ml-golubovato-zelenaja.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1664884151,,,,,.2903956,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3038 Frosted 1000 мл Жовто-блакитна,,869,1,https://comfy.ua/butylka-dlja-vody-uzspace-3038-frosted-1000-ml-zhelto-golubaja.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1664884152,,,,,2904129,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 5046 Diamond 950 мл. м'ятна,,999,1,https://comfy.ua/butylka-dlja-vody-uzspace-5046-diamond-950-ml-mjatnaja.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1664884154,,,,,.2904127,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5046 Diamond 950 мл. денім синя,,999,1,https://comfy.ua/butylka-dlja-vody-uzspace-5046-diamond-950-ml-denim-sinjaja.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1664884155,,,,,.2904126,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 5046 Diamond 950 мл. графітова,,999,1,https://comfy.ua/butylka-dlja-vody-uzspace-5046-diamond-950-ml-grafitovaja.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1664884157,,,,,2903959,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 3056 1500 мл Чорна,,899,1,https://comfy.ua/butylka-dlja-vody-uzspace-3056-1500-ml-chernaja.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1664884158,,,,,.2903958,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3056 1500 мл Синя,,899,1,https://comfy.ua/butylka-dlja-vody-uzspace-3056-1500-ml-sinjaja.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1664884159,,,,,.2903957,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3056 1500 мл Сіра,,899,1,https://comfy.ua/butylka-dlja-vody-uzspace-3056-1500-ml-seraja.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1664884161,,,,,.2903977,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл Темно синя,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-temno-sinjaja.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1664884162,,,,,.2903978,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл Свіжо зелена,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-svezhe-zelenaja.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1664884163,,,,,.2904143,Посуда >> Для напитков,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл зелена,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-zelenaja.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1664884164,,,,,2904142,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры UZspace,uzspace,Пляшка для води UZspace 3026 Frosted 500 мл чорна,,629,1,https://comfy.ua/butylka-dlja-vody-uzspace-3026-frosted-500-ml-chernaja.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1664958658,,,,,2923477,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Skyworth,skyworth,Телевізор Skyworth 32S6G АІ,,8899,1,https://comfy.ua/televizor-skyworth-32s6g-ai.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1664958659,6976114,PRIME TECHNICS,Телевизор PRIME TECHNICS PT 43F14SG11FR,10199,2918966,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Prime Technics,prime-technics,Телевізор Prime Technics 43F14SG11FR,,10199,1,https://comfy.ua/televizor-prime-technics-43f14sg11fr.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1664958927,,,,,.2917955,Техника для кухни >> Мелкая техника,ecg,Електричний чайник ECG RK 500 Travel Lite,,719,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-500-travel-lite.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1664972523,,,,,2878201,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы MSI",msi,Монітор ігровий MSI MPG 321URX QD-OLED,,57299,1,https://comfy.ua/monitor-igrovoj-msi-mpg-321urx-qd-oled.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1664974358,6965228,SAMSUNG,Телевизор SAMSUNG QE75Q70DAUXUA,64999,2873403,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Samsung,samsung,Телевізор Samsung QE75Q70DAUXUA,,63999,1,https://comfy.ua/televizor-samsung-qe75q70dauxua.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1664974476,6926769,TOP TOOLS,Труборез TOP TOOLS для полимерных труб 3 - 42 мм (34D067),799,2834353,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Top Tools,top-tools,Труборiз Top Tools 3-42 мм (34D067),,799,1,https://comfy.ua/truborez-top-tools-3-42-mm-34d067.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1665009361,7060352,OXO,Щетка для уборки волос с контейнером Oxo 4х18х34 см (12168700),1178,2919246,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Валики и щетки для одежды >> Валики и щетки для одежды OXO",oxo,Щітка для чищення одягу OXO 4х18х34см (12168700),,1425,1,https://comfy.ua/schetka-dlja-chistki-odezhdy-oxo-4h18h34sm-12168700.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1665043968,,,,,2919273,Инструменты и автотовары >> Электроинструменты,haisser,Пила шабельна Haisser RS-218M,,889,1,https://comfy.ua/pila-sabel-naja-haisser-rs-218m.html,1975,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1665066149,6987395,BRABANTIA,Чехол для гладильной доски BRABANTIA Ironing Board Cover 110x30 см (216800),879,2888913,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 110x30 см (216800),,879,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-110x30-sm-216800.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1665075782,,,,,.2822446,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Антена для роутера MikroTik 868 Omni antenna,,2259,1,https://comfy.ua/antenna-dlja-routera-mikrotik-868-omni-antenna.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1665168139,,,,,.2734669,Техника для кухни >> Мир кофе,smeg,Кавомашина Smeg BCC13WHMEU,,38399,1,https://comfy.ua/kofemashina-smeg-bcc13whmeu.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1665168140,,,,,2734668,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Smeg,smeg,Кавомашина Smeg BCC13BLMEU,,38399,1,https://comfy.ua/kofemashina-smeg-bcc13blmeu.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1665359356,,,,,.2923474,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 1641 (Ryzen55500RTX30506GBNM1641),,27992,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-1641-ryzen55500rtx30506gbnm1641.html,32175,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1665361201,,,,,.2924772,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 1642 (Ryzen55500RTX30506GBNM1642),,28210,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-1642-ryzen55500rtx30506gbnm1642.html,32425,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1665361540,,,,,.2924802,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 1641 (Ryzen55600RTX30506GBNM1641),,29819,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-1641-ryzen55600rtx30506gbnm1641.html,34275,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1665361750,,,,,.2924773,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 3210 (Ryzen55500RTX30506GBNM3210),,29123,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-3210-ryzen55500rtx30506gbnm3210.html,33475,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1665361881,,,,,.2924804,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 1642 (Ryzen55600RTX30506GBNM1642),,30072,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-1642-ryzen55600rtx30506gbnm1642.html,34565,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1665362171,,,,,.2924775,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 3241 (Ryzen55500RTX30506GBNM3241),,30510,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-3241-ryzen55500rtx30506gbnm3241.html,35069,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1665362251,,,,,.2922143,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 164 (i314100FRTX30506GBNM164),,26383,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-164-i314100frtx30506gbnm164.html,30325,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1665362252,,,,,.2924776,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 3242 (Ryzen55500RTX30506GBNM3242),,30768,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-3242-ryzen55500rtx30506gbnm3242.html,35365,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1665362253,,,,,.2924805,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 3210 (Ryzen55600RTX30506GBNM3210),,30985,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-3210-ryzen55600rtx30506gbnm3210.html,35615,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1665362434,,,,,.2924807,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 3241 (Ryzen55600RTX30506GBNM3241),,32377,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-3241-ryzen55600rtx30506gbnm3241.html,37215,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1665362663,,,,,.2924774,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 32102 (Ryzen55500RTX30506GBNM32102),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-32102-ryzen55500rtx30506gbnm32102.html,37465,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1665362686,,,,,.2924808,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 3242 (Ryzen55600RTX30506GBNM3242),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-3242-ryzen55600rtx30506gbnm3242.html,37465,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1665362826,,,,,.2922144,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 1641 (i314100FRTX30506GBNM1641),,29597,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-1641-i314100frtx30506gbnm1641.html,34019,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1665362859,,,,,.2921867,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 8GB NM 164 (i314100FRTX30508GBNM164),,27514,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-8gb-nm-164-i314100frtx30508gbnm164.html,31625,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1665362878,,,,,.2923475,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 3050 6GB NM 1641Win (Ryzen55500RTX30506GBNM1641Win),,33764,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-3050-6gb-nm-1641win-ryzen55500rtx30506gbnm1641win.html,38809,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1665362879,,,,,.2924806,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 32102 (Ryzen55600RTX30506GBNM32102),,34456,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-32102-ryzen55600rtx30506gbnm32102.html,39605,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1665362881,,,,,.2921863,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 324 (i314100FRTX30506GBNM324),,28906,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-324-i314100frtx30506gbnm324.html,33225,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1665362882,,,,,.2921860,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 1642 (i314100FRTX30506GBNM1642),,29819,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-1642-i314100frtx30506gbnm1642.html,34275,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1665362889,,,,,.2924778,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 4060 8GB NM 1641 (Ryzen55500RTX40608GBNM1641),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-4060-8gb-nm-1641-ryzen55500rtx40608gbnm1641.html,40949,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1665363189,,,,,.2921868,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 8GB NM 1641 (i314100FRTX30508GBNM1641),,30510,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-8gb-nm-1641-i314100frtx30508gbnm1641.html,35069,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1665363190,,,,,.2921861,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 3210 (i314100FRTX30506GBNM3210),,30768,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-3210-i314100frtx30506gbnm3210.html,35365,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1665363205,,,,,.2924803,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600 RTX 3050 6GB NM 1641Win (Ryzen55600RTX30506GBNM1641Win),,35626,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600-rtx-3050-6gb-nm-1641win-ryzen55600rtx30506gbnm1641win.html,40949,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1665363216,,,,,.2924780,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5500 RTX 4060 8GB NM 1642 (Ryzen55500RTX40608GBNM1642),,35848,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5500-rtx-4060-8gb-nm-1642-ryzen55500rtx40608gbnm1642.html,41205,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1665363217,,,,,.2921864,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 14100F RTX 3050 6GB NM 3241 (i314100FRTX30506GBNM3241),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-14100f-rtx-3050-6gb-nm-3241-i314100frtx30506gbnm3241.html,36959,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1665363293,6922951,INSPIRE,Светодиодная лента INSPIRE LED USB 5V 4W 4100К 2m 60led (J2M60-N),329,2903015,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE LED USB 5V 4W 4100К (J2M60-N),,329,1,https://comfy.ua/svetodiodnaja-lenta-inspire-led-usb-5v-4w-4100k-j2m60-n.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
