1688886023,column,column,column,column,2956992,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,____xoko_full_cover_ultrathin_025_black_for_iphone_15___ultra_thin_proof_xkcsultapip15,column,299,1,httpscomfyuazaschitnoesteklodljasmartfonaxokofullcoverultrathin025mmblackforiphone15cheholultrathinproofxkcsultapip15html,column,05112025_2017,column,__42,Фастів,0
1688919349,,,,,.2941775,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700KF RTX 4060 8GB W1 641010 (i714700KFRTX40608GBW1641010),,74250,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700kf-rtx-4060-8gb-w1-641010-i714700kfrtx40608gbw1641010.html,85345,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1688919350,,,,,.2941472,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4070 SUPER 12GB NM 1642 (i713700FRTX4070S12GBNM1642),,68221,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4070-super-12gb-nm-1642-i713700frtx4070s12gbnm1642.html,78415,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1688919366,,,,,.2941184,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 3242Win (i514400FRTX4070S12GBN3242Win),,68694,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-3242win-i514400frtx4070s12gbn3242win.html,78959,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1688919367,,,,,.2940235,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 SUPER 12GB NM 3242Win (Ryzen57500FRTX4070S12GBNM3242Win),,70779,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-super-12gb-nm-3242win-ryzen57500frtx4070s12gbnm3242win.html,81355,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1688919368,,,,,.2940276,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4070 SUPER 12GB NM 321010 (Ryzen57600XRTX4070S12GBNM321010),,70083,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4070-super-12gb-nm-321010-ryzen57600xrtx4070s12gbnm321010.html,80555,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1688919369,,,,,.2941773,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700KF RTX 4060 8GB W1 32102Win (i714700KFRTX40608GBW132102Win),,73554,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700kf-rtx-4060-8gb-w1-32102win-i714700kfrtx40608gbw132102win.html,84545,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1688919370,,,,,.2940444,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 Ti 16GB W1 3210 (Ryzen77800X3DRTX4060Ti16GBW13210),,71475,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-ti-16gb-w1-3210-ryzen77800x3drtx4060ti16gbw13210.html,82155,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1688919371,,,,,.2940402,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 Ti 16GB W1 321010 (Ryzen77700XRTX4060Ti16GBW1321010),,73079,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-ti-16gb-w1-321010-ryzen77700xrtx4060ti16gbw1321010.html,83999,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1688919373,,,,,.2940447,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 Ti 16GB W1 3242 (Ryzen77800X3DRTX4060Ti16GBW13242),,73079,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-ti-16gb-w1-3242-ryzen77800x3drtx4060ti16gbw13242.html,83999,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1688920172,,,,,.2940400,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 64102Win (Ryzen77700XRTX40608GBW164102Win),,76077,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-64102win-ryzen77700xrtx40608gbw164102win.html,87445,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1688920677,,,,,.2941728,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4070 12GB N 32102 (i714700FRTX407012GBN32102),,72166,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4070-12gb-n-32102-i714700frtx407012gbn32102.html,82949,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1688920678,,,,,.2922150,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4070 SUPER 12GB NM 3210 (i713700FRTX4070S12GBNM3210),,69390,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4070-super-12gb-nm-3210-i713700frtx4070s12gbnm3210.html,79759,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1688920682,,,,,.2941474,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4070 SUPER 12GB NM 3241 (i713700FRTX4070S12GBNM3241),,70521,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4070-super-12gb-nm-3241-i713700frtx4070s12gbnm3241.html,81059,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1688921638,,,,,.2941732,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4070 SUPER 12GB N 1641 (i714700FRTX4070S12GBN1641),,70083,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4070-super-12gb-n-1641-i714700frtx4070s12gbn1641.html,80555,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1688921645,,,,,.2940238,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 SUPER 12GB NM 64102 (Ryzen57500FRTX4070S12GBNM64102),,73775,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-super-12gb-nm-64102-ryzen57500frtx4070s12gbnm64102.html,84799,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1688930036,6980413,RUSSELL HOBBS,Мультимейкер RUSSELL HOBBS 26810-56 Black-Silver,2599,2959032,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Russell Hobbs,russell-hobbs,Бутербродниця Russell Hobbs 26810-56,,2599,1,https://comfy.ua/buterbrodnica-russell-hobbs-26810-56.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1688931536,,,,,2842442,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 380 г (44090),,309,1,https://comfy.ua/molotok-haisser-380-g-44090.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1688931537,,,,,.2842443,Инструменты и автотовары >> Ручные инструменты,haisser,Лом-цвяхосмик Haisser 400 мм (44140),,359,1,https://comfy.ua/lom-gvozdoder-haisser-400-mm-44140.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1688931544,,,,,.2842444,Инструменты и автотовары >> Ручные инструменты,haisser,Лом-цвяхосмик Haisser 600 мм (44141),,445,1,https://comfy.ua/lom-gvozdoder-haisser-600-mm-44141.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1688931545,6984986,СТАЛЬ,Топор СТАЛЬ колун 1000г (44047),427,2836425,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Сокира Сталь 1 кг (44047),,515,1,https://comfy.ua/topor-stal-1-kg-44047.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
