819710057,column,column,column,column,1770026,___________frosch,frosch,____frosch__500_,column,109,1,httpscomfyuazhidkoemylodljarukfroschlavanda500mlhtml,187,05112025_1839,column,__42,Фастів,0
819710195,,,,,1753841,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Tescoma,tescoma,Пінцет кухонний tescoma 637638 Feelwood 30 см,,299,1,https://comfy.ua/pincet-kuhonnyj-tescoma-637638-feelwood-30-sm.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
819710196,,,,,1690112,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Tescoma,tescoma,Пінцет кухонний tescoma 420520 Presto,,459,1,https://comfy.ua/pincet-kuhonnyj-tescoma-420520-presto.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
819710199,,,,,1695233,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Tescoma,tescoma,Пінцет кухонний tescoma 420516 Presto,,949,1,https://comfy.ua/pincet-kuhonnyj-tescoma-420516-presto.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
819710226,,,,,1695234,Посуда >> Кухонные аксессуары,tescoma,Миска tescoma 428601 GrandChef 20 см 3 л,,1599,1,https://comfy.ua/miska-tescoma-428601-grandchef-20-sm-3-l.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819710229,,,,,1684152,Посуда >> Кухонные аксессуары,wmf,Набір мисок WMF 645709990 GOURMET KUECHE 4,,2999,1,https://comfy.ua/nabor-misok-wmf-645709990-gourmet-kueche-4.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
819710234,,,,,1691020,Посуда >> Кухонные аксессуары,tescoma,Миска tescoma 630098 Delicia,,859,1,https://comfy.ua/miska-tescoma-630098-delicia.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
819710244,,,,,1766195,Посуда >> Для запекания и выпечки,tescoma,Скалка tescoma Delicia (630034),,329,1,https://comfy.ua/skalka-tescoma-delicia-630034.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
819710245,,,,,1729810,Посуда >> Для приготовления,tescoma,Набір для приготування равіолі tescoma 630049 Delicia 4 шт.,,549,1,https://comfy.ua/nabor-dlja-prigotovlenija-ravioli-tescoma-630049-delicia-4-sht.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
819710248,,,,,1778499,Посуда >> Для запекания и выпечки,tescoma,Скалка tescoma 630176 Delicia 37x5 см,,1199,1,https://comfy.ua/skalka-tescoma-630176-delicia-37x5-sm.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819710249,,,,,1695389,Посуда >> Для запекания и выпечки,tescoma,Скалка tescoma 630160 Delicia,,999,1,https://comfy.ua/skalka-tescoma-630160-delicia.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
819710252,,,,,1766196,Посуда >> Для запекания и выпечки,tescoma,Скалка tescoma Delicia (630182),,1599,1,https://comfy.ua/skalka-tescoma-delicia-630282.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
819710255,6705139,GEFU,Набор Gefu Tasca для равиоли квадрат (28440),2000,1610332,Посуда >> Для приготовления >> Специальная посуда >> Специальная посуда Gefu,gefu,Набір для приготування равіолі Gefu квадрат Tasca 3 пр. (28440),,2151,1,https://comfy.ua/nabor-dlja-prigotovlenija-ravioli-gefu-kvadrat-tasca-3-pr-28440.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
819710257,,,,,1767624,Посуда >> Для приготовления,tescoma,Локшинорізка tescoma Delicia (630872),,3099,1,https://comfy.ua/lapsherezka-tescoma-delicia-630872.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
819710266,,,,,1720291,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Berghoff,berghoff,Набір приладдя для салату Berghoff 3950221 LEO + тарілка,,1239,1,https://comfy.ua/nabor-prinadlezhnostej-dlja-salata-berghoff-3950221-leo-tarelka.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710268,,,,,1661300,Посуда >> Для приготовления,tescoma,Сушка для салату tescoma 643590 Handy,,1599,1,https://comfy.ua/sushka-dlja-salata-tescoma-643590-handy.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
819710269,,,,,1683590,Посуда >> Кухонные аксессуары,wmf,Набір приладдя для салату WMF 1291426040 NUOVA 2 пр. 24 см,,779,1,https://comfy.ua/nabor-prinadlezhnostej-dlja-salata-wmf-1291426040-nuova-2-pr-24-sm.html,899,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
819710272,,,,,1683592,Посуда >> Кухонные аксессуары,wmf,Набір приладдя для салату WMF 1291246040 NUOVA 4 пр.,,1499,1,https://comfy.ua/nabor-prinadlezhnostej-dlja-salata-wmf-1291246040-nuova-4-pr.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
819710275,,,,,1695416,Посуда >> Для приготовления,tescoma,Електричне фондю tescoma 630101 Delicia,,2299,1,https://comfy.ua/jelektricheskoe-fondju-tescoma-630101-delicia.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
819710276,,,,,1695248,Посуда >> Для приготовления >> Аксессуары для посуды >> Аксессуары для посуды Tescoma,tescoma,Кошик для приготування бульйонів tescoma 428560 GrandChef 6 cм,,399,1,https://comfy.ua/korzina-dlja-prigotovlenija-bul-onov-tescoma-428560-grandchef-6-cm.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819710277,,,,,1695247,Посуда >> Для приготовления,tescoma,Кошик для приготування бульйонів tescoma 428564 GrandChef 10 cм,,699,1,https://comfy.ua/korzina-dlja-prigotovlenija-bul-onov-tescoma-428564-grandchef-10-cm.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
819710279,6517297,KELA,Набор для фондю KELA Cailin 10 пр (10968),3866,1757608,Посуда >> Для приготовления >> Специальная посуда >> Специальная посуда Kela,kela,Набір для фондю Kela Cailin 10 пр. (10968),,3869,1,https://comfy.ua/nabor-dlja-fondju-kela-cailin-10-pr-10968.html,5949,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
819710287,,,,,1661636,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Товкушка tescoma 420374 Presto,,449,1,https://comfy.ua/tolkushka-tescoma-420374-presto.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
819710288,,,,,1661645,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Товкушка tescoma 428284 GrandChef,,499,1,https://comfy.ua/tolkushka-tescoma-428284-grandchef.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
819710289,6676721,VINZER,Толкушка VINZER 50205,427,1776497,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Vinzer,vinzer,Товкушка Vinzer 50205,,429,1,https://comfy.ua/tolkushka-vinzer-50205.html,536,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
819710290,,,,,1723064,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Товкушка tescoma 638684 President,,849,1,https://comfy.ua/tolkushka-tescoma-638684-president.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
819710292,,,,,1683781,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности WMF,wmf,Толкушка WMF 1871696030 PROFI PLUS 29 см,,1099,1,https://comfy.ua/tolkushka-wmf-1871696030-profi-plus-29-sm.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
819710293,,,,,1683787,Посуда >> Кухонные аксессуары,wmf,"Толкушка WMF 1871386030 PROFI PLUS 28,5 см",,1099,1,https://comfy.ua/tolkushka-wmf-1871386030-profi-plus-28-5-sm.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
819710296,,,,,1148896,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Товкушка tescoma 638025 SPACE LINE,,299,1,https://comfy.ua/tolkushka-tescoma-638025-space-line.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
819710301,,,,,1696096,Посуда >> Кухонные аксессуары,tescoma,Підставка для кухонного приладдя tescoma 420938 Presto 19 см,,399,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-tescoma-420938-presto-19-sm.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
819710302,,,,,1740655,Посуда >> Кухонные аксессуары,berghoff,Підставка для кухонного приладдя Berghoff 3950153 LEO,,499,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-berghoff-3950153-leo.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
819710307,7061412,JOSEPH JOSEPH,Набор подставок JOSEPH JOSEPH 2 шт (20174),855,1785546,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Joseph Joseph,joseph-joseph,Підставка для кухонного приладдя Joseph Joseph 2 шт. 20174 для гарячого,,855,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-joseph-joseph-2-sht-20174-dlja-gorjachego.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
819710308,6670396,KELA,Органайзер KELA для кухонных принадлежностей Benito (11668),1439,1673861,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Органайзер для столових приборів Kela Benito Metallic (11668),,1439,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-kela-benito-metallic-11668.html,1599,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
819710309,,,,,1689675,Посуда >> Для сервировки,tescoma,Пробка для вина tescoma 420698 Presto 2 шт.,,199,1,https://comfy.ua/probka-dlja-vina-tescoma-420698-presto-2-sht.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
819710310,,,,,1688998,Посуда >> Для сервировки,tescoma,Воронка для вина tescoma 420689 Presto 2 шт,,199,1,https://comfy.ua/voronka-dlja-vina-tescoma-420689-presto-2-sht.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
819710311,,,,,1689674,Посуда >> Для сервировки,tescoma,Воронка для вина tescoma 420690  Presto 2 шт.,,249,1,https://comfy.ua/voronka-dlja-vina-tescoma-420690-presto-2-sht.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819710314,,,,,1698943,Посуда >> Для сервировки,tescoma,Пробка для пляшки шампанського tescoma 695424 Uno Vino,,349,1,https://comfy.ua/probka-dlja-butylki-shampanskogo-tescoma-695424-uno-vino.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
819710315,,,,,1751897,Посуда >> Для сервировки,tescoma,Пробка для вина tescoma 420695 Presto 3 шт.,,349,1,https://comfy.ua/probka-dlja-vina-tescoma-420695-presto-3-sht.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
819710317,,,,,1689676,Посуда >> Для сервировки,tescoma,Пробка для пляшки шампанського tescoma 420700 Presto,,449,1,https://comfy.ua/probka-dlja-butylki-shampanskogo-tescoma-420700-presto.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819710318,,,,,1695558,Посуда >> Для сервировки,tescoma,Пробка для пляшки шампанського tescoma 695428 Uno Vino,,449,1,https://comfy.ua/probka-dlja-butylki-shampanskogo-tescoma-695428-uno-vino.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
819710320,6705173,GEFU,Пробка для игристого вина Gefu Sparky (12730),490,1780685,Посуда >> Для сервировки >> Принадлежности для бара >> Принадлежности для бара Gefu,gefu,Пробка для вина Gefu Sparky (12730),,653,1,https://comfy.ua/probka-dlja-vina-gefu-sparky-12730.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
819710323,,,,,1687414,Посуда >> Для сервировки,wmf,Кришка для винної пляшки WMF 641036030 CLEVER & MORE,,549,1,https://comfy.ua/kryshka-dlja-vinnoj-butylki-wmf-641036030-clever-more.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
819710324,,,,,1687473,Посуда >> Для сервировки,wmf,Пробка для пляшки шампанського WMF 640886030 CLEVER & MORE,,499,1,https://comfy.ua/probka-dlja-butylki-shampanskogo-wmf-640886030-clever-more.html,599,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
819710326,,,,,1684440,Посуда >> Для сервировки,wmf,Пробка для вина WMF 640727920 VINO,,599,1,https://comfy.ua/probka-dlja-vina-wmf-640727920-vino.html,699,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
819710327,,,,,1684434,Посуда >> Для сервировки,wmf,Пробка для вина WMF 640667920 VINO,,1199,1,https://comfy.ua/probka-dlja-vina-wmf-640667920-vino.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
