745556347,column,column,column,column,1686316,"Аудио, фото и видео >> Наушники по типу",sennheiser,bluetooth_sennheiser_sp_30_,column,11339,1,httpscomfyuabluetoothspikerfonsennheisersp30thtml,column,05112025_1810,column,__42,Фастів,0
745760003,6629667,TEFAL,Гриль TEFAL OptiGrill Elite XL GC760D30,10799,1685768,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Tefal,tefal,Гриль-барбекю електричний Tefal Optigrill Elite XL GC760D30,,10799,1,https://comfy.ua/gril-barbekju-jelektricheskij-tefal-gc760d30.html,17999,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
745800095,6622886,GORENJE,Холодильник GORENJE NRK6191PW4 (HZF3268SCD),18681,1680366,Техника для кухни >> Крупная техника,gorenje,Холодильник Gorenje NRK 6191 PW4,,21329,1,https://comfy.ua/holodil-nik-gorenje-nrk-6191-pw4.html,23699,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
745800098,,,,,1680827,Техника для кухни >> Крупная техника,snaige,Холодильник Snaige CD35-DMS300SD1,,25799,1,https://comfy.ua/holodil-nik-snaige-cd35-dms300sd1.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
745887595,,,,,1668672,Техника для кухни >> Крупная техника,ventolux,Посудомийна машина окремостояча Ventolux DW 6012 4M NA FS,,13299,1,https://comfy.ua/catalog/product/view/id/1404823,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
745909414,6427563,MAXMARK,Заварник MAXMARK MK-F69-800,363,1679245,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,"Френч-прес Maxmark MK-F69-800 0,8 л",,363,1,https://comfy.ua/french-press-maxmark-mk-f69-800-0-8-l.html,899,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
745909431,7165795,SOLA,Нож столовой SOLA Fleurie 19.9 см (11FLEU124),139,1617917,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ніж для риби Sola 19.9 см 11FLEU124,,139,1,https://comfy.ua/nozh-dlja-ryby-sola-19-9-sm-11fleu124.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
745909443,7165765,SOLA,Нож столовый SOLA 23.6см (11FLEU111),218,1617915,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ніж столовий Sola 23.6 см 11FLEU111,,249,1,https://comfy.ua/nozh-stolovyj-sola-23-6-sm-11fleu111.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
745915840,,,,,1688930,Техника для кухни >> Мелкая техника,rotex,Електричний чайник Rotex RKT78-S Smart,,899,1,https://comfy.ua/catalog/product/view/id/1407153,1099,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
745917149,,,,,.1685671,Посуда >> Нарезка и измельчение,tescoma,Ніж столовий tescoma 863014 Presto для масла 10 см,,259,1,https://comfy.ua/nozh-stolovyj-tescoma-863014-presto-dlja-masla-10-sm.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
745918140,,,,,1688930,Техника для кухни >> Мелкая техника,rotex,Електричний чайник Rotex RKT78-S Smart,,899,1,https://comfy.ua/catalog/product/view/id/1407153/s/jelektricheskij-chajnik-rotex-rkt78-s-smart,1099,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
