794119372,,,,,1707273,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Підвіска Baby Team М'яка іграшка на ліжечко/коляску Мавпа (8532_обезьяна),,459,1,https://comfy.ua/podveska-baby-team-mjagkaja-igrushka-na-krovatku-koljasku-obez-jana-8532-obez-jana.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
794119377,,,,,1707234,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Підвіска Baby Team М'яка іграшка-дзвіночок Метелик (8520_Бабочка),,309,1,https://comfy.ua/podveska-baby-team-mjagkaja-igrushka-kolokol-chik-babochka-8520-babochka.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
794119378,,,,,1707233,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Підвіска Baby Team М'яка іграшка-дзвіночок Сова (8520_Сова),,309,1,https://comfy.ua/podveska-baby-team-mjagkaja-igrushka-kolokol-chik-sova-8520-sova.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
794119381,,,,,1707250,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Baby Team,baby-team,Сортер Baby Team Домик ( 8640),,829,1,https://comfy.ua/sorter-baby-team-domik-8640.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
794119386,,,,,1707299,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Підвіска Baby Team М'яка багатофункціональна іграшка-прорізувач Сова (8533_сова салатова),,375,1,https://comfy.ua/podveska-baby-team-mjagkaja-mnogofunkcional-naja-igrushka-prorezyvatel-sova-8533-sova-salatovaja.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
794119387,,,,,1707298,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Підвіска Baby Team М'яка багатофункціональна іграшка-прорізувач Сова (8533_сова фіолетова),,375,1,https://comfy.ua/podveska-baby-team-mjagkaja-mnogofunkcional-naja-igrushka-prorezyvatel-sova-8533-sova-fioletovaja.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
794119390,,,,,1707249,Детские товары >> Игрушки для малышей,baby-team,Підвіска Baby Team М'яка на ліжечко Жираф (8531),,629,1,https://comfy.ua/podveska-baby-team-mjagkaja-na-krovatku-zhiraf-8531.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
794119391,,,,,1707211,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Baby Team,baby-team,Книжка-іграшка Baby Team Зоопарк (8731),,82,1,https://comfy.ua/knizhka-igrushka-baby-team-zoopark-8731.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
794119395,,,,,1707204,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Baby Team,baby-team,Книжка-іграшка Baby Team Фрукти-овочі (8730),,75,1,https://comfy.ua/knizhka-igrushka-baby-team-frukty-ovoschi-8730.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
794119396,,,,,1707309,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Baby Team,baby-team,Прорізувач з охолодженням Baby Team Квіточка (8410),,79,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-baby-team-cvetochek-8410.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
794119397,,,,,1707194,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Baby Team,baby-team,Прорізувач Baby Team Фрукти (8470),,159,1,https://comfy.ua/prorezyvatel-baby-team-frukty-8470.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
794119406,,,,,1707271,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Брязкальце Baby Team м'яка Сова (8501_Сова),,195,1,https://comfy.ua/pogremushka-baby-team-mjagkaja-sova-8501-sova.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
794119407,,,,,1707222,Детские товары >> Игрушки для малышей,baby-team,Брязкальце Baby Team м'яка Слоник (8501_Слонік),,229,1,https://comfy.ua/pogremushka-baby-team-mjagkaja-slonik-8501-slonik.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
794119408,,,,,1707254,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Брязкальце Baby Team м'яка Мавпочка (8501_Обезьянка),,229,1,https://comfy.ua/pogremushka-baby-team-mjagkaja-obez-janka-8501-obez-janka.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
794119413,,,,,1707253,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Брязкальце Baby Team Іграшка з пищалки Бджілка (8500_Пчелка зелена),,205,1,https://comfy.ua/pogremushka-baby-team-igrushka-s-pischalkoj-pchelka-8500-pchelka-zelenaja.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
794119415,,,,,1707245,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Baby Team,baby-team,Брязкальце Baby Team Іграшка з пищалки Метелик (8500_Бабочка рожева),,205,1,https://comfy.ua/pogremushka-baby-team-igrushka-s-pischalkoj-babochka-8500-babochka-rozovaja.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
794373350,,,,,1746501,Детские товары >> Подгузники и пеленание,huggies,"Одноразові підгузки Huggies Класик 3 (4-9 кг), 58 шт. (5029053543109)",,419,1,https://comfy.ua/catalog/product/view/id/1999753,530,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
