1038058652,column,column,column,column,1866093,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,_arkade___black_850002584080,column,199,1,httpscomfyuacatalogproductviewid3056723,column,05112025_1831,column,__42,Фастів,0
1038630746,,,,,1868957,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime Lenovo 20V 2.25A 45W 4.0x1.7 мм (FWM20V2.25A45W_LE4017),,699,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-lenovo-20v-2-25a-45w-4-0x1-7-mm-fwm20v2-25a45w-le4017.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1038630791,,,,,1854507,"Аудио, фото и видео >> Акустика",vertux,Мікрофон до комп'ютера Vertux Marshal.black,,999,1,https://comfy.ua/catalog/product/view/id/3052333,3299,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1038631089,,,,,1868964,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime 18.5-20V 90W 11 Tip (F.Universal90W_11TIP),,1199,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-18-5-20v-90w-11-tip-f-universal90w-11tip.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1038729604,6710471,SANO,Средство для удаления жира и сажи Sano Forte Plus 500 мл (7290102993109),239,1751930,Бытовая химия >> Средства для чистки техники,sano,Засіб для чищення духовок Sano 500 мл (7290102993109),,216,1,https://comfy.ua/chistjaschee-sredstvo-dlja-duhovki-sano-500-ml-7290102993109.html,239,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1038752058,6910655,EDLER,Блендер EDLER EDHB-6045,649,1868478,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Edler,edler,Блендер заглибний Edler EDHB-6045,,649,1,https://comfy.ua/blender-pogruzhnoj-edler-edhb-6045.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1038752596,6768807,GRUNHELM,Варочная поверхность GRUNHELM GPG261X,5239,1863150,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Grunhelm,grunhelm,Варильна поверхня газова Grunhelm GPG261X,,5399,1,https://comfy.ua/varochnaja-panel-gazovaja-grunhelm-gpg261x.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1038752617,6768806,GRUNHELM,Варочная поверхность GRUNHELM GPG161B,4899,1863149,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Grunhelm,grunhelm,Варильна поверхня газова Grunhelm GPG161B,,4899,1,https://comfy.ua/varochnaja-panel-gazovaja-grunhelm-gpg161b.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1038931657,,,,,.1868752,Техника для кухни >> Мелкая техника,smeg,Тостер Smeg TSF03SSEU,,11499,1,https://comfy.ua/toster-smeg-tsf03sseu.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1038933585,,,,,.1866094,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Ігровий контролер Arkade A1 Gray/Orange (850002584011),,599,1,https://comfy.ua/igrovoj-kontroller-arkade-a1-gray-orange-850002584011.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1038933586,,,,,.1866095,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Ігровий контролер Arkade A2 Gray/Orange (850002584028),,899,1,https://comfy.ua/igrovoj-kontroller-arkade-a2-gray-orange-850002584028.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1038941224,,,,,1856658,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Domestos,domestos,Туалетний блок Domestos Power 5 Тріо Свіжість xвої 3x55г,,132,1,https://comfy.ua/tualetnyj-blok-domestos-power-5-trio-svezhest-xvoi-3x55g.html,179,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1038946847,,,,,1867817,Детские товары >> Прогулки и поездки,baby-design,Коляска прогулянкова Baby Design Design LOOK AIR 2020 07 GRAY (202612),,10320,1,https://comfy.ua/catalog/product/view/id/3092823,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1038947490,,,,,1864461,Посуда >> Для хранения,provans,"""Хлібниця Прованс декоративна """"Grosso"""" з мереживом 22х22 (017557)""",,469,1,https://comfy.ua/hlebnica-provans-dekorativnaja-grosso-s-kruzhevom-22h22-017557.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1039002670,,,,,1854453,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Кабель синхронізації даних AIRON для экшн-камеры ProCam 7/8 Type-C (69477915500104),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-airon-dlja-jekshn-kamery-procam-7-8-type-c-69477915500104.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1039015942,,,,,1867683,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Kore Authentic Black,,10206,1,https://comfy.ua/avtokreslo-maxi-cosi-kore-authentic-black.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1039018334,,,,,1867698,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Pearl 360 Authentic Black,,12420,1,https://comfy.ua/avtokreslo-maxi-cosi-pearl-360-authentic-black.html,13800,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1039021691,,,,,1867847,Детские товары >> Прогулки и поездки,britax-romer,Адаптер для коляски Britax-Romer Click&Go B-Agile Double (2000012051),,900,1,https://comfy.ua/adapter-dlja-avtokresla-britax-romer-clickandgo-b-agile-double-2000012051.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1039021885,,,,,1867682,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Kore Pro i-Size Authentic Grey,,11880,1,https://comfy.ua/avtokreslo-maxi-cosi-kore-pro-i-size-authentic-grey.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1039022947,,,,,.1867858,Детские товары >> Прогулки и поездки,hauck,База для автокрісла HAUCK iPro black,,4140,1,https://comfy.ua/baza-dlja-avtokresla-hauck-ipro-black.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1039050002,6926835,DANFOSS,Терморегулятор радиаторный DANFOSS Ally M30x1.5 RA Zigbee White (014G2420),4475,1868784,Техника для дома >> Климатическая техника >> Терморегуляторы >> Терморегуляторы Danfoss,danfoss,Терморегулятор Danfoss M30 (014G2420),,4476,1,https://comfy.ua/termoreguljator-danfoss-m30-014g2420.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1039086709,,,,,1861636,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла Armorstandart,armorstandart,Захисне скло для смартфона Armorstandart Icon 3D for Apple iPhone 13 Pro Max Black (ARM60000),,399,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-apple-iphone-13-pro-max-black-arm60000.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
