1449328295,column,column,column,column,2250176,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_rog_strix_b650a_gaming_wifi,column,10299,1,httpscomfyuamaterinskajaplataasusrogstrixb650agamingwifihtml,column,05112025_1914,column,__42,Фастів,0
1450383730,7170336,PERFELLI,Вытяжка PERFELLI BIS 58844 WH 1200 LED,6999,2211927,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 58844 WH 1200 LED,,6999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-58844-wh-1200-led.html,9999,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1450438361,,,,,2227382,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 20757 HW,,2859,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-20757-hw.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1450438362,,,,,2227381,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 20757 HB,,2859,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-20757-hb.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1450504807,6873693,GORENJE,Стирально-сушильная машина GORENJE WD2A964ADS/UA,19499,2276300,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Gorenje,gorenje,Прально-сушильна машина Gorenje WD2A964ADS,,19499,1,https://comfy.ua/stiral-no-sushil-naja-mashina-gorenje-wd2a964ads.html,27499,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1450504808,7040723,GORENJE,Стирально-сушильная машина GORENJE WD2A164ADS/UA (20010451),19999,2276299,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Gorenje,gorenje,Прально-сушильна машина Gorenje WD2A164ADS,,20999,1,https://comfy.ua/stiral-no-sushil-naja-mashina-gorenje-wd2a164ads.html,28199,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1450505047,,,,,1831887,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники 2E",2e,Кабель патч-корд 2E Cat 5e UTP RJ45 26AWG 1.50 m Green (2E-PC5ECA-150GRN),,34,1,https://comfy.ua/kabel-patch-kord-2e-cat-5e-utp-rj45-26awg-1-50-m-green-2e-pc5eca-150grn.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1450505229,,,,,1831922,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники 2E",2e,Кабель патч-корд 2E Cat 5e UTP RJ45 26AWG 1.00 m Green (2E-PC5ECOP-100GRN),,25,1,https://comfy.ua/kabel-patch-kord-2e-cat-5e-utp-rj45-26awg-1-00-m-green-2e-pc5ecop-100grn.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1450505240,,,,,1831937,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники 2E",2e,Кабель патч-корд 2E Cat 5e UTP RJ45 26AWG 1.20 m Red (2E-PC5ECOP-120RD),,52,1,https://comfy.ua/kabel-patch-kord-2e-cat-5e-utp-rj45-26awg-1-20-m-red-2e-pc5ecop-120rd.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
1450505499,7061183,EMILE HENRY,Форма EMILE HENRY для хлеба Artisan Bread Красная (345501),6450,2276306,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry хліба 36х24х16 см 345501,,6450,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-hleba-36h24h16-sm-345501.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1450505820,,,,,1832100,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники 2E",2e,Кабель патч-корд 2E Cat 6 S-FTP RJ45 4Х2 27AWG 1.50 m Red (2E-PC6SFTPCOP-150RD),,57,1,https://comfy.ua/kabel-patch-kord-2e-cat-6-s-ftp-rj45-4h2-27awg-1-50-m-red-2e-pc6sftpcop-150rd.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1450530936,6840183,YUCEL,Плитка YUCEL O-200-LPG silver (для баллонного газа),949,2272583,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Yucel,yucel,Плита газова настільна Yucel O-200-LPG Silver,,949,1,https://comfy.ua/plita-gazovaja-nastol-naja-yucel-o-200-lpg-silver.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
