1687948246,column,column,column,column,2691298,Инструменты и автотовары >> Расходные материалы,milwaukee,_milwaukee_forstner_3090__4932363714,column,309,1,httpscomfyuasverlomilwaukeeforstner30h90mm4932363714html,column,05112025_2123,column,__42,Фастів,0
1688031122,6904625,IQ,Нож поварской IQ Be Chef 20 см (IQ-11000-5),449,2825249,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы IQ,iq,Ніж кухаря IQ Be Chef 20 см (IQ-11000-5),,659,1,https://comfy.ua/nozh-povara-iq-be-chef-20-sm-iq-11000-5.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1688065375,,,,,2933557,Техника для кухни >> Крупная техника,hansa,Витяжка традиційна Hansa OSC6112WH,,2599,1,https://comfy.ua/vytjazhka-vstraivaemaja-hansa-osc6112wh.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1688066753,6974760,SAMSUNG,Духовой шкаф SAMSUNG NV7B4125ZAS/WT,20999,2917125,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV7B4125ZAS/WT,,20999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv7b4125zas-wt.html,22699,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1688067266,6974758,SAMSUNG,Духовой шкаф SAMSUNG NV7B4245VAK/WT,28299,2917124,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV7B4245VAK/WT,,28299,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv7b4245vak-wt.html,30699,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1688067749,6974757,SAMSUNG,Духовой шкаф SAMSUNG Dual Cook NV7B4445UAS/WT,30399,2917121,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV7B4445UAS/WT,,30399,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv7b4445uas-wt.html,32899,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1688127870,,,,,2875929,Техника для кухни >> Крупная техника >> Льдогенераторы >> Льдогенераторы Liberty,liberty,Льдогенератор Liberty ANID-001,,15999,1,https://comfy.ua/l-dogenerator-liberty-anid-001.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1688128480,,,,,1984418,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover for Apple AirPods (3rd Gen) Red (707186),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-for-apple-airpods-3nd-gen-red-707186.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1688128484,,,,,1984420,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover for Apple AirPods (3nd Gen) Transparancy (707232),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-for-apple-airpods-3nd-gen-transparancy-707232.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1688128486,,,,,2243039,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover for Apple AirPods (3nd Gen) Yellow (707233),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-for-apple-airpods-3nd-gen-yellow-707233.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1688128735,,,,,2911915,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников Knowledge Zenith",knowledge-zenith,Чохол для навушників Knowledge Zenith Oval Case Black (7662),,159,1,https://comfy.ua/chehol-dlja-naushnikov-knowledge-zenith-oval-case-black-7662.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1688128942,,,,,2953540,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников UGREEN",ugreen,Чохол для навушників UGREEN LP128 Earphone Carrying Case Gray (70577),,249,1,https://comfy.ua/chehol-dlja-naushnikov-ugreen-lp128-earphone-carrying-case-gray-70577.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1688133618,,,,,2957348,Техника для дома >> Климатическая техника,vestfrost,Кондиціонер спліт Vestfrost VFE10AF24,,15999,1,https://comfy.ua/kondicioner-split-vestfrost-vfe10af24.html,18999,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,1
1688133619,,,,,2957349,Техника для дома >> Климатическая техника,vestfrost,Кондиціонер спліт Vestfrost VFE13AF24,,17999,1,https://comfy.ua/kondicioner-split-vestfrost-vfe13af24.html,20999,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1688133620,,,,,2957347,Техника для дома >> Климатическая техника,vestfrost,Кондиціонер спліт Vestfrost VFE08AF24,,14999,1,https://comfy.ua/kondicioner-split-vestfrost-vfe08af24.html,17999,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,1
1688133621,,,,,2957350,Техника для дома >> Климатическая техника,vestfrost,Кондиціонер спліт Vestfrost VFE18AF24,,25999,1,https://comfy.ua/kondicioner-split-vestfrost-vfe18af24.html,34999,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1688134014,6982825,REMAX,Гарнитура REMAX 3.5 mm RM-598 (RM-598),229,2914388,"Аудио, фото и видео >> Наушники >> Наушники Remax",remax,Навушники вкладиші дротові Remax RM-598,,365,1,https://comfy.ua/naushniki-vkladyshi-provodnye-remax-rm-598.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
