801249641,column,column,column,column,1761055,Детские товары >> Игрушки,banbao,__banbao,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
803117666,6672581,LEOV,Бойлер LEOV LV Dry 150 l,15999,1761667,Техника для дома >> Крупная техника,leov,Водонагрівач Leov LV Dry 150 l,,15999,1,https://comfy.ua/vodonagrevatel-leov-lv-dry-150-l.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
803117670,6666342,LG,Холодильник LG GW-B509SBUM,28999,1763525,Техника для кухни >> Крупная техника,lg,Холодильник LG GW-B509SBUM,,26999,1,https://comfy.ua/holodil-nik-lg-gw-b509sbum.html,30999,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
803117675,6666344,LG,Холодильник LG GW-B509SEUM,27499,1763528,Техника для кухни >> Крупная техника,lg,Холодильник LG GW-B509SEUM,,26999,1,https://comfy.ua/holodil-nik-lg-gw-b509seum.html,29999,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
803117691,6672560,LEOV,Бойлер LEOV LH Dry 100 l,10109,1761650,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LH Dry 100 l,,10109,1,https://comfy.ua/vodonagrevatel-leov-lh-dry-100-l.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
803117691,6672557,LEOV,Бойлер LEOV LH 100 l,7689,1761650,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LH Dry 100 l,,10109,1,https://comfy.ua/vodonagrevatel-leov-lh-dry-100-l.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
803117713,6672556,LEOV,Бойлер LEOV LH 80 l,7100,1761677,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LH Dry 80 l,,8789,1,https://comfy.ua/vodonagrevatel-leov-lh-dry-80-l.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
803117715,6672549,LEOV,Бойлер LEOV EL 80 l,5449,1761628,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov EL 80 l,,5449,1,https://comfy.ua/vodonagrevatel-leov-el-80-l.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
803117717,6672548,LEOV,Бойлер LEOV EL 50 l,4849,1761627,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov EL 50 l,,4849,1,https://comfy.ua/vodonagrevatel-leov-el-50-l.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
803117720,6672575,LEOV,Бойлер LEOV LV 120 l,8893,1761651,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LV 120 l,,8819,1,https://comfy.ua/vodonagrevatel-leov-lv-120-l.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
803117723,6672576,LEOV,Бойлер LEOV LV 150 l,11499,1761666,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LV 150 l,,11499,1,https://comfy.ua/vodonagrevatel-leov-lv-150-l.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
803117726,6672554,LEOV,Бойлер LEOV LCV Comby 150 l,15565,1761632,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LCV Comby 150 l,,15565,1,https://comfy.ua/vodonagrevatel-leov-lcv-comby-150-l.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
803117739,6620249,GUNTER & HAUER,Варочная поверхность GUNTER & HAUER I 6 MW,17999,1761950,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gunter&Hauer,gunterhauer,Варильна поверхня електрична Gunter & Hauer I 6 MW,,14175,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gunter-hauer-i-6-mw.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
803150785,,,,,1763175,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Trust",trust,Килимок для миші Trust Mouse Pad M (24193),,99,1,https://comfy.ua/kovrik-dlja-myshi-trust-mouse-pad-m-24193.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
803150973,6650518,DEFENDER,Гарнитура Defender Scrapper 500 Blue Black (64501),565,1724636,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура дротова ігрова Defender Scrapper 500 Blue/Black (64501),,549,1,https://comfy.ua/garnitura-provodnaja-igrovaja-defender-scrapper-500-blue-black-64501.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
803153015,6612185,TEFAL,Блендер TEFAL BL91HD31,10999,1661757,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Tefal,tefal,Блендер стаціонарний Tefal BL91HD31,,10999,1,https://comfy.ua/blender-stacionarnyj-tefal-bl91hd31.html,13799,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
803180054,,,,,1757636,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Logitech",logitech,Веб-камера для комп'ютера Logitech StreamCam off White (960-001297),,8999,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-logitech-streamcam-off-white-960-001297.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
803201166,6628866,SATURN,Паровая система SATURN ST-CC8210,1399,1763410,Техника для дома >> Мелкая техника >> Утюги >> Утюги Saturn,saturn,Вертикальний відпарювач стаціонарний Saturn ST-CC8210,,1399,1,https://comfy.ua/vertikal-nyj-otparivatel-stacionarnyj-saturn-st-cc8210.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
803233561,6583594,KARCHER,Средство для очистки автомобильного стекла KARCHER RM650 500 мл (6.296-105.0),299,1762044,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Karcher,karcher,Засіб для чищення універсальний Karcher RM 650 0.5 л (6.296-105.0),,299,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-karcher-rm-650-0-5-l-6-296-105-0.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
