1238688064,,,,,.1965273,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1622 (i512400FRTX30508GB1622),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1622-i512400frtx30508gb1622.html,36959,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238688072,,,,,.1967923,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 3221 (Ryzen53600RTX30508GB3221),,30072,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-3221-ryzen53600rtx30508gb3221.html,34565,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1238688200,,,,,.1963218,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1610 (i312100FRX66008GB1610),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1610-i312100frx66008gb1610.html,36959,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1238688208,,,,,.1965275,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1641 (i512400FRTX30508GB1641),,33068,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1641-i512400frtx30508gb1641.html,38009,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238702426,,,,,.1965269,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1610 (i512400FRTX30508GB1610),,31681,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1610-i512400frtx30508gb1610.html,36415,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238702551,,,,,.1963226,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1642 (i312100FRX66008GB1642),,33764,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1642-i312100frx66008gb1642.html,38809,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238702554,,,,,.1963239,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 1621Win (i510400FRTX30508GB1621Win),,35152,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-1621win-i510400frtx30508gb1621win.html,40405,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238702562,,,,,.1965281,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 324 (i512400FRTX30508GB324),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-324-i512400frtx30508gb324.html,37465,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238702570,,,,,.1965364,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 164 (i512400FRX66008GB164),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-164-i512400frx66008gb164.html,37465,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238784054,,,,,.1965277,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1642 (i512400FRTX30508GB1642),,33291,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1642-i512400frtx30508gb1642.html,38265,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
