719055805,column,column,column,column,1652950,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_tuf_gaming_b550mplus,column,5139,1,httpscomfyuamaterinskajaplataasustufgamingb550mplushtml,column,05112025_1827,column,__42,Фастів,0
719080126,6987345,BRABANTIA,Мыльница BRABANTIA ReNew (280221),549,1655835,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Brabantia,brabantia,Мильниця Brabantia 280221,,549,1,https://comfy.ua/myl-nica-brabantia-280221.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
719080127,6987321,BRABANTIA,Мыльница Brabantia ReNew (280207),549,1655836,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Brabantia,brabantia,Мильниця Brabantia 280207,,549,1,https://comfy.ua/myl-nica-brabantia-280207.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
719080128,6518930,JOSEPH JOSEPH,Мыльница JOSEPH JOSEPH SLIM OPAL (70511),755,1590678,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Joseph Joseph,joseph-joseph,Мильниця Joseph Joseph 70511,,755,1,https://comfy.ua/myl-nica-joseph-joseph-70511.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
719080130,7060576,BRABANTIA,Дозатор для мыла BRABANTIA 250мл Черный (302503),989,1655964,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Brabantia,brabantia,Дозатор для мила Brabantia 302503,,989,1,https://comfy.ua/dozator-dlja-myla-brabantia-302503.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
719080132,7069702,BRABANTIA,Дозатор для мыла BRABANTIA ReNew (280245),1119,1655833,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Brabantia,brabantia,Дозатор для мила Brabantia 280245,,1399,1,https://comfy.ua/dozator-dlja-myla-brabantia-280245.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
719080134,,,,,1652858,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Xiaomi,xiaomi,Дозатор для мила Xiaomi Mijia Automatic Induction Soap Dispenser (MJXSJ03XW) White (BHR4558GL),,899,1,https://comfy.ua/dozator-dlja-myla-xiaomi-mijia-automatic-induction-soap-dispenser-mjxsj01xw-white-nun4035cn-nun4133cn.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
719080333,6987344,BRABANTIA,Дозатор для мыла BRABANTIA ReNew (280269),1399,1655834,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Brabantia,brabantia,Дозатор для мила Brabantia 280269,,1399,1,https://comfy.ua/dozator-dlja-myla-brabantia-280269.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
719080509,6609956,TEFAL,Набор посуды TEFAL G723SA74 Cook&Clip 6.1 л + 5 л + 2.9 л + 2 л + 1.5 л (2100116196),6999,1656207,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Tefal,tefal,"Набір посуду Tefal G723SA74 Cook & Clip 10 пр каструлі 22см (6,1 л)/24 см (5,0 л)/20 см (2,9 л)/18 см (2,0 л), ковш16 см (1,5 л)",,6999,1,https://comfy.ua/nabor-posudy-tefal-g723sa74-cook-clip-10-pr-kastrjuli-22sm-6-1-l-24-sm-5-0-l-20-sm-2-9-l-18-sm-2-0-l-kovsh16-sm-1-5-l.html,9999,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
719080812,6584537,TRAMONTINA,Набор приборов для гриля TRAMONTINA Barbecue (22399/030),851,1659145,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір столових приборів Tramontina Barbecue Churrasco 12 пр. (22399/030),,859,1,https://comfy.ua/nabor-dlja-gril-barbekju-tramontina-barbecue-churrasco-12-pr-22399-030.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
719080817,6584534,TRAMONTINA,Набор для барбекю TRAMONTINA Barbecue POLYWOOD (21199/909),1835,1659143,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір столових приборів Tramontina Barbecue Polywood 12 пр. (21199/909),,2099,1,https://comfy.ua/nabor-dlja-gril-barbekju-tramontina-barbecue-polywood-12-pr-21199-909.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
