755986036,column,column,column,column,1700595,Детские товары >> Игрушки,funrise,___funrise______82269,column,1999,1,httpscomfyuanazemnajastroitelnajatehnikafunrisecementovozsosvetomizvukom82269html,column,06112025_132,column,__42,Фастів,0
755987943,6651529,REMINGTON,Фен REMINGTON EC9001 HYDRAluxe,5555,1715562,Красота и здоровье >> Уход за волосами >> Фены >> Фены Remington,remington,Фен Remington EC9001 HYDRAluxe,,5555,1,https://comfy.ua/fen-remington-ec9001-hydraluxe.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
755987946,6651532,REMINGTON,Выпрямитель REMINGTON S9001 Hydraluxe PRO,4199,1715565,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Remington,remington,Вирівнювач волосся Remington S9001 Hydraluxe Pro,,4199,1,https://comfy.ua/vyprjamitel-volos-remington-s9001-hydraluxe-pro.html,4899,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
755987948,,,,,1719713,Красота и здоровье >> Уход за волосами,adler,Стайлер Adler AD 2022,,1089,1,https://comfy.ua/stajler-adler-ad-2022.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
755987949,6630943,ECG,Триммер ECG ZS 1421 edice,725,1716951,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры ECG,ecg,Тример для вусів і бороди ECG ZS 1421 Edice,,725,1,https://comfy.ua/trimmer-dlja-usov-i-borody-ecg-zs-1421-edice.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
755987950,6630942,ECG,Триммер ECG ZS 1420,731,1716950,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры ECG,ecg,Тример для вусів і бороди ECG ZS 1420,,725,1,https://comfy.ua/trimmer-dlja-usov-i-borody-ecg-zs-1420.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
755987952,6651533,REMINGTON,Выпрямитель REMINGTON S9300 Shine Therapy PRO,2749,1715566,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Remington,remington,Вирівнювач волосся Remington S9300 Shine Therapy Pro,,2749,1,https://comfy.ua/vyprjamitel-volos-remington-s9300-shine-therapy-pro.html,3159,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
755987953,6651553,RUSSELL HOBBS,Тостер RUSSELL HOBBS 26061-56 Honeycomb Black,1899,1715718,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Russell Hobbs,russell-hobbs,Тостер Russell Hobbs 26061-56 Honeycomb Black,,1899,1,https://comfy.ua/toster-russell-hobbs-26061-56-honeycomb-black.html,2629,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
755987954,6651552,RUSSELL HOBBS,Тостер RUSSELL HOBBS 26060-56 Honeycomb White,1899,1715717,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Russell Hobbs,russell-hobbs,Тостер Russell Hobbs 26060-56 Honeycomb White,,1899,1,https://comfy.ua/toster-russell-hobbs-26060-56-honeycomb-white.html,2629,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
755997171,,,,,1715432,Детские товары >> Игрушки,trefl,Пазли (3-4 роки) Trefl У світі месників 24 Елм. MAXI (14321),,305,1,https://comfy.ua/catalog/product/view/id/1768833,,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
755997236,,,,,1719453,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,Пазли (8 +) Trefl Солодкий/- Колаж 1000 ел. (10469),,289,1,https://comfy.ua/pazly-kartonnye-8-trefl-sladkij-kollazh-1000-jel-10469.html,,06.11.2025 1:44,,"вул. Соборна, 42",Фастів,0
