1018295053,column,column,column,column,1857918,____________________digitus,digitus,__digitus_cat_6a_sftp_awg_267_dk1644a010,column,109,1,httpscomfyuakabelpatchkorddigituscat6asftpawg267dk1644a010html,column,05112025_1922,column,__42,Фастів,0
1018820862,6368543,ARTEL,Пылесос ARTEL VCB 0316,3790,1859010,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0316 Red,,3699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0316-red.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1018825913,6745281,ARTEL,Пылесос ARTEL VCB 0120 Blue,4539,1859026,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0120 Blue,,4539,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0120-blue.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1018833767,6745282,ARTEL,Пылесос ARTEL VCB 0316 Blue,3699,1859027,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0316 Blue,,3699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0316-blue.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1018844032,6996485,ARTEL,Пылесос  ARTEL VCC 0220 BLACK TB,5499,1859028,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання без мішка ARTEL VCC 0220 Black,,5099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-artel-vcc-0220-black.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1018844032,6503486,ARTEL,Пылесос ARTEL VCC 0220 BLACK,5099,1859028,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання без мішка ARTEL VCC 0220 Black,,5099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-artel-vcc-0220-black.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1018844032,6745283,ARTEL,Пылесос ARTEL VCC0220 Black,5550,1859028,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання без мішка ARTEL VCC 0220 Black,,5099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-artel-vcc-0220-black.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1018849267,6738152,SENNHEISER,Гарнитура SENNHEISER CX Plus True Wireless Black (509188),6389,1858551,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові TWS Sennheiser CX Plus Black (509188),,6139,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-sennheiser-cx-plus-black-509188.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1018857540,6738153,SENNHEISER,Наушники SENNHEISER CX Plus True Wireless White (509189),6139,1858552,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Навушники вкладиші бездротові TWS Sennheiser CX Plus White (509189),,5525,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-sennheiser-cx-plus-white-509189.html,6139,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1018866240,6741356,PHILIPS,Электрическая зубная щетка PHILIPS Sonicare HX3671/11 Gemini 3100,2599,1859392,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Зубна щітка електрична Philips HX3671/11,,2599,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-hx3671-11.html,3399,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1019133363,,,,,1857179,Инструменты и автотовары >> Электроинструменты,total,Болгарка Total TG10912556,,1595,1,https://comfy.ua/catalog/product/view/id/2949173,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
