775911311,column,column,column,column,1733773,Детские товары >> Игрушки,sigikid,__sigikid___36__39332sk,column,1459,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidsevernyjmedved36sm39332skhtml,column,06112025_138,column,__42,Фастів,0
776587149,,,,,1727410,Красота и здоровье >> Уход за лицом >> Расходные материалы для электробритв >> Расходные материалы для электробритв Braun,braun,Сітка + ріжучий блок Braun Series 5 53B,,1899,1,https://comfy.ua/setka-rezhuschij-blok-braun-series-5-53b.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
776587559,,,,,1730459,"Аудио, фото и видео >> Акустика",fantech,Комп'ютерна акустика компактна 2.0 Fantech GS-203/11447 Black,,499,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-fantech-gs-203-11447-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
776587560,,,,,.1730458,"Аудио, фото и видео >> Акустика",fantech,Комп'ютерна акустика компактна 2.0 Fantech GS-202/11469 Black,,715,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-fantech-gs-202-11469-black.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
776590251,6625819,GRUNHELM,Электропечь GRUNHELM GN3301RHP,3249,1734057,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Grunhelm,grunhelm,Піч електрична Grunhelm GN3301RHP,,3249,1,https://comfy.ua/pech-jelektricheskaja-grunhelm-gn3301rhp.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
776590256,,,,,1727079,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Набір ножів Tramontina ProChef 3 пр. (24199/053),,4899,1,https://comfy.ua/nabor-nozhej-tramontina-prochef-3-pr-24199-053.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
776590369,,,,,1709884,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров KSL,ksl,Кріплення для телевізора KSL WMO-6246T,,2039,1,https://comfy.ua/kreplenie-dlja-televizora-ksl-wmo-6246t.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
776591289,,,,,1735080,Техника для кухни >> Крупная техника,liberty,Плита газова Liberty PWE 5114 CB-F,,11399,1,https://comfy.ua/catalog/product/view/id/1876633,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
776596738,,,,,.1732860,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP500R7,,1499,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-xp500r7.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
776596740,,,,,.1732866,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP500R6,,1599,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-xp500r6.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
776615508,,,,,1698128,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Scentos,scentos,Набір олівців Scentos Фантазія 12 кольорів (40515),,79,1,https://comfy.ua/nabor-karandashej-scentos-fantazija-12-cvetov-40515.html,119,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
776636040,,,,,1734929,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIC-2642,,729,1,https://comfy.ua/utjug-holmer-hic-2642.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
776636093,,,,,1734928,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIC-2425,,599,1,https://comfy.ua/utjug-holmer-hic-2425.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
776636120,,,,,1730869,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки REAL-EL",real-el,Портативна акустика REAL-EL X-757 Black,,3999,1,https://comfy.ua/portativnaja-akustika-real-el-x-757-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
776641241,,,,,1723408,"Аудио, фото и видео >> Наушники",2e,Гарнітура дротова 2E 2E-CH13SU,,399,1,https://comfy.ua/catalog/product/view/id/1861103,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
776965510,,,,,1725204,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель USB type A - USB type B Digitus USB 2.0 (AM/BM) 1.8m Black (AK-300102-018-S),,59,1,https://comfy.ua/catalog/product/view/id/1876663,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
776966152,,,,,1728216,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Перехідник DVI - HDMI ProfCable DVI-D - HDMI A Socket (DH-1),,109,1,https://comfy.ua/catalog/product/view/id/1877053,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
776966350,,,,,1724843,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",merlion,Коммутатор локальної мережі (Switch) Merlion BT-D6006FE,,1109,1,https://comfy.ua/catalog/product/view/id/1875443,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
776966513,,,,,1728354,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS317-1G-16S+RM,,19429,1,https://comfy.ua/catalog/product/view/id/1875453,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
776966572,,,,,1685370,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant HP 220V 18.5V 120W 6.5A (5.5*2.5) (HP120E5525),,899,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-hp-220v-18-5v-120w-6-5a-5-5-2-5-hp120e5525.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
776969725,,,,,1728213,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель патч-корд ProfCable CAT5e 40 м (ProfCable7-4000),,599,1,https://comfy.ua/catalog/product/view/id/1877023,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
776970652,,,,,1728214,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель патч-корд ProfCable CAT5e 50 м (ProfCable7-5000),,599,1,https://comfy.ua/catalog/product/view/id/1877043,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
776971189,,,,,1685371,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant HP 220V 19.5V 200W 10.3A (4.5*3.0) (HP200G4530),,2199,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-hp-220v-19-5v-200w-10-3a-4-5-3-0-hp200g4530.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
776979257,,,,,1733138,Детские товары >> Игрушки,hasbro,Бластер багатозарядний Hasbro Nerf Ультра Дорадо (F2018),,2400,1,https://comfy.ua/blaster-mnogozarjadnyj-hasbro-nerf-ul-tra-dorado-f2018.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
776979267,,,,,1732192,Детские товары >> Творчество и развитие >> Лепка >> Лепка Hasbro,hasbro,Матеріали Hasbro Баночка слизу Play-Doh Блакитна (E8790_E8804),,99,1,https://comfy.ua/rashodniki-hasbro-banochka-slizi-play-doh-golubaja-e8790-e8804.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
777052455,,,,,1735672,Техника для дома >> Мелкая техника,gorenje,Пилосос ручний для дому Gorenje SVC252FMBK,,6695,1,https://comfy.ua/catalog/product/view/id/1879123,7199,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
777084033,6659301,2E,Портативная акустика 2E SoundXTube TWS MP3 Wireless Waterproof Blue (2E-BSSXTWBL),1699,1734799,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXTube TWS MP3 Wireless Waterproof Blue (2E-BSSXTWBL),,1699,1,https://comfy.ua/portativnaja-akustika-2e-soundxtube-tws-mp3-wireless-waterproof-blue-2e-bssxtwbl.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
777084035,6659300,2E,Портативная акустика 2E SoundXTube TWS MP3 Wireless Waterproof Black (2E-BSSXTWBK),1699,1734798,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXTube TWS MP3 Wireless Waterproof Black (2E-BSSXTWBK),,1699,1,https://comfy.ua/portativnaja-akustika-2e-soundxtube-tws-mp3-wireless-waterproof-black-2e-bssxtwbk.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,1
777084056,6496533,PHILIPS,Пылесос PHILIPS FC9556/09,8999,1733864,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання без мішка Philips FC9556/09,,8999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-philips-fc9556-09.html,10999,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
777084066,6676784,LIBERTY,Плита комбинированная LIBERTY PWE 5114 CB-F,11399,1735080,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 5114 CB-F,,11399,1,https://comfy.ua/plita-gazovaja-liberty-pwe-5114-cb-f.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
777085611,,,,,1685097,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19V 50W 2.64A (4.8*1.7) (AS50F4817),,399,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19v-50w-2-64a-4-8-1-7-as50f4817.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
777085612,,,,,1685093,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Acer 65W 19V 3.24A (5.5*1.7) (AC65F5517),,549,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-65w-19v-3-24a-5-5-1-7-ac65f5517.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
