708796479,,,,,1653415,"Аудио, фото и видео >> Аксессуары для фото, видео",panasonic,Батарейка тип CR2032 Panasonic CR 2032 BL 4 шт. (CR-2032EL/4B),,245,1,https://comfy.ua/batarejka-tip-cr2032-panasonic-cr-2032-bl-4-sht-cr-2032el-4b.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
708796782,6349560,STANLEY,Набор STANLEY DYNAGRIP 3 шт (STHT0-75094),1692,1568323,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Stanley,stanley,Набір інструментів Stanley STHT0-75094,,1695,1,https://comfy.ua/nabor-instrumentov-stanley-stht0-75094.html,,05.11.2025 22:57,,"вул. Соборна, 42",Фастів,0
708797231,,,,,1657265,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,"Кабель HDMI PowerPlant HDMI (M) - HDMI (M), 2.1V, Ultra HD 8K, eARC, 30AWG, 3м (CA912209)",,679,1,https://comfy.ua/kabel-hdmi-powerplant-hdmi-m-hdmi-m-2-1v-ultra-hd-8k-earc-30awg-3m-ca912209.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
708806419,6562959,TESY,Бойлер TESY ANTICALC REV 80,9589,1659618,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy Anticalc REV 80,,9589,1,https://comfy.ua/vodonagrevatel-tesy-anticalc-rev-80.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
708806428,6678512,ULEFONE,Смартфон ULEFONE Note 9P 4/64GB Midnight Green,3299,1657366,Смартфоны и телефоны >> Смартфоны,ulefone,Смартфон Ulefone Note 9P 4/64Gb Midnight Green,,3299,1,https://comfy.ua/smartfon-ulefone-note-9p-4-64gb-midnight-green.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
708927292,6614477,PHILIPS,Триммер PHILIPS NT5650/16 серии 5000,999,1658715,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Philips,philips,Тример для носа і вух Philips NT5650/16,,1099,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-philips-nt5650-16.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,2
709053704,6907131,FIRST,Вафельница FIRST FA-5305-4,835,1353163,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы First,first,Вафельниця First 5305-4 (FA-5305-4),,835,1,https://comfy.ua/vafel-nica-first-fa-5305-4.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
709053705,,,,,1514093,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы First,first,Бутербродниця First 5338-6 (FA-5338-6),,659,1,https://comfy.ua/buterbrodnica-first-fa-5338-6.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
709089635,6582914,SAMSUNG,Соединительная планка SAMSUNG SKK-DDX,2499,1635954,Техника для дома >> Аксессуары к крупной технике >> Комплекты креплений для установки >> Комплекты креплений для установки Samsung,samsung,Комплект кріплень для установки в колону Samsung SKK-DDX,,2699,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-samsung-skk-ddx.html,2899,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
709102327,6729723,VENTOLUX,Варочная поверхность VENTOLUX HG320 CEST (X) 7,4149,1647730,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня Domino Ventolux HG 320 CEST (X) 7,,4149,1,https://comfy.ua/varochnaja-panel-domino-ventolux-hg-320-cest-x-7.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
709103151,6639157,TP-LINK,Wi-Fi роутер TP-LINK TL-MR100,2699,1659517,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi4+4G TP-Link TL-MR100,,2699,1,https://comfy.ua/marshrutizator-ethernet-tp-link-tl-mr100.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
709149482,6538324,CANYON,Гарнитура CANYON CNS-CHS01BO,319,1654014,"Аудио, фото и видео >> Наушники >> Наушники Canyon",canyon,Гарнітура дротова Canyon CNS-CHS01BO,,319,1,https://comfy.ua/garnitura-provodnaja-canyon-cns-chs01bo.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
709174583,,,,,1647730,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня Domino Ventolux HG 320 CEST (X) 7,,4149,1,https://comfy.ua/catalog/product/view/id/1233643,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
709210185,,,,,1655236,Техника для кухни >> Крупная техника,minola,Витяжка вбудована Minola HBI 7612 BL 1000 LED,,3999,1,https://comfy.ua/catalog/product/view/id/1234073/s/vytjazhka-vstraivaemaja-minola-hbi-7612-bl-1000-led,5399,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
709232760,,,,,.1651808,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte sAM4 AMD B550 4xDDR HDMI/DVI 2xM.2 (PCIe 4.0) USB 3.2 GbE LAN mATX (B550M DS3H),,3699,1,https://comfy.ua/materinskaja-plata-gigabyte-sam4-amd-b550-4xddr-hdmi-dvi-2xm-2-pcie-4-0-usb-3-2-gbe-lan-matx-b550m-ds3h.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
709266184,6570546,REAL EL,Колонки REAL EL S-219 Black (EL121200004),1349,1533523,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика REAL-EL",real-el,Комп'ютерна акустика звичайна 2.0 REAL-EL S-219 Black (EL121200004),,1349,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-real-el-s-219-black-el121200004.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,1
709270899,6616192,CECOTEC,Пылесос CECOTEC Conga Immortal ExtremeSuction 22.2 Animal Hand (CCTC-05441),2999,1660458,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Cecotec,cecotec,"Пилосос ручний для дому Cecotec Conga Immortal ExtremeSuction 22,2 Animal Hand",,2999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-cecotec-conga-immortal-extremesuction-22-2-animal-hand.html,3999,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
709270905,6596072,LG,Стирально-сушильная машина LG F4V9RC9P,41999,1651515,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Прально-сушильна машина LG F4V9RC9P,,41999,1,https://comfy.ua/stiral-naja-mashina-lg-f4v9rc9p.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
709422870,6625519,ARDESTO,Утюг ARDESTO IR-C2232-BL,999,1659769,Техника для дома >> Мелкая техника >> Утюги >> Утюги Ardesto,ardesto,Праска Ardesto IR-C2232-BL,,999,1,https://comfy.ua/utjug-ardesto-ir-c2232-bl.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
