1654744224,column,column,column,column,2830336,Красота и здоровье >> Уход за телом,beurer,_____beurer__mp_100_1514,column,2215,1,httpscomfyuasmennyenasadkidljamanikjurnogonaborabeurerdomp1001514html,column,05112025_1844,column,__42,Фастів,0
1654773558,7042836,KARCHER,Щелевая насадка KARCHER DN35 (6.906-240.0),190,2822055,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Насадка щілинна для пилососу Karcher 6.906-240.0,,199,1,https://comfy.ua/nasadka-dlja-tekstilja-karcher-6-906-240-0.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1654773579,6920169,PHILIPS,Насадки из микрофибры PHILIPS XV1630/01,1199,2742216,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Насадка-мікрофібра для пилососа Philips XV1630/01,,1199,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-philips-xv1630-01.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1654783303,6965153,2E,Смарт-часы 2E Wave Plus 47мм Вlack (2E-CWW12BK),1399,2857922,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы 2E,2e,Смарт-годинник 2E Wave Plus (2E-CWW12BK),,1399,1,https://comfy.ua/smart-chasy-2e-wave-plus-2e-cww12bk.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1654783305,6965152,2E,Смарт-часы 2E Motion GT2 47мм Black-Red (2E-CWW21BKRD),1699,2857924,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы 2E,2e,Смарт-годинник 2E Motion GT2 (2E-CWW21BKRD),,1699,1,https://comfy.ua/smart-chasy-2e-motion-gt2-2e-cww21bkrd.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1654783306,6965149,2E,Смарт-часы 2E Alpha SQ Music Edition 46мм Вlack (2E-CWW40BK),1499,2857925,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы 2E,2e,Смарт-годинник 2E Alpha SQ Music Edition (2E-CWW40BK),,1499,1,https://comfy.ua/smart-chasy-2e-alpha-sq-music-edition-2e-cww40bk.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1654783507,6949672,XIAOMI,Смарт-часы XIAOMI Watch 2 Pro BT Silver (BHR7216GL),9499,2854248,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Xiaomi,xiaomi,Смарт-годинник Xiaomi Watch 2 Pro Bluetooth Silver Case with Brown Leather Strap (BHR7216GL),,9499,1,https://comfy.ua/smart-chasy-xiaomi-watch-2-pro-bluetooth-silver-case-with-brown-leather-strap-bhr7216gl.html,9999,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1654787634,6970301,EINHELL,Диск-щетка EINHELL TC-BG 150 B (4412636),449,2822440,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Einhell,einhell,Круг шліфувальний Einhell TC-BG 150 B (4412636),,449,1,https://comfy.ua/krug-shlifoval-nyj-einhell-tc-bg-150-b-4412636.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1654787962,,,,,.2851928,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.S4.46.F18303),,30014,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-s4-46-f18303.html,34499,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1654787968,,,,,.2852017,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.32.S4.35.F18310),,28610,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-32-s4-35-f18310.html,32885,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1654787970,,,,,.2851922,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.S4.36.F18297),,26012,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-s4-36-f18297.html,29899,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1654788087,,,,,.2852014,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.16.H1S4.35.F18307),,29779,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-16-h1s4-35-f18307.html,34229,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1654788088,,,,,2851924,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.S10.36.F18299),,27752,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-s10-36-f18299.html,31899,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1654788134,,,,,.2851923,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.S4.36.F18298),,27926,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-s4-36-f18298.html,32099,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1654788155,,,,,.2851930,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.S10.46.F18305),,31754,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-s10-46-f18305.html,36499,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1654788157,,,,,.2851925,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.S10.36.F18300),,29666,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-s10-36-f18300.html,34099,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1654788197,,,,,2851920,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.H1S4.36.F18295),,28970,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-h1s4-36-f18295.html,33299,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1654788198,,,,,.2851929,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.S4.46.F18304),,32015,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-s4-46-f18304.html,36799,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1654788202,,,,,.2852023,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.32.S4.36.F18316),,31864,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-32-s4-36-f18316.html,36625,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1654788361,,,,,.2851931,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.S10.46.F18306),,33755,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-s10-46-f18306.html,38799,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1654788558,,,,,.2851926,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.16.H1S4.46.F18301),,33059,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-16-h1s4-46-f18301.html,37999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1654788559,,,,,.2851921,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.H1S4.36.F18296),,30971,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-h1s4-36-f18296.html,35599,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1654788560,,,,,.2852020,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.16.H1S4.36.F18313),,33073,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-16-h1s4-36-f18313.html,38015,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1654788711,,,,,.2851927,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (A45.32.H1S4.46.F18302),,34973,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-a45-32-h1s4-46-f18302.html,40199,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1654788712,,,,,.2852026,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.16.H1S4.46.F18319),,34390,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-16-h1s4-46-f18319.html,39529,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1654788948,,,,,.2852027,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Advanced (I14F.32.H1S4.46.F18320),,35779,1,https://comfy.ua/sistemnyj-blok-cobra-advanced-i14f-32-h1s4-46-f18320.html,41125,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1654792795,,,,,.2784948,Инструменты и автотовары >> Ручные инструменты,haisser,Плоскогубці Haisser 160 мм (41170),,279,1,https://comfy.ua/ploskogubcy-haisser-160-mm-41170.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1654792796,,,,,.2784949,Инструменты и автотовары >> Ручные инструменты,haisser,Плоскогубці Haisser 180 мм (41171),,299,1,https://comfy.ua/ploskogubcy-haisser-180-mm-41171.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1654794358,,,,,2777732,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Power Delivery GaN (2USB-A + 2USB TYPE-C) (100W) Black (CW-CHS041PD-BK),,2199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-power-delivery-gan-2usb-a-2usb-type-c-100w-black-cw-chs041pd-bk.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1654794442,,,,,2738003,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bollire,bollire,Ложка кухарська Bollire BR-3806,,280,1,https://comfy.ua/lozhka-povarskaja-bollire-br-3806.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1654794443,,,,,2737999,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bollire,bollire,Ложка кухарська Bollire BR-3801,,280,1,https://comfy.ua/lozhka-povarskaja-bollire-br-3801.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1654794935,,,,,.2845714,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S10.46.G12116),,49937,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s10-46-g12116.html,57399,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1654795102,,,,,.2845715,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S15.46.G12117),,51416,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s15-46-g12117.html,59099,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1654795969,,,,,.2845716,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S20.46.G12118),,52373,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s20-46-g12118.html,60199,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1654796372,,,,,.2845720,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S10.46.G12122W),,55331,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s10-46-g12122w.html,63599,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654796482,,,,,.2845717,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S10.46.G12119),,55766,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s10-46-g12119.html,64099,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1654796516,,,,,.2845726,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S10.46T.G12128),,54896,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s10-46t-g12128.html,63099,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1654796537,,,,,.2845721,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S15.46.G12123W),,56810,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s15-46-g12123w.html,65299,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654796739,,,,,.2845718,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S15.46.G12120),,57245,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s15-46-g12120.html,65799,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654796740,,,,,.2845722,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S20.46.G12124W),,57767,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s20-46-g12124w.html,66399,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1654796883,,,,,.2845719,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S20.46.G12121),,58202,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s20-46-g12121.html,66899,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1654797070,,,,,.2845723,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S10.46.G12125W),,61247,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s10-46-g12125w.html,70399,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1654797328,,,,,.2845724,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S15.46.G12126W),,62726,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s15-46-g12126w.html,72099,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1654797748,,,,,.2845725,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.64.S20.46.G12127W),,63683,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-64-s20-46-g12127w.html,73199,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1654797767,,,,,.2845750,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S10.47.G12152),,67250,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s10-47-g12152.html,77299,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1654798734,,,,,.2845751,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S15.47.G12153),,68729,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s15-47-g12153.html,78999,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1654798747,,,,,.2845752,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Gemini (I144F.32.S20.47.G12154),,69686,1,https://comfy.ua/sistemnyj-blok-expert-pc-gemini-i144f-32-s20-47-g12154.html,80099,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
