756007800,column,column,column,column,1720397,Детские товары >> Игрушки,sigikid,__sigikid_____19__39183sk,column,1095,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidbozhjakorovkaledimjeri19sm39183skhtml,column,06112025_138,column,__42,Фастів,0
756272262,6867282,STARK,Ножовка по дереву Stark 400 мм (507400007),179,1720188,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Stark",stark,Ножівка Stark 507400007,,179,1,https://comfy.ua/nozhovka-stark-507400007.html,,05.11.2025 22:36,,"вул. Соборна, 42",Фастів,0
756273281,,,,,1716990,Красота и здоровье >> Уход за волосами,remington,Вирівнювач волосся Remington CI89H1 HYDRAluxe,,2179,1,https://comfy.ua/catalog/product/view/id/1770773,2499,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
756273329,6645228,ECG,Триммер ECG ZS 2020N,353,1716952,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры ECG,ecg,Тример для носа і вух ECG ZS 2020N,,355,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-ecg-zs-2020n.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
756277751,,,,,1716996,Красота и здоровье >> Уход за волосами,remington,Вирівнювач волосся Remington S7307 Aqualisse Extreme,,2549,1,https://comfy.ua/catalog/product/view/id/1770783,2999,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
756278179,,,,,1713692,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway USB - Apple Lightning Zinc Alloy + Led 2.4А 1 м Black (CW-CBUL035-BK),,259,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-2-0-am-to-lightning-1-0m-zinc-alloy-led-black-cw-cbul035-bk.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
756278180,,,,,1713690,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway USB 2.0 AM to Lightning 2.0m Mint (CW-CBUL007-MT),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-2-0-am-to-lightning-2-0m-mint-cw-cbul007-mt.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
756278181,,,,,1713699,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway USB 2.0 AM to Type-C 2.0m Mint (CW-CBUC008-MT),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-2-0-am-to-type-c-2-0m-mint-cw-cbuc008-mt.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,1
756278183,,,,,1718822,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Intaleo",intaleo,Кабель Intaleo CBFLEXM3 USB-microUSB 3m Black (1283126487491),,239,1,https://comfy.ua/kabel-intaleo-cbflexm3-usb-microusb-3m-black-1283126487491.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
756278925,,,,,1716899,Техника для кухни >> Мир кофе,ecg,Кавоварка крапельна ECG KP 2115 Black,,2059,1,https://comfy.ua/catalog/product/view/id/1766763,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
756279221,6661880,RUSSELL HOBBS,Кофеварка RUSSELL HOBBS 27010-56/RH,3032,1715585,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Russell Hobbs,russell-hobbs,Кавоварка крапельна Russell Hobbs 27010-56 Honeycomb White,,2999,1,https://comfy.ua/kofevarka-kapel-naja-russell-hobbs-27010-56-honeycomb-white.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
756279222,6661881,RUSSELL HOBBS,Кофеварка RUSSELL HOBBS 27011-56/RH,2499,1715587,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Russell Hobbs,russell-hobbs,Кавоварка крапельна Russell Hobbs 27011-56 Honeycomb Black,,2499,1,https://comfy.ua/kofevarka-kapel-naja-russell-hobbs-27011-56-honeycomb-black.html,3599,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
756279300,,,,,1171504,Техника для кухни >> Мелкая техника,sencor,Соковитискач шнековий Sencor SSJ4041BK,,3899,1,https://comfy.ua/catalog/product/view/id/1770833,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
756279793,6815974,RUSSELL HOBBS,Соковыжималка RUSSELL HOBBS 26010-56 Colours Plus+ Red (26010-56),1999,1715672,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Russell Hobbs,russell-hobbs,Цитрус-прес Russell Hobbs 26010-56 Colours Plus Red,,1999,1,https://comfy.ua/citrus-press-russell-hobbs-26010-56-colours-plus-red.html,2499,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
756282367,,,,,1717908,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки de Buyer",de-buyer,Овочерізка de Buyer Mandoline 2014.00,,9189,1,https://comfy.ua/ovoscherezka-de-buyer-mandoline-2014-00.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
756308517,,,,,1667730,Техника для дома >> Аксессуары к мелкой технике,rowenta,Фільтр для пилососа Rowenta ZR009002,,529,1,https://comfy.ua/fil-tr-dlja-pylesosa-rowenta-zr009002.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
