1648672839,column,column,column,column,2806088,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_ugreen_us132_usb_20_male_to_mini_usb_5pin_male_cable_1m_black_10355,column,119,1,httpscomfyuakabelugreenus132usba20maletominiusb5pinmalecable1mblack10355html,column,05112025_1743,column,__42,Фастів,0
1648690354,,,,,2809926,Детские товары >> Прогулки и поездки,maxi-cosi,Автокрісло Maxi-Cosi RodiFix R i-Size Authentic Graphite,,6900,1,https://comfy.ua/avtokreslo-maxi-cosi-rodifix-r-i-size-authentic-graphite.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1648691344,6949974,MASTERPRO,Набор столовых приборов MASTERPRO Foodies collection 4 предмета (BGEU-3952),1039,2799495,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Masterpro,masterpro,Набір столових приборів Masterpro Foodies collection 4 пр. (BGEU-3952),,1039,1,https://comfy.ua/nabor-stolovyh-priborov-masterpro-foodies-collection-4-pr-bgeu-3952.html,1289,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1648691381,,,,,.2797416,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Honor Magic5 матова (DV-HNR-MG5M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-honor-magic5-matovaja-dv-hnr-mg5m.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1648691382,,,,,.2797437,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung A25 (DV-SM-A25),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-a25-dv-sm-a25.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1648691384,,,,,.2797644,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L220 матова (DV-ZT-BDAL220M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l220-matovaja-dv-zt-bdal220m.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1648691385,,,,,.2797646,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade L9 (DV-ZT-BDAL9),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-l9-dv-zt-bdal9.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1648691386,,,,,.2797634,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi redmi Note 12s (DV-XM-RMN12S),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-redmi-note-12s-dv-xm-rmn12s.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1648691387,,,,,.2797630,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung S23 FE (DV-SM-S23FE),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-s23-fe-dv-sm-s23fe.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1648691388,,,,,.2797439,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung A25 матова (DV-SM-A25M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-a25-matovaja-dv-sm-a25m.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1648691731,,,,,2765744,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,"Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0,25 мм for Samsung Note 10 Lite Black (95069)",,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25-mm-for-samsung-note-10-lite-black-95069.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
